0.3298 	WARNING 	Movie2 stim could not be imported and won't be available
20.8236 	EXP 	text_3: autoDraw = False
20.8236 	EXP 	text_3: autoDraw = False
20.8236 	EXP 	text: autoDraw = True
20.8238 	EXP 	window1: recordFrameIntervals = False
21.3911 	EXP 	text_2: autoDraw = True
21.5746 	EXP 	text_2: autoDraw = False
21.5915 	DATA 	Keypress: space
21.6079 	EXP 	text: autoDraw = False
21.6079 	EXP 	text_2: autoDraw = False
21.6079 	EXP 	text_3: autoDraw = True
22.5928 	EXP 	New trial (rep=9, index=0): None
22.5930 	EXP 	window1: recordFrameIntervals = False
22.6086 	EXP 	text_3: autoDraw = False
22.6086 	EXP 	text_3: autoDraw = False
22.6086 	EXP 	text: autoDraw = True
22.6087 	EXP 	window1: recordFrameIntervals = False
23.3925 	EXP 	text_2: autoDraw = True
23.4095 	DATA 	Keypress: space
23.4258 	EXP 	text: autoDraw = False
23.4258 	EXP 	text_2: autoDraw = False
23.4258 	EXP 	text_3: autoDraw = True
24.4123 	EXP 	New trial (rep=10, index=0): None
24.4127 	EXP 	window1: recordFrameIntervals = False
24.4273 	EXP 	text_3: autoDraw = False
24.4273 	EXP 	text_3: autoDraw = False
24.4273 	EXP 	text: autoDraw = True
24.4276 	EXP 	window1: recordFrameIntervals = False
24.9608 	EXP 	text_2: autoDraw = True
25.1276 	EXP 	text_2: autoDraw = False
25.1946 	DATA 	Keypress: space
25.2111 	EXP 	text: autoDraw = False
25.2111 	EXP 	text_2: autoDraw = False
25.2111 	EXP 	text_3: autoDraw = True
25.6785 	DATA 	Keypress: escape
