0.3166 	WARNING 	Movie2 stim could not be imported and won't be available
31.6748 	EXP 	Created window1 = Window(allowGUI=False, allowStencil=False, autoLog=True, bitsMode=UNKNOWN, blendMode='avg', color=array([ 0.,  0.,  0.]), colorSpace='rgb', fullscr=UNKNOWN, gamma=None, lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor instance at 0xc37f440>, name='window1', pos=[0, 0], screen=0, size=array([1920, 1080]), stereo=False, units=u'norm', useFBO=True, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
31.6748 	EXP 	window1: recordFrameIntervals = False
31.8406 	EXP 	window1: recordFrameIntervals = True
32.0251 	EXP 	window1: recordFrameIntervals = False
32.1100 	EXP 	Created text = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=-1.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.1, italic=False, name='text', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 255.,  255.,  255.]), text=u'+', units=u'norm', win=Window(...), wrapWidth=1)
32.1570 	EXP 	Set  sound=900.0
32.1571 	EXP 	Set Sound  volume=0.200
32.1619 	EXP 	Created text_3 = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.1, italic=False, name='text_3', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 255.,  255.,  255.]), text=u'ITI', units=u'norm', win=Window(...), wrapWidth=1)
32.1629 	EXP 	Created sequence: random, trialTypes=1, nReps=100, seed=None
32.1638 	EXP 	New trial (rep=0, index=0): None
32.1646 	EXP 	window1: recordFrameIntervals = False
32.1748 	EXP 	text: autoDraw = True
32.1750 	EXP 	window1: recordFrameIntervals = False
32.7923 	EXP 	Sound  started
32.9758 	EXP 	Sound  stopped
33.1761 	DATA 	Keypress: space
33.1778 	EXP 	Sound  stopped
33.1924 	EXP 	text: autoDraw = False
33.1924 	EXP 	text_3: autoDraw = True
34.1778 	EXP 	New trial (rep=1, index=0): None
34.1780 	EXP 	window1: recordFrameIntervals = False
34.1933 	EXP 	text_3: autoDraw = False
34.1933 	EXP 	text_3: autoDraw = False
34.1933 	EXP 	text: autoDraw = True
34.1935 	EXP 	window1: recordFrameIntervals = False
34.9944 	EXP 	Sound  started
35.1782 	EXP 	Sound  stopped
35.2949 	DATA 	Keypress: space
35.2961 	EXP 	Sound  stopped
35.3112 	EXP 	text: autoDraw = False
35.3112 	EXP 	text_3: autoDraw = True
36.2967 	EXP 	New trial (rep=2, index=0): None
36.2969 	EXP 	window1: recordFrameIntervals = False
36.3124 	EXP 	text_3: autoDraw = False
36.3124 	EXP 	text_3: autoDraw = False
36.3124 	EXP 	text: autoDraw = True
36.3127 	EXP 	window1: recordFrameIntervals = False
36.9635 	EXP 	Sound  started
37.1467 	EXP 	Sound  stopped
37.2808 	DATA 	Keypress: space
37.2820 	EXP 	Sound  stopped
37.2969 	EXP 	text: autoDraw = False
37.2969 	EXP 	text_3: autoDraw = True
38.2823 	EXP 	New trial (rep=3, index=0): None
38.2824 	EXP 	window1: recordFrameIntervals = False
38.2979 	EXP 	text_3: autoDraw = False
38.2979 	EXP 	text_3: autoDraw = False
38.2979 	EXP 	text: autoDraw = True
38.2982 	EXP 	window1: recordFrameIntervals = False
39.1325 	EXP 	Sound  started
39.3331 	EXP 	Sound  stopped
39.3662 	DATA 	Keypress: space
39.3674 	EXP 	Sound  stopped
39.3824 	EXP 	text: autoDraw = False
39.3824 	EXP 	text_3: autoDraw = True
40.3678 	EXP 	New trial (rep=4, index=0): None
40.3680 	EXP 	window1: recordFrameIntervals = False
40.3836 	EXP 	text_3: autoDraw = False
40.3836 	EXP 	text_3: autoDraw = False
40.3836 	EXP 	text: autoDraw = True
40.3839 	EXP 	window1: recordFrameIntervals = False
41.2349 	EXP 	Sound  started
41.4182 	EXP 	Sound  stopped
41.5021 	DATA 	Keypress: space
41.5032 	EXP 	Sound  stopped
41.5182 	EXP 	text: autoDraw = False
41.5182 	EXP 	text_3: autoDraw = True
42.5040 	EXP 	New trial (rep=5, index=0): None
42.5042 	EXP 	window1: recordFrameIntervals = False
42.5198 	EXP 	text_3: autoDraw = False
42.5198 	EXP 	text_3: autoDraw = False
42.5198 	EXP 	text: autoDraw = True
42.5200 	EXP 	window1: recordFrameIntervals = False
43.4708 	EXP 	Sound  started
43.6543 	EXP 	Sound  stopped
43.7050 	DATA 	Keypress: space
43.7061 	EXP 	Sound  stopped
43.7210 	EXP 	text: autoDraw = False
43.7210 	EXP 	text_3: autoDraw = True
44.7060 	EXP 	New trial (rep=6, index=0): None
44.7062 	EXP 	window1: recordFrameIntervals = False
44.7218 	EXP 	text_3: autoDraw = False
44.7218 	EXP 	text_3: autoDraw = False
44.7218 	EXP 	text: autoDraw = True
44.7220 	EXP 	window1: recordFrameIntervals = False
45.3063 	EXP 	Sound  started
45.5063 	EXP 	Sound  stopped
45.7230 	DATA 	Keypress: space
45.7242 	EXP 	Sound  stopped
45.7402 	EXP 	text: autoDraw = False
45.7402 	EXP 	text_3: autoDraw = True
46.7250 	EXP 	New trial (rep=7, index=0): None
46.7252 	EXP 	window1: recordFrameIntervals = False
46.7408 	EXP 	text_3: autoDraw = False
46.7408 	EXP 	text_3: autoDraw = False
46.7408 	EXP 	text: autoDraw = True
46.7410 	EXP 	window1: recordFrameIntervals = False
47.6253 	EXP 	Sound  started
47.8254 	EXP 	Sound  stopped
47.8760 	DATA 	Keypress: space
47.8772 	EXP 	Sound  stopped
47.8918 	EXP 	text: autoDraw = False
47.8918 	EXP 	text_3: autoDraw = True
48.8777 	EXP 	New trial (rep=8, index=0): None
48.8778 	EXP 	window1: recordFrameIntervals = False
48.8934 	EXP 	text_3: autoDraw = False
48.8934 	EXP 	text_3: autoDraw = False
48.8934 	EXP 	text: autoDraw = True
48.8937 	EXP 	window1: recordFrameIntervals = False
49.6108 	EXP 	Sound  started
49.7945 	EXP 	Sound  stopped
49.8611 	DATA 	Keypress: space
49.8623 	EXP 	Sound  stopped
49.8775 	EXP 	text: autoDraw = False
49.8775 	EXP 	text_3: autoDraw = True
50.8631 	EXP 	New trial (rep=9, index=0): None
50.8633 	EXP 	window1: recordFrameIntervals = False
50.8788 	EXP 	text_3: autoDraw = False
50.8788 	EXP 	text_3: autoDraw = False
50.8788 	EXP 	text: autoDraw = True
50.8790 	EXP 	window1: recordFrameIntervals = False
51.4796 	EXP 	Sound  started
51.6631 	EXP 	Sound  stopped
51.7301 	DATA 	Keypress: space
51.7313 	EXP 	Sound  stopped
51.7464 	EXP 	text: autoDraw = False
51.7464 	EXP 	text_3: autoDraw = True
52.7317 	EXP 	New trial (rep=10, index=0): None
52.7319 	EXP 	window1: recordFrameIntervals = False
52.7474 	EXP 	text_3: autoDraw = False
52.7474 	EXP 	text_3: autoDraw = False
52.7474 	EXP 	text: autoDraw = True
52.7476 	EXP 	window1: recordFrameIntervals = False
53.4149 	EXP 	Sound  started
53.6152 	EXP 	Sound  stopped
53.6321 	DATA 	Keypress: space
53.6332 	EXP 	Sound  stopped
53.6483 	EXP 	text: autoDraw = False
53.6483 	EXP 	text_3: autoDraw = True
54.6338 	EXP 	New trial (rep=11, index=0): None
54.6340 	EXP 	window1: recordFrameIntervals = False
54.6496 	EXP 	text_3: autoDraw = False
54.6496 	EXP 	text_3: autoDraw = False
54.6496 	EXP 	text: autoDraw = True
54.6498 	EXP 	window1: recordFrameIntervals = False
55.3840 	EXP 	Sound  started
55.5841 	EXP 	Sound  stopped
55.6010 	DATA 	Keypress: space
55.6021 	EXP 	Sound  stopped
55.6172 	EXP 	text: autoDraw = False
55.6172 	EXP 	text_3: autoDraw = True
56.6026 	EXP 	New trial (rep=12, index=0): None
56.6027 	EXP 	window1: recordFrameIntervals = False
56.6182 	EXP 	text_3: autoDraw = False
56.6182 	EXP 	text_3: autoDraw = False
56.6182 	EXP 	text: autoDraw = True
56.6184 	EXP 	window1: recordFrameIntervals = False
57.4029 	EXP 	Sound  started
57.5865 	EXP 	Sound  stopped
57.6364 	DATA 	Keypress: space
57.6376 	EXP 	Sound  stopped
57.6528 	EXP 	text: autoDraw = False
57.6528 	EXP 	text_3: autoDraw = True
58.6381 	EXP 	New trial (rep=13, index=0): None
58.6383 	EXP 	window1: recordFrameIntervals = False
58.6539 	EXP 	text_3: autoDraw = False
58.6539 	EXP 	text_3: autoDraw = False
58.6539 	EXP 	text: autoDraw = True
58.6540 	EXP 	window1: recordFrameIntervals = False
59.2050 	EXP 	Sound  started
59.3883 	EXP 	Sound  stopped
59.4560 	DATA 	Keypress: space
59.4726 	EXP 	Sound  stopped
59.4885 	EXP 	text: autoDraw = False
59.4885 	EXP 	text_3: autoDraw = True
60.4735 	EXP 	New trial (rep=14, index=0): None
60.4738 	EXP 	window1: recordFrameIntervals = False
60.4895 	EXP 	text_3: autoDraw = False
60.4895 	EXP 	text: autoDraw = True
60.4896 	EXP 	window1: recordFrameIntervals = False
61.0239 	EXP 	Sound  started
61.2071 	EXP 	Sound  stopped
61.2576 	DATA 	Keypress: space
61.2587 	EXP 	Sound  stopped
61.2737 	EXP 	text: autoDraw = False
61.2737 	EXP 	text_3: autoDraw = True
62.2590 	EXP 	New trial (rep=15, index=0): None
62.2591 	EXP 	window1: recordFrameIntervals = False
62.2747 	EXP 	text_3: autoDraw = False
62.2747 	EXP 	text_3: autoDraw = False
62.2747 	EXP 	text: autoDraw = True
62.2750 	EXP 	window1: recordFrameIntervals = False
62.7921 	EXP 	Sound  started
62.9922 	EXP 	Sound  stopped
63.0262 	DATA 	Keypress: space
63.0274 	EXP 	Sound  stopped
63.0423 	EXP 	text: autoDraw = False
63.0423 	EXP 	text_3: autoDraw = True
64.0278 	EXP 	New trial (rep=16, index=0): None
64.0280 	EXP 	window1: recordFrameIntervals = False
64.0436 	EXP 	text_3: autoDraw = False
64.0436 	EXP 	text_3: autoDraw = False
64.0436 	EXP 	text: autoDraw = True
64.0438 	EXP 	window1: recordFrameIntervals = False
64.8945 	EXP 	Sound  started
65.0786 	EXP 	Sound  stopped
65.1282 	DATA 	Keypress: space
65.1294 	EXP 	Sound  stopped
65.1446 	EXP 	text: autoDraw = False
65.1446 	EXP 	text_3: autoDraw = True
66.1302 	EXP 	New trial (rep=17, index=0): None
