19.8572 	WARNING 	Movie2 stim could not be imported and won't be available
85.4109 	EXP 	Created window1 = Window(allowGUI=False, allowStencil=False, autoLog=True, bitsMode=UNKNOWN, blendMode='avg', color=array([ 0.,  0.,  0.]), colorSpace='rgb', fullscr=UNKNOWN, gamma=None, lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor instance at 0xca98440>, name='window1', pos=[0, 0], screen=0, size=array([1920, 1080]), stereo=False, units=u'norm', useFBO=True, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
85.4109 	EXP 	window1: recordFrameIntervals = False
85.5768 	EXP 	window1: recordFrameIntervals = True
85.7607 	EXP 	window1: recordFrameIntervals = False
87.2272 	EXP 	Created text = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=-1.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.1, italic=False, name='text', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 255.,  255.,  255.]), text=u'+', units=u'norm', win=Window(...), wrapWidth=1)
87.9056 	EXP 	Set  sound=900.0
87.9056 	EXP 	Set Sound  volume=0.200
87.9607 	EXP 	Created text_3 = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.1, italic=False, name='text_3', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 255.,  255.,  255.]), text=u'ITI', units=u'norm', win=Window(...), wrapWidth=1)
87.9617 	EXP 	Created sequence: random, trialTypes=1, nReps=100, seed=None
87.9846 	EXP 	New trial (rep=0, index=0): None
88.0163 	EXP 	window1: recordFrameIntervals = False
88.0299 	EXP 	text: autoDraw = True
88.0301 	EXP 	window1: recordFrameIntervals = False
88.5472 	EXP 	Sound  started
88.7307 	EXP 	Sound  stopped
88.8310 	DATA 	Keypress: space
88.8327 	EXP 	Sound  stopped
88.8470 	EXP 	text: autoDraw = False
88.8470 	EXP 	text_3: autoDraw = True
89.8327 	EXP 	New trial (rep=1, index=0): None
89.8328 	EXP 	window1: recordFrameIntervals = False
89.8484 	EXP 	text_3: autoDraw = False
89.8484 	EXP 	text_3: autoDraw = False
89.8484 	EXP 	text: autoDraw = True
89.8487 	EXP 	window1: recordFrameIntervals = False
90.5331 	EXP 	Sound  started
90.7331 	EXP 	Sound  stopped
90.8166 	DATA 	Keypress: space
90.8178 	EXP 	Sound  stopped
90.8328 	EXP 	text: autoDraw = False
90.8328 	EXP 	text_3: autoDraw = True
91.8182 	EXP 	New trial (rep=2, index=0): None
91.8183 	EXP 	window1: recordFrameIntervals = False
91.8340 	EXP 	text_3: autoDraw = False
91.8340 	EXP 	text_3: autoDraw = False
91.8340 	EXP 	text: autoDraw = True
91.8342 	EXP 	window1: recordFrameIntervals = False
92.4683 	EXP 	Sound  started
92.6518 	EXP 	Sound  stopped
92.6853 	DATA 	Keypress: space
92.6866 	EXP 	Sound  stopped
92.7015 	EXP 	text: autoDraw = False
92.7015 	EXP 	text_3: autoDraw = True
93.6870 	EXP 	New trial (rep=3, index=0): None
93.6872 	EXP 	window1: recordFrameIntervals = False
93.7028 	EXP 	text_3: autoDraw = False
93.7028 	EXP 	text_3: autoDraw = False
93.7028 	EXP 	text: autoDraw = True
93.7030 	EXP 	window1: recordFrameIntervals = False
94.2201 	EXP 	Sound  started
94.4204 	EXP 	Sound  stopped
94.4539 	DATA 	Keypress: space
94.4551 	EXP 	Sound  stopped
94.4701 	EXP 	text: autoDraw = False
94.4701 	EXP 	text_3: autoDraw = True
95.4557 	EXP 	New trial (rep=4, index=0): None
95.4558 	EXP 	window1: recordFrameIntervals = False
95.4714 	EXP 	text_3: autoDraw = False
95.4714 	EXP 	text_3: autoDraw = False
95.4714 	EXP 	text: autoDraw = True
95.4716 	EXP 	window1: recordFrameIntervals = False
96.0890 	EXP 	Sound  started
96.2723 	EXP 	Sound  stopped
96.2894 	DATA 	Keypress: space
96.2908 	EXP 	Sound  stopped
96.3056 	EXP 	text: autoDraw = False
96.3056 	EXP 	text_3: autoDraw = True
97.2911 	EXP 	New trial (rep=5, index=0): None
97.2913 	EXP 	window1: recordFrameIntervals = False
97.3068 	EXP 	text_3: autoDraw = False
97.3068 	EXP 	text_3: autoDraw = False
97.3068 	EXP 	text: autoDraw = True
97.3070 	EXP 	window1: recordFrameIntervals = False
97.9413 	EXP 	Sound  started
98.1245 	EXP 	Sound  stopped
98.1580 	DATA 	Keypress: space
98.1592 	EXP 	Sound  stopped
98.1742 	EXP 	text: autoDraw = False
98.1742 	EXP 	text_3: autoDraw = True
99.1597 	EXP 	New trial (rep=6, index=0): None
99.1598 	EXP 	window1: recordFrameIntervals = False
99.1755 	EXP 	text_3: autoDraw = False
99.1755 	EXP 	text_3: autoDraw = False
99.1755 	EXP 	text: autoDraw = True
99.1757 	EXP 	window1: recordFrameIntervals = False
99.7267 	EXP 	Sound  started
99.9102 	EXP 	Sound  stopped
100.0102 	DATA 	Keypress: space
100.0114 	EXP 	Sound  stopped
100.0264 	EXP 	text: autoDraw = False
100.0264 	EXP 	text_3: autoDraw = True
101.0117 	EXP 	New trial (rep=7, index=0): None
101.0119 	EXP 	window1: recordFrameIntervals = False
101.0274 	EXP 	text_3: autoDraw = False
101.0274 	EXP 	text_3: autoDraw = False
101.0274 	EXP 	text: autoDraw = True
101.0276 	EXP 	window1: recordFrameIntervals = False
101.7619 	EXP 	Sound  started
101.8455 	DATA 	Keypress: space
101.8468 	EXP 	Sound  stopped
101.8618 	EXP 	text: autoDraw = False
101.8618 	EXP 	text_3: autoDraw = True
102.8475 	EXP 	New trial (rep=8, index=0): None
102.8476 	EXP 	window1: recordFrameIntervals = False
102.8631 	EXP 	text_3: autoDraw = False
102.8631 	EXP 	text_3: autoDraw = False
102.8631 	EXP 	text: autoDraw = True
102.8633 	EXP 	window1: recordFrameIntervals = False
103.5308 	EXP 	Sound  started
103.7307 	EXP 	Sound  stopped
103.8477 	DATA 	Keypress: space
103.8489 	EXP 	Sound  stopped
103.8639 	EXP 	text: autoDraw = False
