0.3274 	WARNING 	Movie2 stim could not be imported and won't be available
28.6693 	EXP 	New trial (rep=9, index=0): None
28.6695 	EXP 	window1: recordFrameIntervals = False
28.6848 	EXP 	text_3: autoDraw = False
28.6848 	EXP 	text_3: autoDraw = False
28.6848 	EXP 	text: autoDraw = True
28.6851 	EXP 	window1: recordFrameIntervals = False
29.6526 	EXP 	Sound  started
29.8359 	EXP 	Sound  stopped
29.8862 	DATA 	Keypress: space
29.8864 	EXP 	Sound  stopped
29.9027 	EXP 	text: autoDraw = False
29.9027 	EXP 	text_3: autoDraw = True
30.8875 	EXP 	New trial (rep=10, index=0): None
30.8877 	EXP 	window1: recordFrameIntervals = False
30.9033 	EXP 	text_3: autoDraw = False
30.9033 	EXP 	text_3: autoDraw = False
30.9033 	EXP 	text: autoDraw = True
30.9035 	EXP 	window1: recordFrameIntervals = False
31.7706 	EXP 	Sound  started
31.9706 	EXP 	Sound  stopped
31.9711 	DATA 	Keypress: space
31.9713 	EXP 	Sound  stopped
31.9872 	EXP 	text: autoDraw = False
31.9872 	EXP 	text_3: autoDraw = True
32.9726 	EXP 	New trial (rep=11, index=0): None
32.9729 	EXP 	window1: recordFrameIntervals = False
32.9881 	EXP 	text_3: autoDraw = False
32.9881 	EXP 	text_3: autoDraw = False
32.9881 	EXP 	text: autoDraw = True
32.9883 	EXP 	window1: recordFrameIntervals = False
33.8890 	EXP 	Sound  started
34.0722 	EXP 	Sound  stopped
34.0892 	DATA 	Keypress: space
34.0894 	EXP 	Sound  stopped
34.1055 	EXP 	text: autoDraw = False
34.1055 	EXP 	text_3: autoDraw = True
35.0912 	EXP 	New trial (rep=12, index=0): None
35.0915 	EXP 	window1: recordFrameIntervals = False
35.1063 	EXP 	text_3: autoDraw = False
35.1063 	EXP 	text_3: autoDraw = False
35.1063 	EXP 	text: autoDraw = True
35.1065 	EXP 	window1: recordFrameIntervals = False
35.6239 	EXP 	Sound  started
35.7905 	EXP 	Sound  stopped
35.8909 	DATA 	Keypress: space
35.8911 	EXP 	Sound  stopped
35.9072 	EXP 	text: autoDraw = False
35.9072 	EXP 	text_3: autoDraw = True
36.8926 	EXP 	New trial (rep=13, index=0): None
36.8928 	EXP 	window1: recordFrameIntervals = False
36.9079 	EXP 	text_3: autoDraw = False
36.9079 	EXP 	text_3: autoDraw = False
36.9079 	EXP 	text: autoDraw = True
36.9080 	EXP 	window1: recordFrameIntervals = False
37.6254 	EXP 	Sound  started
37.8087 	EXP 	Sound  stopped
37.8257 	DATA 	Keypress: space
37.8259 	EXP 	Sound  stopped
37.8421 	EXP 	text: autoDraw = False
37.8421 	EXP 	text_3: autoDraw = True
38.8272 	EXP 	New trial (rep=14, index=0): None
38.8274 	EXP 	window1: recordFrameIntervals = False
38.8427 	EXP 	text_3: autoDraw = False
38.8427 	EXP 	text_3: autoDraw = False
38.8427 	EXP 	text: autoDraw = True
38.8428 	EXP 	window1: recordFrameIntervals = False
39.5104 	EXP 	Sound  started
39.6935 	EXP 	Sound  stopped
39.7105 	DATA 	Keypress: space
39.7109 	EXP 	Sound  stopped
39.7268 	EXP 	text: autoDraw = False
39.7268 	EXP 	text_3: autoDraw = True
40.7117 	EXP 	New trial (rep=15, index=0): None
40.7119 	EXP 	window1: recordFrameIntervals = False
40.7275 	EXP 	text_3: autoDraw = False
40.7275 	EXP 	text_3: autoDraw = False
40.7275 	EXP 	text: autoDraw = True
40.7277 	EXP 	window1: recordFrameIntervals = False
41.2780 	EXP 	Sound  started
41.4613 	EXP 	Sound  stopped
41.5117 	DATA 	Keypress: space
41.5121 	EXP 	Sound  stopped
41.5278 	EXP 	text: autoDraw = False
41.5278 	EXP 	text_3: autoDraw = True
42.5131 	EXP 	New trial (rep=16, index=0): None
42.5133 	EXP 	window1: recordFrameIntervals = False
42.5288 	EXP 	text_3: autoDraw = False
42.5288 	EXP 	text_3: autoDraw = False
42.5288 	EXP 	text: autoDraw = True
42.5289 	EXP 	window1: recordFrameIntervals = False
43.4798 	EXP 	Sound  started
43.6631 	EXP 	Sound  stopped
43.6966 	DATA 	Keypress: space
43.6968 	EXP 	Sound  stopped
43.7131 	EXP 	text: autoDraw = False
43.7131 	EXP 	text_3: autoDraw = True
44.6982 	EXP 	New trial (rep=17, index=0): None
44.6985 	EXP 	window1: recordFrameIntervals = False
44.7140 	EXP 	text_3: autoDraw = False
44.7140 	EXP 	text_3: autoDraw = False
44.7140 	EXP 	text: autoDraw = True
44.7142 	EXP 	window1: recordFrameIntervals = False
