0.3334 	WARNING 	Movie2 stim could not be imported and won't be available
3.4895 	EXP 	Created window1 = Window(allowGUI=False, allowStencil=False, autoLog=True, bitsMode=UNKNOWN, blendMode='avg', color=array([ 0.,  0.,  0.]), colorSpace='rgb', fullscr=UNKNOWN, gamma=None, lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor instance at 0xf204e90>, name='window1', pos=[0, 0], screen=0, size=array([2560, 1440]), stereo=False, units=u'norm', useFBO=True, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
3.4895 	EXP 	window1: recordFrameIntervals = False
3.6553 	EXP 	window1: recordFrameIntervals = True
3.8392 	EXP 	window1: recordFrameIntervals = False
5.3737 	EXP 	Set  sound=C
5.4057 	EXP 	Set  sound=900.0
5.4057 	EXP 	Sound  set volume 0.200
5.4533 	EXP 	Created text = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color=u'white', colorSpace='named', contrast=1.0, depth=-2.0, flipHoriz=False, flipVert=False, font=u'Arial', fontFiles=[], height=0.1, italic=False, name='text', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 255.,  255.,  255.]), text=u'+', units=u'norm', win=Window(...), wrapWidth=1)
5.4540 	EXP 	Created sequence: random, trialTypes=1, nReps=50, seed=None
5.4546 	EXP 	New trial (rep=0, index=0): None
5.4549 	EXP 	window1: recordFrameIntervals = False
5.4731 	EXP 	text: autoDraw = True
5.4733 	EXP 	window1: recordFrameIntervals = False
6.1072 	EXP 	Sound  started
6.3071 	EXP 	Sound  stopped
6.4408 	DATA 	Keypress: space
6.4415 	EXP 	Sound  stopped
6.4433 	EXP 	New trial (rep=1, index=0): None
6.4435 	EXP 	window1: recordFrameIntervals = False
6.4572 	EXP 	text: autoDraw = False
6.4572 	EXP 	text: autoDraw = True
6.4574 	EXP 	window1: recordFrameIntervals = False
7.1079 	EXP 	Sound  started
7.2912 	EXP 	Sound  stopped
7.4578 	EXP 	text: autoDraw = False
7.6081 	DATA 	Keypress: space
7.6084 	EXP 	Sound  stopped
7.6097 	EXP 	New trial (rep=2, index=0): None
7.6098 	EXP 	window1: recordFrameIntervals = False
7.6245 	EXP 	text: autoDraw = False
7.6245 	EXP 	text: autoDraw = True
7.6246 	EXP 	window1: recordFrameIntervals = False
8.1250 	EXP 	Sound  started
8.2083 	EXP 	Sound  stopped
8.4922 	DATA 	Keypress: space
8.4924 	EXP 	Sound  stopped
8.4938 	EXP 	New trial (rep=3, index=0): None
