trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,jitterTime,date,frameRate,expName,session,participant,
84,0,84,0,space,0,1.2008368969,0.96,2015_Jun_02_1531,59.6508813298,DondersAuditory2,002,104,
85,0,85,0,space,0,0.900377035141,0.6,2015_Jun_02_1531,59.6508813298,DondersAuditory2,002,104,
86,0,86,0,space,0,0.933899879456,0.69,2015_Jun_02_1531,59.6508813298,DondersAuditory2,002,104,
87,0,87,0,space,0,1.13432621956,0.85,2015_Jun_02_1531,59.6508813298,DondersAuditory2,002,104,
88,0,88,0,space,0,0.950182914734,0.66,2015_Jun_02_1531,59.6508813298,DondersAuditory2,002,104,
89,0,89,0,space,0,0.950380086899,0.7,2015_Jun_02_1531,59.6508813298,DondersAuditory2,002,104,
90,0,90,0,space,0,0.83355307579,0.59,2015_Jun_02_1531,59.6508813298,DondersAuditory2,002,104,
91,0,91,0,space,0,1.23443698883,0.96,2015_Jun_02_1531,59.6508813298,DondersAuditory2,002,104,
92,0,92,0,space,0,1.21785902977,0.93,2015_Jun_02_1531,59.6508813298,DondersAuditory2,002,104,
93,0,93,0,space,0,0.883679866791,0.6,2015_Jun_02_1531,59.6508813298,DondersAuditory2,002,104,
94,0,94,0,space,0,0.750319957733,0.5,2015_Jun_02_1531,59.6508813298,DondersAuditory2,002,104,
95,0,95,0,space,0,0.850740909576,0.54,2015_Jun_02_1531,59.6508813298,DondersAuditory2,002,104,
96,0,96,0,space,0,0.951052188873,0.66,2015_Jun_02_1531,59.6508813298,DondersAuditory2,002,104,
97,0,97,0,space,0,0.850389003754,0.58,2015_Jun_02_1531,59.6508813298,DondersAuditory2,002,104,
98,0,98,0,space,0,0.866992950439,0.58,2015_Jun_02_1531,59.6508813298,DondersAuditory2,002,104,
99,0,99,0,space,0,0.983644962311,0.83,2015_Jun_02_1531,59.6508813298,DondersAuditory2,002,104,
