0.3140 	WARNING 	Movie2 stim could not be imported and won't be available
23.2517 	EXP 	window1: recordFrameIntervals = False
23.2673 	EXP 	text_3: autoDraw = False
23.2673 	EXP 	text_3: autoDraw = False
23.2673 	EXP 	text: autoDraw = True
23.2675 	EXP 	window1: recordFrameIntervals = False
24.0011 	EXP 	text_2: autoDraw = True
24.1848 	EXP 	text_2: autoDraw = False
24.2356 	DATA 	Keypress: space
24.2517 	EXP 	text: autoDraw = False
24.2517 	EXP 	text_2: autoDraw = False
24.2517 	EXP 	text_3: autoDraw = True
25.2374 	EXP 	New trial (rep=9, index=0): None
25.2376 	EXP 	window1: recordFrameIntervals = False
25.2533 	EXP 	text_3: autoDraw = False
25.2533 	EXP 	text_3: autoDraw = False
25.2533 	EXP 	text: autoDraw = True
25.2535 	EXP 	window1: recordFrameIntervals = False
25.8703 	EXP 	text_2: autoDraw = True
26.0535 	EXP 	text_2: autoDraw = False
26.0872 	DATA 	Keypress: space
26.1035 	EXP 	text: autoDraw = False
26.1035 	EXP 	text_2: autoDraw = False
26.1035 	EXP 	text_3: autoDraw = True
27.0889 	EXP 	New trial (rep=10, index=0): None
27.0891 	EXP 	window1: recordFrameIntervals = False
27.1047 	EXP 	text_3: autoDraw = False
27.1047 	EXP 	text_3: autoDraw = False
27.1047 	EXP 	text: autoDraw = True
27.1049 	EXP 	window1: recordFrameIntervals = False
27.9728 	DATA 	Keypress: space
27.9890 	EXP 	text: autoDraw = False
27.9890 	EXP 	text_2: autoDraw = False
27.9890 	EXP 	text_3: autoDraw = True
28.9747 	EXP 	New trial (rep=11, index=0): None
28.9749 	EXP 	window1: recordFrameIntervals = False
28.9904 	EXP 	text_3: autoDraw = False
28.9904 	EXP 	text_3: autoDraw = False
28.9904 	EXP 	text: autoDraw = True
28.9907 	EXP 	window1: recordFrameIntervals = False
29.5741 	EXP 	text_2: autoDraw = True
29.7746 	EXP 	text_2: autoDraw = False
29.8420 	DATA 	Keypress: space
29.8744 	EXP 	text: autoDraw = False
29.8744 	EXP 	text_2: autoDraw = False
29.8744 	EXP 	text_3: autoDraw = True
30.8600 	EXP 	New trial (rep=12, index=0): None
30.8602 	EXP 	window1: recordFrameIntervals = False
30.8757 	EXP 	text_3: autoDraw = False
30.8757 	EXP 	text_3: autoDraw = False
30.8757 	EXP 	text: autoDraw = True
30.8759 	EXP 	window1: recordFrameIntervals = False
31.6600 	EXP 	text_2: autoDraw = True
31.8600 	EXP 	text_2: autoDraw = False
31.8936 	DATA 	Keypress: space
31.9099 	EXP 	text: autoDraw = False
31.9099 	EXP 	text_2: autoDraw = False
31.9099 	EXP 	text_3: autoDraw = True
32.8954 	EXP 	New trial (rep=13, index=0): None
32.8955 	EXP 	window1: recordFrameIntervals = False
32.9112 	EXP 	text_3: autoDraw = False
32.9112 	EXP 	text_3: autoDraw = False
32.9112 	EXP 	text: autoDraw = True
32.9114 	EXP 	window1: recordFrameIntervals = False
33.5787 	EXP 	text_2: autoDraw = True
33.7621 	EXP 	text_2: autoDraw = False
33.8291 	DATA 	Keypress: space
33.8455 	EXP 	text: autoDraw = False
33.8455 	EXP 	text_2: autoDraw = False
33.8455 	EXP 	text_3: autoDraw = True
34.8311 	EXP 	New trial (rep=14, index=0): None
34.8312 	EXP 	window1: recordFrameIntervals = False
34.8468 	EXP 	text_3: autoDraw = False
34.8468 	EXP 	text_3: autoDraw = False
34.8468 	EXP 	text: autoDraw = True
34.8470 	EXP 	window1: recordFrameIntervals = False
35.4305 	EXP 	text_2: autoDraw = True
35.6310 	EXP 	text_2: autoDraw = False
35.6819 	DATA 	Keypress: space
35.6983 	EXP 	text: autoDraw = False
35.6983 	EXP 	text_2: autoDraw = False
35.6983 	EXP 	text_3: autoDraw = True
36.6831 	EXP 	New trial (rep=15, index=0): None
36.6833 	EXP 	window1: recordFrameIntervals = False
36.6989 	EXP 	text_3: autoDraw = False
36.6989 	EXP 	text_3: autoDraw = False
36.6989 	EXP 	text: autoDraw = True
36.6991 	EXP 	window1: recordFrameIntervals = False
37.5329 	EXP 	text_2: autoDraw = True
37.7168 	EXP 	text_2: autoDraw = False
37.7514 	DATA 	Keypress: space
37.7837 	EXP 	text: autoDraw = False
37.7837 	EXP 	text_2: autoDraw = False
37.7837 	EXP 	text_3: autoDraw = True
38.7689 	EXP 	New trial (rep=16, index=0): None
38.7691 	EXP 	window1: recordFrameIntervals = False
38.7847 	EXP 	text_3: autoDraw = False
38.7847 	EXP 	text: autoDraw = True
38.7849 	EXP 	window1: recordFrameIntervals = False
39.5185 	EXP 	text_2: autoDraw = True
39.7022 	EXP 	text_2: autoDraw = False
39.7524 	DATA 	Keypress: space
39.7687 	EXP 	text: autoDraw = False
39.7687 	EXP 	text_2: autoDraw = False
39.7687 	EXP 	text_3: autoDraw = True
40.7542 	EXP 	New trial (rep=17, index=0): None
40.7543 	EXP 	window1: recordFrameIntervals = False
40.7699 	EXP 	text_3: autoDraw = False
40.7699 	EXP 	text_3: autoDraw = False
40.7699 	EXP 	text: autoDraw = True
40.7701 	EXP 	window1: recordFrameIntervals = False
41.7546 	EXP 	text_2: autoDraw = True
41.9551 	EXP 	text_2: autoDraw = False
41.9881 	DATA 	Keypress: space
42.0051 	EXP 	text: autoDraw = False
42.0051 	EXP 	text_2: autoDraw = False
42.0051 	EXP 	text_3: autoDraw = True
42.9900 	EXP 	New trial (rep=18, index=0): None
42.9901 	EXP 	window1: recordFrameIntervals = False
43.0058 	EXP 	text_3: autoDraw = False
43.0058 	EXP 	text_3: autoDraw = False
43.0058 	EXP 	text: autoDraw = True
43.0060 	EXP 	window1: recordFrameIntervals = False
43.5228 	EXP 	text_2: autoDraw = True
43.7066 	EXP 	text_2: autoDraw = False
43.8071 	DATA 	Keypress: space
43.8237 	EXP 	text: autoDraw = False
43.8237 	EXP 	text_2: autoDraw = False
43.8237 	EXP 	text_3: autoDraw = True
44.8091 	EXP 	New trial (rep=19, index=0): None
44.8092 	EXP 	window1: recordFrameIntervals = False
44.8248 	EXP 	text_3: autoDraw = False
44.8248 	EXP 	text_3: autoDraw = False
44.8248 	EXP 	text: autoDraw = True
44.8250 	EXP 	window1: recordFrameIntervals = False
45.5259 	EXP 	text_2: autoDraw = True
45.7094 	EXP 	text_2: autoDraw = False
45.7591 	DATA 	Keypress: space
45.7754 	EXP 	text: autoDraw = False
45.7754 	EXP 	text_2: autoDraw = False
45.7754 	EXP 	text_3: autoDraw = True
46.7607 	EXP 	New trial (rep=20, index=0): None
46.7609 	EXP 	window1: recordFrameIntervals = False
46.7765 	EXP 	text_3: autoDraw = False
46.7765 	EXP 	text_3: autoDraw = False
46.7765 	EXP 	text: autoDraw = True
46.7768 	EXP 	window1: recordFrameIntervals = False
47.7450 	EXP 	text_2: autoDraw = True
47.8116 	DATA 	Keypress: space
47.8278 	EXP 	text: autoDraw = False
47.8278 	EXP 	text_2: autoDraw = False
47.8278 	EXP 	text_3: autoDraw = True
48.8132 	EXP 	New trial (rep=21, index=0): None
48.8134 	EXP 	window1: recordFrameIntervals = False
48.8289 	EXP 	text_3: autoDraw = False
48.8289 	EXP 	text_3: autoDraw = False
48.8289 	EXP 	text: autoDraw = True
48.8292 	EXP 	window1: recordFrameIntervals = False
49.3461 	EXP 	text_2: autoDraw = True
49.5300 	EXP 	text_2: autoDraw = False
49.6134 	DATA 	Keypress: space
49.6298 	EXP 	text: autoDraw = False
49.6298 	EXP 	text_2: autoDraw = False
49.6298 	EXP 	text_3: autoDraw = True
50.6152 	EXP 	New trial (rep=22, index=0): None
50.6154 	EXP 	window1: recordFrameIntervals = False
50.6310 	EXP 	text_3: autoDraw = False
50.6310 	EXP 	text_3: autoDraw = False
50.6310 	EXP 	text: autoDraw = True
50.6312 	EXP 	window1: recordFrameIntervals = False
51.3654 	EXP 	text_2: autoDraw = True
51.5485 	EXP 	text_2: autoDraw = False
51.5989 	DATA 	Keypress: space
51.6152 	EXP 	text: autoDraw = False
51.6152 	EXP 	text_2: autoDraw = False
51.6152 	EXP 	text_3: autoDraw = True
52.6008 	EXP 	New trial (rep=23, index=0): None
52.6010 	EXP 	window1: recordFrameIntervals = False
52.6165 	EXP 	text_3: autoDraw = False
52.6165 	EXP 	text_3: autoDraw = False
52.6165 	EXP 	text: autoDraw = True
52.6168 	EXP 	window1: recordFrameIntervals = False
53.2342 	EXP 	text_2: autoDraw = True
53.4177 	EXP 	text_2: autoDraw = False
53.5019 	DATA 	Keypress: space
53.5181 	EXP 	text: autoDraw = False
53.5181 	EXP 	text_2: autoDraw = False
53.5181 	EXP 	text_3: autoDraw = True
54.5028 	EXP 	New trial (rep=24, index=0): None
54.5029 	EXP 	window1: recordFrameIntervals = False
54.5185 	EXP 	text_3: autoDraw = False
54.5185 	EXP 	text_3: autoDraw = False
54.5185 	EXP 	text: autoDraw = True
54.5187 	EXP 	window1: recordFrameIntervals = False
55.0357 	EXP 	text_2: autoDraw = True
55.2201 	EXP 	text_2: autoDraw = False
55.2700 	DATA 	Keypress: space
55.2862 	EXP 	text: autoDraw = False
55.2862 	EXP 	text_2: autoDraw = False
55.2862 	EXP 	text_3: autoDraw = True
56.2717 	EXP 	New trial (rep=25, index=0): None
56.2718 	EXP 	window1: recordFrameIntervals = False
56.2873 	EXP 	text_3: autoDraw = False
56.2873 	EXP 	text_3: autoDraw = False
56.2873 	EXP 	text: autoDraw = True
56.2875 	EXP 	window1: recordFrameIntervals = False
56.8215 	EXP 	text_2: autoDraw = True
57.0046 	EXP 	text_2: autoDraw = False
57.0722 	DATA 	Keypress: space
57.0882 	EXP 	text: autoDraw = False
57.0882 	EXP 	text_2: autoDraw = False
57.0882 	EXP 	text_3: autoDraw = True
58.0737 	EXP 	New trial (rep=26, index=0): None
58.0739 	EXP 	window1: recordFrameIntervals = False
58.0894 	EXP 	text_3: autoDraw = False
58.0894 	EXP 	text_3: autoDraw = False
58.0894 	EXP 	text: autoDraw = True
58.0896 	EXP 	window1: recordFrameIntervals = False
