xPos,corrAns,yPos,corrGoResp,yPosGoStim,xPosGoStim,pracTrials.thisRepN,pracTrials.thisTrialN,pracTrials.thisN,pracTrials.thisIndex,ReDoLoopPrac.thisRepN,ReDoLoopPrac.thisTrialN,ReDoLoopPrac.thisN,ReDoLoopPrac.thisIndex,ReDoLoopPrac.thisTrial,pracStopTrials.thisRepN,pracStopTrials.thisTrialN,pracStopTrials.thisN,pracStopTrials.thisIndex,Blocks.thisRepN,Blocks.thisTrialN,Blocks.thisN,Blocks.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,ReDoLoopMain.thisRepN,ReDoLoopMain.thisTrialN,ReDoLoopMain.thisN,ReDoLoopMain.thisIndex,ReDoLoopMain.thisTrial,StopBlocks.thisRepN,StopBlocks.thisTrialN,StopBlocks.thisN,StopBlocks.thisIndex,StopBlocks.thisTrial,ok1.keys,ok1.rt,StartTrialTimeStamp,resp.keys,resp.corr,resp.rt,learningStimOnset,learningFixOnset,EndTrialTimeStamp,beginningSSD,trialType,goStim,goResp.keys,goResp.corr,goResp.rt,goTrailCountOutput,goCumRTOutput,goRTCountOutput,stopTrialCountOutput,stopSuccessCountOutput,omissionCountOutput,commissionCountOutput,fixStopOnset,goStimOnset,stopSignalOnset,key_resp_3.keys,key_resp_3.rt,computedRewardOutput,key_resp_7.keys,key_resp_7.rt,expName,gender (m/f),age,frameRate,session,date,participant,
-200,a,-200,,,,,,,,,,,,,,,,,0,0,0,0,19,0,76,3,1,0,1,0,None,,,,,,,,,a,1,0.384073972702,0.51556801796,0.00172710418701,496.384968996,,,,,,,,,,,,,,,,,,,0.34,,,LearningTask,,,60.001688051,3,2015_May_27_1625,5,
-200,a,-200,,,,,,,,,,,,,,,,,0,0,0,0,19,0,76,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LearningTask,,,60.001688051,3,2015_May_27_1625,5,
200,s,-200,,,,,,,,,,,,,,,,,0,0,0,0,19,1,77,2,0,0,0,0,None,,,,,,,,497.182241917,s,1,0.367175102234,0.501436948776,0.000905990600586,500.185073137,,,,,,,,,,,,,,,,,,,1.9,,,LearningTask,,,60.001688051,3,2015_May_27_1625,5,
200,s,-200,,,,,,,,,,,,,,,,,0,0,0,0,19,1,77,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LearningTask,,,60.001688051,3,2015_May_27_1625,5,
-200,q,200,,,,,,,,,,,,,,,,,0,0,0,0,19,2,78,1,0,0,0,0,None,,,,,,,,500.940611124,q,1,0.317631006241,0.509891033173,0.00139999389648,503.935804129,,,,,,,,,,,,,,,,,,,3.92,,,LearningTask,,,60.001688051,3,2015_May_27_1625,5,
-200,q,200,,,,,,,,,,,,,,,,,0,0,0,0,19,2,78,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LearningTask,,,60.001688051,3,2015_May_27_1625,5,
200,w,200,,,,,,,,,,,,,,,,,0,0,0,0,19,3,79,0,0,0,0,0,None,,,,,,,,504.737142086,w,1,0.967444896698,0.514148950577,0.000893831253052,507.736161947,,,,,,,,,,,,,,,,,,,4.22,,,LearningTask,,,60.001688051,3,2015_May_27_1625,5,
200,w,200,,,,,,,,,,,,,,,,,0,0,0,0,19,3,79,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LearningTask,,,60.001688051,3,2015_May_27_1625,5,
200,s,-200,,,,,,,,,,,,,,,,,0,0,0,0,20,0,80,2,0,0,0,0,None,,,,,,,,508.520225048,s,1,0.400568008423,0.514889001846,0.00091814994812,511.520442963,,,,,,,,,,,,,,,,,,,1.24,,,LearningTask,,,60.001688051,3,2015_May_27_1625,5,
200,s,-200,,,,,,,,,,,,,,,,,0,0,0,0,20,0,80,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LearningTask,,,60.001688051,3,2015_May_27_1625,5,
