corrGoResp,yPosGoStim,xPosGoStim,Blocks.thisRepN,Blocks.thisTrialN,Blocks.thisN,Blocks.thisIndex,StopBlocks.thisRepN,StopBlocks.thisTrialN,StopBlocks.thisN,StopBlocks.thisIndex,StopBlocks.thisTrial,StopTrials.thisRepN,StopTrials.thisTrialN,StopTrials.thisN,StopTrials.thisIndex,ok1.keys,ok1.rt,beginningSSD,trialType,goStim,goResp.keys,goResp.corr,goResp.rt,goTrailCountOutput,goCumRTOutput,goRTCountOutput,stopTrialCountOutput,stopSuccessCountOutput,omissionCountOutput,commissionCountOutput,EndingSSD,expName,gender (m/f),age,frameRate,session,date,participant,
,,,,,,,,,,,,,,,,space,0.652873039246,,,,,,,,,,,,,,,LearningTask,,,60.0358700491,3,2015_Mar_31_1601,4343,
m,0,200,,,,,0,0,0,0,None,0,0,0,1,,,-1,go,invertedtrianglewhite.gif,m,1,0.350717782974,1,0.350717782974,1,0,0,0,0,-1,LearningTask,,,60.0358700491,3,2015_Mar_31_1601,4343,
m,0,200,,,,,0,0,0,0,None,0,1,1,1,,,-1,go,circleorange.gif,m,1,0.300789117813,2,0.651506900787,2,0,0,0,0,-1,LearningTask,,,60.0358700491,3,2015_Mar_31_1601,4343,
m,0,200,,,,,0,0,0,0,None,1,0,2,1,,,-1,go,linegray.gif,m,1,0.333899021149,3,0.985405921936,3,0,0,0,0,-1,LearningTask,,,60.0358700491,3,2015_Mar_31_1601,4343,
m,0,200,,,,,0,0,0,0,None,1,1,3,1,,,0.25,stop,squarecyan.gif,m,1,0.333718061447,3,0.985405921936,3,1,0,0,0,0.2,LearningTask,,,60.0358700491,3,2015_Mar_31_1601,4343,
z,0,-200,,,,,0,0,0,0,None,2,0,4,0,,,-1,go,diamondyellow.gif,z,1,0.283509016037,4,1.26891493797,4,1,0,0,0,-1,LearningTask,,,60.0358700491,3,2015_Mar_31_1601,4343,
m,0,200,,,,,0,0,0,0,None,2,1,5,1,,,0.2,stop,trianglemagenta.gif,z,0,0.367078065872,4,1.26891493797,4,2,0,0,0,0.15,LearningTask,,,60.0358700491,3,2015_Mar_31_1601,4343,
z,0,-200,,,,,0,0,0,0,None,3,0,6,0,,,0.25,stop,hexagongreen.gif,m,0,0.416743040085,4,1.26891493797,4,3,0,0,0,0.2,LearningTask,,,60.0358700491,3,2015_Mar_31_1601,4343,
m,0,200,,,,,0,0,0,0,None,3,1,7,1,,,-1,go,circleorange.gif,z,0,0.334185838699,5,1.26891493797,4,3,0,0,1,-1,LearningTask,,,60.0358700491,3,2015_Mar_31_1601,4343,
z,0,-200,,,,,0,0,0,0,None,4,0,8,0,,,-1,go,squarecyan.gif,m,0,0.333855867386,6,1.26891493797,4,3,0,0,2,-1,LearningTask,,,60.0358700491,3,2015_Mar_31_1601,4343,
z,0,-200,,,,,0,0,0,0,None,4,1,9,0,,,-1,go,linegray.gif,m,0,0.417153120041,7,1.26891493797,4,3,0,0,3,-1,LearningTask,,,60.0358700491,3,2015_Mar_31_1601,4343,
z,0,-200,,,,,0,0,0,0,None,5,0,10,0,,,0.2,stop,squarecyan.gif,None,0,,7,1.26891493797,4,4,1,0,3,0.25,LearningTask,,,60.0358700491,3,2015_Mar_31_1601,4343,
z,0,-200,,,,,0,0,0,0,None,5,1,11,0,,,0.25,stop,hexagongreen.gif,None,0,,7,1.26891493797,4,5,2,0,3,0.3,LearningTask,,,60.0358700491,3,2015_Mar_31_1601,4343,
m,0,200,,,,,0,0,0,0,None,6,0,12,1,,,-1,go,circleorange.gif,None,0,,8,1.26891493797,4,5,2,1,3,-1,LearningTask,,,60.0358700491,3,2015_Mar_31_1601,4343,
m,0,200,,,,,0,0,0,0,None,6,1,13,1,,,-1,go,circleorange.gif,None,0,,9,1.26891493797,4,5,2,2,3,-1,LearningTask,,,60.0358700491,3,2015_Mar_31_1601,4343,
z,0,-200,,,,,0,0,0,0,None,7,0,14,0,,,-1,go,invertedtrianglewhite.gif,None,0,,10,1.26891493797,4,5,2,3,3,-1,LearningTask,,,60.0358700491,3,2015_Mar_31_1601,4343,
z,0,-200,,,,,0,0,0,0,None,7,1,15,0,,,-1,go,circleorange.gif,None,0,,11,1.26891493797,4,5,2,4,3,-1,LearningTask,,,60.0358700491,3,2015_Mar_31_1601,4343,
m,0,200,,,,,0,0,0,0,None,8,0,16,1,,,0.15,stop,trianglemagenta.gif,None,0,,11,1.26891493797,4,6,3,4,3,0.2,LearningTask,,,60.0358700491,3,2015_Mar_31_1601,4343,
z,0,-200,,,,,0,0,0,0,None,8,1,17,0,,,-1,go,diamondyellow.gif,None,0,,12,1.26891493797,4,6,3,5,3,-1,LearningTask,,,60.0358700491,3,2015_Mar_31_1601,4343,
z,0,-200,,,,,0,0,0,0,None,9,0,18,0,,,-1,go,linegray.gif,None,0,,13,1.26891493797,4,6,3,6,3,-1,LearningTask,,,60.0358700491,3,2015_Mar_31_1601,4343,
m,0,200,,,,,0,0,0,0,None,9,1,19,1,,,0.2,stop,hexagongreen.gif,None,0,,13,1.26891493797,4,7,4,6,3,0.25,LearningTask,,,60.0358700491,3,2015_Mar_31_1601,4343,
