xPos,corrAns,yPos,corrGoResp,yPosGoStim,xPosGoStim,pracTrials.thisRepN,pracTrials.thisTrialN,pracTrials.thisN,pracTrials.thisIndex,ReDoLoopPrac.thisRepN,ReDoLoopPrac.thisTrialN,ReDoLoopPrac.thisN,ReDoLoopPrac.thisIndex,ReDoLoopPrac.thisTrial,pracStopTrials.thisRepN,pracStopTrials.thisTrialN,pracStopTrials.thisN,pracStopTrials.thisIndex,Blocks.thisRepN,Blocks.thisTrialN,Blocks.thisN,Blocks.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,ReDoLoopMain.thisRepN,ReDoLoopMain.thisTrialN,ReDoLoopMain.thisN,ReDoLoopMain.thisIndex,ReDoLoopMain.thisTrial,StopBlocks.thisRepN,StopBlocks.thisTrialN,StopBlocks.thisN,StopBlocks.thisIndex,StopTrials.thisRepN,StopTrials.thisTrialN,StopTrials.thisN,StopTrials.thisIndex,auctionBlocks.thisRepN,auctionBlocks.thisTrialN,auctionBlocks.thisN,auctionBlocks.thisIndex,auctionTrials.thisRepN,auctionTrials.thisTrialN,auctionTrials.thisN,auctionTrials.thisIndex,ok1.keys,ok1.rt,resp.keys,resp.corr,resp.rt,learningStimOnset,learningFixOnset,beginningSSD,trialType,goStim,goResp.keys,goResp.corr,goResp.rt,goTrailCountOutput,goCumRTOutput,goRTCountOutput,stopTrialCountOutput,stopSuccessCountOutput,omissionCountOutput,commissionCountOutput,fixStopOnset,goStimOnset,stopSignalOnset,key_resp_3.keys,key_resp_3.rt,computedRewardOutput,EndingSSD,key_resp_4.keys,key_resp_4.rt,key_resp_5.keys,key_resp_5.rt,auctionResponse.keys,auctionResponse.rt,key_resp_6.keys,key_resp_6.rt,expName,gender (m/f),age,frameRate,session,date,participant,
-200,q,200,,,,,,,,,,,,,,,,,0,0,0,0,14,1,57,1,0,0,0,0,None,,,,,,,,,,,,,,,,,,,q,1,0.350817918777,0.509196043015,0.000922203063965,,,,,,,,,,,,,,,,,,,0.68,,,,,,,,,,LearningTask,,,59.8154042738,3,2015_Apr_12_1910,61,
-200,q,200,,,,,,,,,,,,,,,,,0,0,0,0,14,1,57,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LearningTask,,,59.8154042738,3,2015_Apr_12_1910,61,
-200,q,200,,,,,,,,,,,,,,,,,0,0,0,0,14,2,58,1,0,0,0,0,None,,,,,,,,,,,,,,,,,,,q,1,0.367686033249,0.514980077744,0.00092601776123,,,,,,,,,,,,,,,,,,,3.88,,,,,,,,,,LearningTask,,,59.8154042738,3,2015_Apr_12_1910,61,
-200,q,200,,,,,,,,,,,,,,,,,0,0,0,0,14,2,58,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LearningTask,,,59.8154042738,3,2015_Apr_12_1910,61,
200,w,200,,,,,,,,,,,,,,,,,0,0,0,0,14,3,59,0,0,0,0,0,None,,,,,,,,,,,,,,,,,,,w,1,0.351854085922,0.515328168869,0.000910043716431,,,,,,,,,,,,,,,,,,,1.11,,,,,,,,,,LearningTask,,,59.8154042738,3,2015_Apr_12_1910,61,
200,w,200,,,,,,,,,,,,,,,,,0,0,0,0,14,3,59,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LearningTask,,,59.8154042738,3,2015_Apr_12_1910,61,
200,w,200,,,,,,,,,,,,,,,,,0,0,0,0,15,0,60,0,0,0,0,0,None,,,,,,,,,,,,,,,,,,,w,1,0.401072978973,0.509207963943,0.000970840454102,,,,,,,,,,,,,,,,,,,0.7,,,,,,,,,,LearningTask,,,59.8154042738,3,2015_Apr_12_1910,61,
200,w,200,,,,,,,,,,,,,,,,,0,0,0,0,15,0,60,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LearningTask,,,59.8154042738,3,2015_Apr_12_1910,61,
200,w,200,,,,,,,,,,,,,,,,,0,0,0,0,15,1,61,0,0,0,0,0,None,,,,,,,,,,,,,,,,,,,w,1,0.367652893066,0.51101899147,0.00091814994812,,,,,,,,,,,,,,,,,,,0.87,,,,,,,,,,LearningTask,,,59.8154042738,3,2015_Apr_12_1910,61,
200,w,200,,,,,,,,,,,,,,,,,0,0,0,0,15,1,61,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LearningTask,,,59.8154042738,3,2015_Apr_12_1910,61,
200,w,200,,,,,,,,,,,,,,,,,0,0,0,0,15,2,62,0,0,0,0,0,None,,,,,,,,,,,,,,,,,,,w,1,0.334372997284,0.508126020432,0.00097393989563,,,,,,,,,,,,,,,,,,,0.4,,,,,,,,,,LearningTask,,,59.8154042738,3,2015_Apr_12_1910,61,
200,w,200,,,,,,,,,,,,,,,,,0,0,0,0,15,2,62,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LearningTask,,,59.8154042738,3,2015_Apr_12_1910,61,
-200,q,200,,,,,,,,,,,,,,,,,0,0,0,0,15,3,63,1,0,0,0,0,None,,,,,,,,,,,,,,,,,,,q,1,0.417415857315,0.512515068054,0.00169706344604,,,,,,,,,,,,,,,,,,,0.9,,,,,,,,,,LearningTask,,,59.8154042738,3,2015_Apr_12_1910,61,
-200,q,200,,,,,,,,,,,,,,,,,0,0,0,0,15,3,63,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LearningTask,,,59.8154042738,3,2015_Apr_12_1910,61,
200,w,200,,,,,,,,,,,,,,,,,0,0,0,0,16,0,64,0,0,0,0,0,None,,,,,,,,,,,,,,,,,,,w,1,0.884374856949,0.50735616684,0.000936985015869,,,,,,,,,,,,,,,,,,,0.63,,,,,,,,,,LearningTask,,,59.8154042738,3,2015_Apr_12_1910,61,
200,w,200,,,,,,,,,,,,,,,,,0,0,0,0,16,0,64,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LearningTask,,,59.8154042738,3,2015_Apr_12_1910,61,
200,w,200,,,,,,,,,,,,,,,,,0,0,0,0,16,1,65,0,0,0,0,0,None,,,,,,,,,,,,,,,,,,,w,1,0.467685937881,0.509359121323,0.000917196273804,,,,,,,,,,,,,,,,,,,0.29,,,,,,,,,,LearningTask,,,59.8154042738,3,2015_Apr_12_1910,61,
200,w,200,,,,,,,,,,,,,,,,,0,0,0,0,16,1,65,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LearningTask,,,59.8154042738,3,2015_Apr_12_1910,61,
200,w,200,,,,,,,,,,,,,,,,,0,0,0,0,16,2,66,0,0,0,0,0,None,,,,,,,,,,,,,,,,,,,w,1,0.534782886505,0.513033866882,0.000906944274902,,,,,,,,,,,,,,,,,,,2.1,,,,,,,,,,LearningTask,,,59.8154042738,3,2015_Apr_12_1910,61,
200,w,200,,,,,,,,,,,,,,,,,0,0,0,0,16,2,66,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LearningTask,,,59.8154042738,3,2015_Apr_12_1910,61,
-200,q,200,,,,,,,,,,,,,,,,,0,0,0,0,16,3,67,1,0,0,0,0,None,,,,,,,,,,,,,,,,,,,q,1,0.850286960602,0.506047964096,0.000926971435547,,,,,,,,,,,,,,,,,,,1.87,,,,,,,,,,LearningTask,,,59.8154042738,3,2015_Apr_12_1910,61,
-200,q,200,,,,,,,,,,,,,,,,,0,0,0,0,16,3,67,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LearningTask,,,59.8154042738,3,2015_Apr_12_1910,61,
-200,a,-200,,,,,,,,,,,,,,,,,0,0,0,0,17,0,68,3,0,0,0,0,None,,,,,,,,,,,,,,,,,,,a,1,0.534358024597,0.500053167343,0.000929117202759,,,,,,,,,,,,,,,,,,,3.93,,,,,,,,,,LearningTask,,,59.8154042738,3,2015_Apr_12_1910,61,
-200,a,-200,,,,,,,,,,,,,,,,,0,0,0,0,17,0,68,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LearningTask,,,59.8154042738,3,2015_Apr_12_1910,61,
200,w,200,,,,,,,,,,,,,,,,,0,0,0,0,17,1,69,0,0,0,0,0,None,,,,,,,,,,,,,,,,,,,w,1,0.317063093185,0.508521080017,0.000921010971069,,,,,,,,,,,,,,,,,,,1.79,,,,,,,,,,LearningTask,,,59.8154042738,3,2015_Apr_12_1910,61,
200,w,200,,,,,,,,,,,,,,,,,0,0,0,0,17,1,69,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LearningTask,,,59.8154042738,3,2015_Apr_12_1910,61,
-200,q,200,,,,,,,,,,,,,,,,,0,0,0,0,17,2,70,1,0,0,0,0,None,,,,,,,,,,,,,,,,,,,q,1,0.400337219238,0.507478952408,0.00146985054016,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,LearningTask,,,59.8154042738,3,2015_Apr_12_1910,61,
-200,q,200,,,,,,,,,,,,,,,,,0,0,0,0,17,2,70,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LearningTask,,,59.8154042738,3,2015_Apr_12_1910,61,
200,s,-200,,,,,,,,,,,,,,,,,0,0,0,0,17,3,71,2,0,0,0,0,None,,,,,,,,,,,,,,,,,,,s,1,0.3526699543,0.511399030685,0.00093412399292,,,,,,,,,,,,,,,,,,,0.33,,,,,,,,,,LearningTask,,,59.8154042738,3,2015_Apr_12_1910,61,
200,s,-200,,,,,,,,,,,,,,,,,0,0,0,0,17,3,71,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LearningTask,,,59.8154042738,3,2015_Apr_12_1910,61,
-200,q,200,,,,,,,,,,,,,,,,,0,0,0,0,18,0,72,1,0,0,0,0,None,,,,,,,,,,,,,,,,,,,q,1,0.367176055908,0.513523817062,0.000949859619141,,,,,,,,,,,,,,,,,,,0.35,,,,,,,,,,LearningTask,,,59.8154042738,3,2015_Apr_12_1910,61,
-200,q,200,,,,,,,,,,,,,,,,,0,0,0,0,18,0,72,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LearningTask,,,59.8154042738,3,2015_Apr_12_1910,61,
-200,a,-200,,,,,,,,,,,,,,,,,0,0,0,0,18,1,73,3,0,0,0,0,None,,,,,,,,,,,,,,,,,,,a,1,0.417163133621,0.507793188095,0.000964164733887,,,,,,,,,,,,,,,,,,,0.53,,,,,,,,,,LearningTask,,,59.8154042738,3,2015_Apr_12_1910,61,
-200,a,-200,,,,,,,,,,,,,,,,,0,0,0,0,18,1,73,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LearningTask,,,59.8154042738,3,2015_Apr_12_1910,61,
-200,a,-200,,,,,,,,,,,,,,,,,0,0,0,0,18,2,74,3,0,0,0,0,None,,,,,,,,,,,,,,,,,,,a,1,0.449162960052,0.505342006683,0.000926971435547,,,,,,,,,,,,,,,,,,,0.49,,,,,,,,,,LearningTask,,,59.8154042738,3,2015_Apr_12_1910,61,
-200,a,-200,,,,,,,,,,,,,,,,,0,0,0,0,18,2,74,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LearningTask,,,59.8154042738,3,2015_Apr_12_1910,61,
-200,a,-200,,,,,,,,,,,,,,,,,0,0,0,0,18,3,75,3,0,0,0,0,None,,,,,,,,,,,,,,,,,,,a,1,0.36708688736,0.512785196304,0.000938177108765,,,,,,,,,,,,,,,,,,,2.03,,,,,,,,,,LearningTask,,,59.8154042738,3,2015_Apr_12_1910,61,
-200,a,-200,,,,,,,,,,,,,,,,,0,0,0,0,18,3,75,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LearningTask,,,59.8154042738,3,2015_Apr_12_1910,61,
