xPos,corrAns,yPos,practiceTrials.thisRepN,practiceTrials.thisTrialN,practiceTrials.thisN,practiceTrials.thisIndex,ReDoLoop.thisRepN,ReDoLoop.thisTrialN,ReDoLoop.thisN,ReDoLoop.thisIndex,Blocks.thisRepN,Blocks.thisTrialN,Blocks.thisN,Blocks.thisIndex,Blocks.thisTrial,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,ReDoLoopMain.thisRepN,ReDoLoopMain.thisTrialN,ReDoLoopMain.thisN,ReDoLoopMain.thisIndex,ReDoLoopMain.thisTrial,ok1.keys,ok1.rt,resp.keys,resp.corr,resp.rt,expName,gender (m/f),age,frameRate,session,date,participant,
-200,t,200,,,,,,,,,0,0,0,0,None,1,2,6,1,,,,,,,,,,,LearningTask,,,59.940207046,3,2015_Mar_19_0937,200,
-200,t,200,,,,,,,,,0,0,0,0,None,1,3,7,1,0,0,0,0,None,,,t,1,0.601095914841,LearningTask,,,59.940207046,3,2015_Mar_19_0937,200,
-200,t,200,,,,,,,,,0,0,0,0,None,1,3,7,1,1,0,1,0,None,,,h,0,0.417881011963,LearningTask,,,59.940207046,3,2015_Mar_19_0937,200,
-200,t,200,,,,,,,,,0,0,0,0,None,1,3,7,1,,,,,,,,,,,LearningTask,,,59.940207046,3,2015_Mar_19_0937,200,
-200,g,-200,,,,,,,,,0,0,0,0,None,2,0,8,3,0,0,0,0,None,,,g,1,0.46741604805,LearningTask,,,59.940207046,3,2015_Mar_19_0937,200,
-200,g,-200,,,,,,,,,0,0,0,0,None,2,0,8,3,1,0,1,0,None,,,g,1,0.485601902008,LearningTask,,,59.940207046,3,2015_Mar_19_0937,200,
-200,g,-200,,,,,,,,,0,0,0,0,None,2,0,8,3,,,,,,,,,,,LearningTask,,,59.940207046,3,2015_Mar_19_0937,200,
200,h,-200,,,,,,,,,0,0,0,0,None,2,1,9,2,0,0,0,0,None,,,y,0,0.552127122879,LearningTask,,,59.940207046,3,2015_Mar_19_0937,200,
200,h,-200,,,,,,,,,0,0,0,0,None,2,1,9,2,,,,,,,,,,,LearningTask,,,59.940207046,3,2015_Mar_19_0937,200,
-200,g,-200,,,,,,,,,0,0,0,0,None,2,2,10,3,0,0,0,0,None,,,g,1,0.41749382019,LearningTask,,,59.940207046,3,2015_Mar_19_0937,200,
-200,g,-200,,,,,,,,,0,0,0,0,None,2,2,10,3,1,0,1,0,None,,,g,1,0.600896120071,LearningTask,,,59.940207046,3,2015_Mar_19_0937,200,
-200,g,-200,,,,,,,,,0,0,0,0,None,2,2,10,3,,,,,,,,,,,LearningTask,,,59.940207046,3,2015_Mar_19_0937,200,
200,h,-200,,,,,,,,,0,0,0,0,None,2,3,11,2,0,0,0,0,None,,,y,0,0.450565099716,LearningTask,,,59.940207046,3,2015_Mar_19_0937,200,
200,h,-200,,,,,,,,,0,0,0,0,None,2,3,11,2,,,,,,,,,,,LearningTask,,,59.940207046,3,2015_Mar_19_0937,200,
-200,g,-200,,,,,,,,,0,0,0,0,None,3,0,12,3,0,0,0,0,None,,,g,1,0.334211111069,LearningTask,,,59.940207046,3,2015_Mar_19_0937,200,
-200,g,-200,,,,,,,,,0,0,0,0,None,3,0,12,3,1,0,1,0,None,,,g,1,0.534132003784,LearningTask,,,59.940207046,3,2015_Mar_19_0937,200,
-200,g,-200,,,,,,,,,0,0,0,0,None,3,0,12,3,,,,,,,,,,,LearningTask,,,59.940207046,3,2015_Mar_19_0937,200,
200,y,200,,,,,,,,,0,0,0,0,None,3,1,13,0,0,0,0,0,None,,,h,0,0.651664972305,LearningTask,,,59.940207046,3,2015_Mar_19_0937,200,
200,y,200,,,,,,,,,0,0,0,0,None,3,1,13,0,,,,,,,,,,,LearningTask,,,59.940207046,3,2015_Mar_19_0937,200,
200,y,200,,,,,,,,,0,0,0,0,None,3,2,14,0,0,0,0,0,None,,,y,1,0.534389972687,LearningTask,,,59.940207046,3,2015_Mar_19_0937,200,
200,y,200,,,,,,,,,0,0,0,0,None,3,2,14,0,1,0,1,0,None,,,y,1,0.667913913727,LearningTask,,,59.940207046,3,2015_Mar_19_0937,200,
200,y,200,,,,,,,,,0,0,0,0,None,3,2,14,0,,,,,,,,,,,LearningTask,,,59.940207046,3,2015_Mar_19_0937,200,
200,h,-200,,,,,,,,,0,0,0,0,None,3,3,15,2,0,0,0,0,None,,,y,0,0.567831039429,LearningTask,,,59.940207046,3,2015_Mar_19_0937,200,
200,h,-200,,,,,,,,,0,0,0,0,None,3,3,15,2,,,,,,,,,,,LearningTask,,,59.940207046,3,2015_Mar_19_0937,200,
-200,g,-200,,,,,,,,,0,0,0,0,None,4,0,16,3,0,0,0,0,None,,,g,1,0.301697015762,LearningTask,,,59.940207046,3,2015_Mar_19_0937,200,
-200,g,-200,,,,,,,,,0,0,0,0,None,4,0,16,3,1,0,1,0,None,,,g,1,0.684516906738,LearningTask,,,59.940207046,3,2015_Mar_19_0937,200,
-200,g,-200,,,,,,,,,0,0,0,0,None,4,0,16,3,,,,,,,,,,,LearningTask,,,59.940207046,3,2015_Mar_19_0937,200,
-200,t,200,,,,,,,,,0,0,0,0,None,4,1,17,1,0,0,0,0,None,,,y,0,0.519879102707,LearningTask,,,59.940207046,3,2015_Mar_19_0937,200,
-200,t,200,,,,,,,,,0,0,0,0,None,4,1,17,1,,,,,,,,,,,LearningTask,,,59.940207046,3,2015_Mar_19_0937,200,
200,h,-200,,,,,,,,,0,0,0,0,None,4,2,18,2,0,0,0,0,None,,,h,1,0.384172916412,LearningTask,,,59.940207046,3,2015_Mar_19_0937,200,
200,h,-200,,,,,,,,,0,0,0,0,None,4,2,18,2,1,0,1,0,None,,,h,1,0.450999975204,LearningTask,,,59.940207046,3,2015_Mar_19_0937,200,
200,h,-200,,,,,,,,,0,0,0,0,None,4,2,18,2,,,,,,,,,,,LearningTask,,,59.940207046,3,2015_Mar_19_0937,200,
200,h,-200,,,,,,,,,0,0,0,0,None,4,3,19,2,0,0,0,0,None,,,y,0,0.450955867767,LearningTask,,,59.940207046,3,2015_Mar_19_0937,200,
200,h,-200,,,,,,,,,0,0,0,0,None,4,3,19,2,,,,,,,,,,,LearningTask,,,59.940207046,3,2015_Mar_19_0937,200,
200,y,200,,,,,,,,,0,0,0,0,None,5,0,20,0,0,0,0,0,None,,,y,1,0.383776903152,LearningTask,,,59.940207046,3,2015_Mar_19_0937,200,
200,y,200,,,,,,,,,0,0,0,0,None,5,0,20,0,1,0,1,0,None,,,h,0,0.849979877472,LearningTask,,,59.940207046,3,2015_Mar_19_0937,200,
200,y,200,,,,,,,,,0,0,0,0,None,5,0,20,0,,,,,,,,,,,LearningTask,,,59.940207046,3,2015_Mar_19_0937,200,
-200,g,-200,,,,,,,,,0,0,0,0,None,5,1,21,3,0,0,0,0,None,,,h,0,0.517554998398,LearningTask,,,59.940207046,3,2015_Mar_19_0937,200,
-200,g,-200,,,,,,,,,0,0,0,0,None,5,1,21,3,1,0,1,0,None,,,g,1,0.384301900864,LearningTask,,,59.940207046,3,2015_Mar_19_0937,200,
-200,g,-200,,,,,,,,,0,0,0,0,None,5,1,21,3,,,,,,,,,,,LearningTask,,,59.940207046,3,2015_Mar_19_0937,200,
200,h,-200,,,,,,,,,0,0,0,0,None,5,2,22,2,0,0,0,0,None,,,y,0,0.902409076691,LearningTask,,,59.940207046,3,2015_Mar_19_0937,200,
200,h,-200,,,,,,,,,0,0,0,0,None,5,2,22,2,,,,,,,,,,,LearningTask,,,59.940207046,3,2015_Mar_19_0937,200,
-200,t,200,,,,,,,,,0,0,0,0,None,5,3,23,1,0,0,0,0,None,,,t,1,0.484668016434,LearningTask,,,59.940207046,3,2015_Mar_19_0937,200,
-200,t,200,,,,,,,,,0,0,0,0,None,5,3,23,1,1,0,1,0,None,,,t,1,0.60045003891,LearningTask,,,59.940207046,3,2015_Mar_19_0937,200,
-200,t,200,,,,,,,,,0,0,0,0,None,5,3,23,1,,,,,,,,,,,LearningTask,,,59.940207046,3,2015_Mar_19_0937,200,
-200,t,200,,,,,,,,,0,0,0,0,None,6,0,24,1,0,0,0,0,None,,,y,0,0.517990112305,LearningTask,,,59.940207046,3,2015_Mar_19_0937,200,
