xPos,corrAns,yPos,practiceTrials.thisRepN,practiceTrials.thisTrialN,practiceTrials.thisN,practiceTrials.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,ok1.keys,ok1.rt,resp.keys,resp.corr,resp.rt,expName,gender (m/f),age,frameRate,session,date,participant,
,,,,,,,,,,,space,0.50691986084,,,,LearningTask,,,59.9168310665,3,2015_Mar_18_1151,5456,
-200,g,-200,0,0,0,3,,,,,,,g,1,0.400898933411,LearningTask,,,59.9168310665,3,2015_Mar_18_1151,5456,
200,h,-200,0,1,1,2,,,,,,,h,1,0.300958871841,LearningTask,,,59.9168310665,3,2015_Mar_18_1151,5456,
-200,t,200,0,2,2,1,,,,,,,t,1,0.41788482666,LearningTask,,,59.9168310665,3,2015_Mar_18_1151,5456,
200,y,200,0,3,3,0,,,,,,,y,1,0.284121990204,LearningTask,,,59.9168310665,3,2015_Mar_18_1151,5456,
200,h,-200,,,,,0,0,0,2,,,h,1,0.567759990692,LearningTask,,,59.9168310665,3,2015_Mar_18_1151,5456,
-200,g,-200,,,,,0,1,1,3,,,g,1,0.400979042053,LearningTask,,,59.9168310665,3,2015_Mar_18_1151,5456,
-200,t,200,,,,,0,2,2,1,,,t,1,0.534605026245,LearningTask,,,59.9168310665,3,2015_Mar_18_1151,5456,
200,y,200,,,,,0,3,3,0,,,y,1,0.500672101974,LearningTask,,,59.9168310665,3,2015_Mar_18_1151,5456,
-200,t,200,,,,,1,0,4,1,,,t,1,0.734756946564,LearningTask,,,59.9168310665,3,2015_Mar_18_1151,5456,
200,y,200,,,,,1,1,5,0,,,y,1,0.534574985504,LearningTask,,,59.9168310665,3,2015_Mar_18_1151,5456,
-200,g,-200,,,,,1,2,6,3,,,g,1,0.601431846619,LearningTask,,,59.9168310665,3,2015_Mar_18_1151,5456,
200,h,-200,,,,,1,3,7,2,,,h,1,1.01839900017,LearningTask,,,59.9168310665,3,2015_Mar_18_1151,5456,
200,y,200,,,,,2,0,8,0,,,y,1,0.751359939575,LearningTask,,,59.9168310665,3,2015_Mar_18_1151,5456,
-200,g,-200,,,,,2,1,9,3,,,g,1,0.952059030533,LearningTask,,,59.9168310665,3,2015_Mar_18_1151,5456,
-200,t,200,,,,,2,2,10,1,,,t,1,0.734794139862,LearningTask,,,59.9168310665,3,2015_Mar_18_1151,5456,
200,h,-200,,,,,2,3,11,2,,,h,1,0.784945011139,LearningTask,,,59.9168310665,3,2015_Mar_18_1151,5456,
-200,t,200,,,,,3,0,12,1,,,t,1,0.667448997498,LearningTask,,,59.9168310665,3,2015_Mar_18_1151,5456,
-200,g,-200,,,,,3,1,13,3,,,g,1,0.601389884949,LearningTask,,,59.9168310665,3,2015_Mar_18_1151,5456,
200,h,-200,,,,,3,2,14,2,,,h,1,0.501362085342,LearningTask,,,59.9168310665,3,2015_Mar_18_1151,5456,
