xPos,corrAns,yPos,corrGoResp,yPosGoStim,xPosGoStim,pracTrials.thisRepN,pracTrials.thisTrialN,pracTrials.thisN,pracTrials.thisIndex,ReDoLoopPrac.thisRepN,ReDoLoopPrac.thisTrialN,ReDoLoopPrac.thisN,ReDoLoopPrac.thisIndex,ReDoLoopPrac.thisTrial,pracStopTrials.thisRepN,pracStopTrials.thisTrialN,pracStopTrials.thisN,pracStopTrials.thisIndex,Blocks.thisRepN,Blocks.thisTrialN,Blocks.thisN,Blocks.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,ReDoLoopMain.thisRepN,ReDoLoopMain.thisTrialN,ReDoLoopMain.thisN,ReDoLoopMain.thisIndex,ReDoLoopMain.thisTrial,StopBlocks.thisRepN,StopBlocks.thisTrialN,StopBlocks.thisN,StopBlocks.thisIndex,StopBlocks.thisTrial,StopTrials.thisRepN,StopTrials.thisTrialN,StopTrials.thisN,StopTrials.thisIndex,ok1.keys,ok1.rt,StartTrialTimeStamp,resp.keys,resp.corr,resp.rt,learningStimOnset,learningFixOnset,EndTrialTimeStamp,beginningSSD,trialType,goStim,goResp.keys,goResp.corr,goTrailCountOutput,goCumRTOutput,goRTCountOutput,stopTrialCountOutput,stopSuccessCountOutput,omissionCountOutput,commissionCountOutput,fixStopOnset,goStimOnset,stopSignalOnset,goResp.rt,key_resp_3.keys,key_resp_3.rt,computedRewardOutput,key_resp_7.keys,key_resp_7.rt,EndingSSD,expName,gender (m/f),age,frameRate,session,date,participant,
200,s,-200,,,,0,7,7,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LearningTask,,,59.988729687,3,2015_May_27_1654,6,
200,s,-200,,,,0,8,8,2,0,0,0,0,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.4281330109,s,1,0.467632055283,0.512293100357,0.000935077667236,45.4248371124,,,,,,,,,,,,,,,,,,,,,,,LearningTask,,,59.988729687,3,2015_May_27_1654,6,
200,s,-200,,,,0,8,8,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LearningTask,,,59.988729687,3,2015_May_27_1654,6,
-200,q,200,,,,0,9,9,1,0,0,0,0,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.5167560577,q,1,0.367359876633,0.507789850235,0.00095796585083,48.5082910061,,,,,,,,,,,,,,,,,,,,,,,LearningTask,,,59.988729687,3,2015_May_27_1654,6,
-200,q,200,,,,0,9,9,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LearningTask,,,59.988729687,3,2015_May_27_1654,6,
,,,m,0,200,,,,,,,,,,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,49.3840711117,,,,,,52.3783149719,0.25,stop,diamondcyan.gif,None,0,0,0,0,1,1,0,0,0.00309085845947,0.506714820862,0.757135868073,,,,,,,,LearningTask,,,59.988729687,3,2015_May_27_1654,6,
,,,z,0,-200,,,,,,,,,,0,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,52.3792750835,,,,,,55.378000021,0.25,stop,crossgreen.gif,None,0,0,0,0,2,2,0,0,0.00132083892822,0.512106895447,0.762360811234,,,,,,,,LearningTask,,,59.988729687,3,2015_May_27_1654,6,
,,,z,0,-200,,,,,,,,,,1,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,55.3788530827,,,,,,58.378262043,0.25,stop,diamondcyan.gif,None,0,0,0,0,3,3,0,0,0.00131392478943,0.512950897217,0.762915849686,,,,,,,,LearningTask,,,59.988729687,3,2015_May_27_1654,6,
,,,m,0,200,,,,,,,,,,1,1,3,1,,,,,,,,,,,,,,,,,,,,,,,,,58.3790149689,,,,,,61.3785121441,-1,go,triangleorange.gif,m,1,1,0.700685977936,1,3,3,0,0,0.00135612487793,0.513536930084,,0.700685977936,,,,,,,LearningTask,,,59.988729687,3,2015_May_27_1654,6,
,,,z,0,-200,,,,,,,,,,2,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,61.37936306,,,,,,64.379253149,-1,go,circlegray.gif,z,1,2,1.1847679615,2,3,3,0,0,0.00178003311157,0.513250112534,,0.484081983566,,,,,,,LearningTask,,,59.988729687,3,2015_May_27_1654,6,
,,,z,0,-200,,,,,,,,,,2,1,5,0,,,,,,,,,,,,,,,,,,,,,,,,,64.3801081181,,,,,,67.3797941208,0.25,stop,squareyellow.gif,None,0,2,1.1847679615,2,4,4,0,0,0.00177693367004,0.513087034225,0.763136863708,,,,,,,,LearningTask,,,59.988729687,3,2015_May_27_1654,6,
