corrGoResp,yPosGoStim,xPosGoStim,Blocks.thisRepN,Blocks.thisTrialN,Blocks.thisN,Blocks.thisIndex,StopBlocks.thisRepN,StopBlocks.thisTrialN,StopBlocks.thisN,StopBlocks.thisIndex,StopBlocks.thisTrial,StopTrials.thisRepN,StopTrials.thisTrialN,StopTrials.thisN,StopTrials.thisIndex,ok1.keys,ok1.rt,goResp.keys,goResp.corr,goResp.rt,key_resp_3.keys,key_resp_3.rt,expName,gender (m/f),age,frameRate,session,date,participant,
,,,,,,,,,,,,,,,,space,0.291203022003,,,,,,LearningTask,,,59.9708031702,3,2015_Mar_31_1027,3015,
m,0,200,,,,,0,0,0,0,None,0,0,0,1,,,None,0,,,,LearningTask,,,59.9708031702,3,2015_Mar_31_1027,3015,
m,0,200,,,,,0,0,0,0,None,0,1,1,1,,,m,1,0.354540109634,,,LearningTask,,,59.9708031702,3,2015_Mar_31_1027,3015,
z,0,-200,,,,,0,0,0,0,None,1,0,2,0,,,z,1,0.283950090408,,,LearningTask,,,59.9708031702,3,2015_Mar_31_1027,3015,
z,0,-200,,,,,0,0,0,0,None,1,1,3,0,,,z,1,0.333938121796,,,LearningTask,,,59.9708031702,3,2015_Mar_31_1027,3015,
m,0,200,,,,,0,0,0,0,None,2,0,4,1,,,m,1,0.350649118423,,,LearningTask,,,59.9708031702,3,2015_Mar_31_1027,3015,
z,0,-200,,,,,0,0,0,0,None,2,1,5,0,,,z,1,0.31734085083,,,LearningTask,,,59.9708031702,3,2015_Mar_31_1027,3015,
z,0,-200,,,,,0,0,0,0,None,3,0,6,0,,,z,1,0.334036111832,,,LearningTask,,,59.9708031702,3,2015_Mar_31_1027,3015,
m,0,200,,,,,0,0,0,0,None,3,1,7,1,,,m,1,0.267231941223,,,LearningTask,,,59.9708031702,3,2015_Mar_31_1027,3015,
m,0,200,,,,,0,0,0,0,None,4,0,8,1,,,m,1,0.250432014465,,,LearningTask,,,59.9708031702,3,2015_Mar_31_1027,3015,
m,0,200,,,,,0,0,0,0,None,4,1,9,1,,,m,1,0.284355163574,,,LearningTask,,,59.9708031702,3,2015_Mar_31_1027,3015,
z,0,-200,,,,,0,0,0,0,None,5,0,10,0,,,z,1,0.317354917526,,,LearningTask,,,59.9708031702,3,2015_Mar_31_1027,3015,
z,0,-200,,,,,0,0,0,0,None,5,1,11,0,,,z,1,0.300869941711,,,LearningTask,,,59.9708031702,3,2015_Mar_31_1027,3015,
m,0,200,,,,,0,0,0,0,None,6,0,12,1,,,m,1,0.267379999161,,,LearningTask,,,59.9708031702,3,2015_Mar_31_1027,3015,
m,0,200,,,,,0,0,0,0,None,6,1,13,1,,,z,0,0.167522907257,,,LearningTask,,,59.9708031702,3,2015_Mar_31_1027,3015,
z,0,-200,,,,,0,0,0,0,None,7,0,14,0,,,z,1,0.362695932388,,,LearningTask,,,59.9708031702,3,2015_Mar_31_1027,3015,
m,0,200,,,,,0,0,0,0,None,7,1,15,1,,,m,1,0.379334926605,,,LearningTask,,,59.9708031702,3,2015_Mar_31_1027,3015,
z,0,-200,,,,,0,0,0,0,None,8,0,16,0,,,z,1,0.317562103271,,,LearningTask,,,59.9708031702,3,2015_Mar_31_1027,3015,
m,0,200,,,,,0,0,0,0,None,8,1,17,1,,,m,1,0.451232910156,,,LearningTask,,,59.9708031702,3,2015_Mar_31_1027,3015,
