xPos,corrAns,yPos,pracTrials.thisRepN,pracTrials.thisTrialN,pracTrials.thisN,pracTrials.thisIndex,pracStopTrials.thisRepN,pracStopTrials.thisTrialN,pracStopTrials.thisN,pracStopTrials.thisIndex,Blocks.thisRepN,Blocks.thisTrialN,Blocks.thisN,Blocks.thisIndex,Blocks.thisTrial,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,ReDoLoopMain.thisRepN,ReDoLoopMain.thisTrialN,ReDoLoopMain.thisN,ReDoLoopMain.thisIndex,ReDoLoopMain.thisTrial,ok1.keys,ok1.rt,key_resp_3.keys,key_resp_3.rt,NewStimTimeStamp,,StartTrialTimeStamp,resp.keys,resp.corr,resp.rt,key_resp_8.keys,firstComputedRewardOutput,firstLearningStimOnset,firstLearningFixOnset,firstPresentationRT,firstPresentationAcc,firstEndTrialTimeStamp,secondComputedRewardOutput,secondLearningStimOnset,secondLearningFixOnset,secondPresentationRT,secondPresentationAcc,secondEndTrialTimeStamp,thirdComputedRewardOutput,thirdLearningStimOnset,thirdLearningFixOnset,thirdPresentationRT,thirdPresentationAcc,thirdEndTrialTimeStamp,fourthComputedRewardOutput,fourthLearningStimOnset,fourthLearningFixOnset,fourthPresentationRT,fourthPresentationAcc,fourthEndTrialTimeStamp,fifthComputedRewardOutput,fifthLearningStimOnset,fifthLearningFixOnset,fifthPresentationRT,fifthPresentationAcc,fifthEndTrialTimeStamp,key_resp_8.rt,expName,gender (m/f),age,frameRate,session,date,participant
,,,,,,,,,,,,,,,,,,,,,,,,,space,1.521628857,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LearningTask,,,59.92616215,3,2015_Jun_02_1141,20
,,,,,,,,,,,,,,,,,,,,,,,,,,,space,0.648981094,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LearningTask,,,59.92616215,3,2015_Jun_02_1141,20
,,,,,,,,,,,,,,,,,,,,,,,,,space,0.465759993,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LearningTask,,,59.92616215,3,2015_Jun_02_1141,20
200,w,200,,,,,,,,,0,0,0,0,None,3,0,12,0,,,,,,,,,,88.92704296,15.01165199,91.92896509,w,1,0.234215975,w,3.99,0.513881922,0.001037836,0.801276922,0,91.92865705,3.82,0.515646935,0.001080036,0.234215975,1,94.93181515,,,,,,,,,,,,,,,,,,,0.422404051,LearningTask,,,59.92616215,3,2015_Jun_02_1141,20
200,s,-200,,,,,,,,,0,0,0,0,None,3,1,13,2,,,,,,,,,,94.93266416,6.005621195,106.9414761,a,0,0.234161139,None,0.67,0.512683868,0.001223803,0.500981092,0,97.93361998,0.64,0.514995813,0.001286983,0.317384005,0,100.9360621,0.47,0.51519084,0.001327038,0.350943804,0,103.93873,0.45,0.514936924,0.001240015,0.250839949,0,106.941041,0.64,0.515114069,0.001225948,0.234161139,0,109.943342,,LearningTask,,,59.92616215,3,2015_Jun_02_1141,20
200,s,-200,,,,,,,,,0,0,0,0,None,3,2,14,2,,,,,,,,,,109.9440651,15.01140094,121.9536741,w,0,0.166883945,None,0.37,0.513391972,0.001051903,0.801029921,0,112.9459331,0.29,0.514485121,0.001729012,0.301244974,0,115.9487422,0.42,0.514146805,0.001254797,0.283731937,0,118.9513171,0.3,0.514606953,0.001146078,0.251036882,0,121.953239,0.62,0.514657974,0.001149893,0.166883945,0,124.954922,,LearningTask,,,59.92616215,3,2015_Jun_02_1141,20
200,s,-200,,,,,,,,,0,0,0,0,None,3,3,15,2,,,,,,,,,,124.955677,15.01161194,136.965426,a,0,0.100799799,None,1.98,0.513635874,0.001079798,0.567667961,0,127.9578881,2.01,0.51503396,0.0009799,0.300820112,0,130.9599741,2.22,0.515164852,0.001178026,0.233971834,0,133.962492,2.17,0.515143871,0.00135684,0.167206049,0,136.964951,1.79,0.514605999,0.001372099,0.100799799,0,139.9672251,,LearningTask,,,59.92616215,3,2015_Jun_02_1141,20
200,w,200,,,,,,,,,0,0,0,0,None,4,0,16,0,,,,,,,,,,139.9682992,15.01262212,151.9769671,s,0,0.317492962,None,0.62,0.513014078,0.001209021,0.91775012,0,142.9698071,0.32,0.514791012,0.001343012,0.41792202,0,145.9722822,0.26,0.514477015,0.001218796,0.267640829,0,148.974647,0.27,0.514472961,0.001292944,0.334033012,0,151.9765811,0.75,0.515233994,0.001106977,0.317492962,0,154.9790702,,LearningTask,,,59.92616215,3,2015_Jun_02_1141,20
-200,q,200,,,,,,,,,0,0,0,0,None,4,1,17,1,,,,,,,,,,154.9801681,15.01186895,166.989253,None,0,,None,0.47,0.512639999,0.001162052,[],0,157.9817171,0.32,0.515185118,0.001222134,[],0,160.984436,0.59,0.514224052,0.001658916,[],0,163.9862511,0.62,0.515170097,0.001102924,[],0,166.988615,0.67,0.514795065,0.001245975,[],0,169.991442,,LearningTask,,,59.92616215,3,2015_Jun_02_1141,20
200,s,-200,,,,,,,,,0,0,0,0,None,4,2,18,2,,,,,,,,,,169.9922001,15.01203203,182.0012271,None,0,,None,3.75,0.512959957,0.002691984,[],0,172.993192,4.07,0.515084982,0.001338005,[],0,175.995369,3.78,0.515382051,0.001172066,[],0,178.9983342,4.05,0.514927149,0.001228094,[],0,182.0007391,4.14,0.514804125,0.00169611,[],0,185.003227,,LearningTask,,,59.92616215,3,2015_Jun_02_1141,20
200,w,200,,,,,,,,,0,0,0,0,None,4,3,19,0,,,,,,,,,,185.004251,15.01205087,197.0124061,None,0,,None,1.04,0.512475967,0.001259089,[],0,188.005188,1.05,0.51489687,0.001266956,[],0,191.007555,0.95,0.515087128,0.001243114,[],0,194.0097771,0.95,0.515873909,0.001061916,[],0,197.012059,0.98,0.515552044,0.000991106,[],0,200.014699,,LearningTask,,,59.92616215,3,2015_Jun_02_1141,20
-200,q,200,,,,,,,,,0,0,0,0,None,5,0,20,1,,,,,,,,,,200.015501,15.01125002,212.0248091,None,0,,None,4.09,0.513067007,0.001101017,[],0,203.0170732,3.87,0.515365124,0.001283169,[],0,206.019582,4.02,0.515092134,0.001245022,[],0,209.022073,3.95,0.514976025,0.001201153,[],0,212.0243862,3.94,0.514809847,0.001369953,[],0,215.026495,,LearningTask,,,59.92616215,3,2015_Jun_02_1141,20
200,s,-200,,,,,,,,,0,0,0,0,None,5,1,21,2,,,,,,,,,,215.027235,15.01173401,227.036432,None,0,,None,1.76,0.513628006,0.001066923,[],0,218.0289931,2.06,0.515227795,0.00124383,[],0,221.031496,2.15,0.515139818,0.00114584,[],0,224.0335391,1.78,0.515169144,0.001299143,[],0,227.0360072,1.82,0.51528883,0.001224995,[],0,230.038631,,LearningTask,,,59.92616215,3,2015_Jun_02_1141,20
-200,q,200,,,,,,,,,0,0,0,0,None,5,2,22,1,,,,,,,,,,230.0393572,15.01212215,242.048512,None,0,,None,1.94,0.513565063,0.001645088,[],0,233.0410831,1.85,0.515240908,0.001216888,[],0,236.043402,2.13,0.515227079,0.001245975,[],0,239.0459211,1.96,0.514663935,0.001690149,[],0,242.0480821,1.75,0.514999866,0.001218081,[],0,245.050879,,LearningTask,,,59.92616215,3,2015_Jun_02_1141,20
-200,a,-200,,,,,,,,,0,0,0,0,None,5,3,23,3,,,,,,,,,,245.0519631,15.01260591,257.0609291,None,0,,None,2.15,0.512706995,0.001178026,[],0,248.0529962,2.24,0.514811993,0.001281023,[],0,251.0555332,2.23,0.514676809,0.001287937,[],0,254.057822,2.12,0.514756918,0.001430035,[],0,257.0604992,2.09,0.514472008,0.00138092,[],0,260.0624511,,LearningTask,,,59.92616215,3,2015_Jun_02_1141,20
200,w,200,,,,,,,,,0,0,0,0,None,6,0,24,0,,,,,,,,,,260.0635271,15.01156402,272.072747,None,0,,None,3.82,0.512733936,0.001179934,[],0,263.064801,4.07,0.514825821,0.001230001,[],0,266.067116,4.14,0.515288115,0.001283169,[],0,269.069519,3.78,0.515225887,0.001119852,[],0,272.0721102,4.18,0.514621019,0.00151515,[],0,275.074137,,LearningTask,,,59.92616215,3,2015_Jun_02_1141,20
200,w,200,,,,,,,,,0,0,0,0,None,6,1,25,0,,,,,,,,,,275.0752242,15.01169705,287.0847042,None,0,,None,1.21,0.512746096,0.001240015,[],0,278.0769391,0.93,0.514711142,0.001726151,[],0,281.0791872,0.98,0.51512599,0.001227856,[],0,284.0824211,0.75,0.513940096,0.001713991,[],0,287.084188,0.89,0.514533043,0.00138092,[],0,290.085969,,LearningTask,,,59.92616215,3,2015_Jun_02_1141,20
200,s,-200,,,,,,,,,0,0,0,0,None,6,2,26,2,,,,,,,,,,290.0866921,15.01146793,302.0964792,None,0,,None,1.82,0.513753176,0.000991106,[],0,293.0882912,2.08,0.515410185,0.001093149,[],0,296.0910401,1.98,0.515290976,0.001111984,[],0,299.0931361,1.79,0.51511097,0.001127005,[],0,302.095937,2.05,0.51452899,0.00159502,[],0,305.0981591,,LearningTask,,,59.92616215,3,2015_Jun_02_1141,20
-200,a,-200,,,,,,,,,0,0,0,0,None,6,3,27,3,,,,,,,,,,305.0989091,15.01221705,317.107579,None,0,,None,4.18,0.513456106,0.001198053,[],0,308.1007271,4.16,0.514696836,0.001737833,[],0,311.1028831,3.81,0.515258074,0.00120616,[],0,314.105119,3.94,0.514831066,0.001290083,[],0,317.10726,4.17,0.515609026,0.000928879,[],0,320.1100631,,LearningTask,,,59.92616215,3,2015_Jun_02_1141,20
200,s,-200,,,,,,,,,0,0,0,0,None,7,0,28,2,,,,,,,,,,320.1108122,15.01190305,332.120342,None,0,,None,4.07,0.513768911,0.001193047,[],0,323.1125171,3.82,0.514765978,0.001311064,[],0,326.1148081,3.75,0.515007019,0.001378059,[],0,329.1174572,3.9,0.514584064,0.001357079,[],0,332.1197131,3.86,0.514708042,0.001420021,[],0,335.122087,,LearningTask,,,59.92616215,3,2015_Jun_02_1141,20
-200,a,-200,,,,,,,,,0,0,0,0,None,7,1,29,3,,,,,,,,,,335.122849,15.0120368,347.1321981,None,0,,None,1.12,0.51319313,0.00257802,[],0,338.124366,0.9,0.51482892,0.001225948,[],0,341.1271691,1.22,0.514327049,0.001466036,[],0,344.128787,1.2,0.515659094,0.000963926,[],0,347.1317081,1.21,0.514738083,0.001439095,[],0,350.1334541,,LearningTask,,,59.92616215,3,2015_Jun_02_1141,20
-200,q,200,,,,,,,,,0,0,0,0,None,7,2,30,1,,,,,,,,,,350.1341181,15.01126909,362.1440711,q,1,0.417422056,None,1.99,0.513792992,0.001039028,[],0,353.1365762,1.86,0.514643192,0.001569033,[],0,356.1389151,1.84,0.514830828,0.00126195,[],0,359.140955,2.22,0.515507936,0.001166105,[],0,362.143676,2.01,0.514950991,0.00117898,0.417422056,1,365.1459341,,LearningTask,,,59.92616215,3,2015_Jun_02_1141,20
200,w,200,,,,,,,,,0,0,0,0,None,7,3,31,0,,,,,,,,,,365.1467001,15.01258206,371.1511772,w,1,0.401060104,None,0.54,0.512629986,0.00123477,[],0,368.148226,0.47,0.51454401,0.001473188,0.467680931,0,371.1507361,0.45,0.515038967,0.001297951,0.401060104,1,374.1525121,,,,,,,,,,,,,,LearningTask,,,59.92616215,3,2015_Jun_02_1141,20
-200,a,-200,,,,,,,,,0,0,0,0,None,8,0,32,3,,,,,,,,,,374.1532321,9.006531954,386.1629541,a,1,0.30081296,None,3.91,0.513647079,0.000983953,0.484371185,0,377.155354,3.87,0.514921904,0.00127697,0.334097147,0,380.1574171,3.8,0.515534163,0.001168013,0.250711918,0,383.1598821,3.84,0.515275002,0.001225948,0.284192085,0,386.162524,3.99,0.515115023,0.001192093,0.30081296,1,389.164731,,LearningTask,,,59.92616215,3,2015_Jun_02_1141,20
