xPos,corrAns,yPos,practiceTrials.thisRepN,practiceTrials.thisTrialN,practiceTrials.thisN,practiceTrials.thisIndex,ReDoLoop.thisRepN,ReDoLoop.thisTrialN,ReDoLoop.thisN,ReDoLoop.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,ok1.keys,ok1.rt,resp.keys,resp.corr,resp.rt,expName,gender (m/f),age,frameRate,session,date,participant,
,,,,,,,,,,,,,,,space,0.557214975357,,,,LearningTask,,,59.9556297601,3,2015_Mar_18_1436,611,
-200,g,-200,0,0,0,3,0,0,0,0,,,,,,,t,0,0.484694957733,LearningTask,,,59.9556297601,3,2015_Mar_18_1436,611,
-200,g,-200,0,0,0,3,,,,,,,,,,,,,,LearningTask,,,59.9556297601,3,2015_Mar_18_1436,611,
-200,t,200,0,1,1,1,0,0,0,0,,,,,,,None,0,,LearningTask,,,59.9556297601,3,2015_Mar_18_1436,611,
-200,t,200,0,1,1,1,1,0,1,0,,,,,,,None,0,,LearningTask,,,59.9556297601,3,2015_Mar_18_1436,611,
-200,t,200,0,1,1,1,,,,,,,,,,,,,,LearningTask,,,59.9556297601,3,2015_Mar_18_1436,611,
200,h,-200,0,2,2,2,0,0,0,0,,,,,,,None,0,,LearningTask,,,59.9556297601,3,2015_Mar_18_1436,611,
200,h,-200,0,2,2,2,1,0,1,0,,,,,,,None,0,,LearningTask,,,59.9556297601,3,2015_Mar_18_1436,611,
200,h,-200,0,2,2,2,2,0,2,0,,,,,,,None,0,,LearningTask,,,59.9556297601,3,2015_Mar_18_1436,611,
200,h,-200,0,2,2,2,3,0,3,0,,,,,,,None,0,,LearningTask,,,59.9556297601,3,2015_Mar_18_1436,611,
200,h,-200,0,2,2,2,,,,,,,,,,,,,,LearningTask,,,59.9556297601,3,2015_Mar_18_1436,611,
200,y,200,0,3,3,0,0,0,0,0,,,,,,,None,0,,LearningTask,,,59.9556297601,3,2015_Mar_18_1436,611,
200,y,200,0,3,3,0,1,0,1,0,,,,,,,None,0,,LearningTask,,,59.9556297601,3,2015_Mar_18_1436,611,
200,y,200,0,3,3,0,2,0,2,0,,,,,,,None,0,,LearningTask,,,59.9556297601,3,2015_Mar_18_1436,611,
200,y,200,0,3,3,0,3,0,3,0,,,,,,,y,1,0.600744962692,LearningTask,,,59.9556297601,3,2015_Mar_18_1436,611,
200,y,200,0,3,3,0,4,0,4,0,,,,,,,y,1,0.45094704628,LearningTask,,,59.9556297601,3,2015_Mar_18_1436,611,
200,y,200,0,3,3,0,5,0,5,0,,,,,,,y,1,0.384141921997,LearningTask,,,59.9556297601,3,2015_Mar_18_1436,611,
200,y,200,0,3,3,0,6,0,6,0,,,,,,,y,1,0.350808143616,LearningTask,,,59.9556297601,3,2015_Mar_18_1436,611,
200,y,200,0,3,3,0,7,0,7,0,,,,,,,y,1,0.484158992767,LearningTask,,,59.9556297601,3,2015_Mar_18_1436,611,
200,y,200,0,3,3,0,,,,,,,,,,,,,,LearningTask,,,59.9556297601,3,2015_Mar_18_1436,611,
