pracTrials.thisRepN,pracTrials.thisTrialN,pracTrials.thisN,pracTrials.thisIndex,pracStopTrials.thisRepN,pracStopTrials.thisTrialN,pracStopTrials.thisN,pracStopTrials.thisIndex,Blocks.thisRepN,Blocks.thisTrialN,Blocks.thisN,Blocks.thisIndex,StopBlocks.thisRepN,StopBlocks.thisTrialN,StopBlocks.thisN,StopBlocks.thisIndex,auctionBlocks.thisRepN,auctionBlocks.thisTrialN,auctionBlocks.thisN,auctionBlocks.thisIndex,auctionTrials.thisRepN,auctionTrials.thisTrialN,auctionTrials.thisN,auctionTrials.thisIndex,ok1.keys,ok1.rt,key_resp_3.keys,key_resp_3.rt,key_resp_4.keys,key_resp_4.rt,auctionResponse.keys,auctionResponse.rt,key_resp_5.keys,key_resp_5.rt,expName,gender (m/f),age,frameRate,session,date,participant,
,,,,,,,,,,,,,,,,1,0,1,0,11,0,11,0,,,,,,,i,1.46850800514,,,LearningTask,,,59.890993156,2,2015_May_27_1204,997,
,,,,,,,,,,,,,,,,1,0,1,0,12,0,12,0,,,,,,,u,1.05108714104,,,LearningTask,,,59.890993156,2,2015_May_27_1204,997,
,,,,,,,,,,,,,,,,1,0,1,0,13,0,13,0,,,,,,,u,1.68551206589,,,LearningTask,,,59.890993156,2,2015_May_27_1204,997,
,,,,,,,,,,,,,,,,1,0,1,0,14,0,14,0,,,,,,,t,1.71855211258,,,LearningTask,,,59.890993156,2,2015_May_27_1204,997,
,,,,,,,,,,,,,,,,1,0,1,0,15,0,15,0,,,,,,,o,2.02017211914,,,LearningTask,,,59.890993156,2,2015_May_27_1204,997,
,,,,,,,,,,,,,,,,1,0,1,0,16,0,16,0,,,,,,,i,1.63566708565,,,LearningTask,,,59.890993156,2,2015_May_27_1204,997,
,,,,,,,,,,,,,,,,1,0,1,0,17,0,17,0,,,,,,,y,1.25171399117,,,LearningTask,,,59.890993156,2,2015_May_27_1204,997,
,,,,,,,,,,,,,,,,1,0,1,0,18,0,18,0,,,,,,,y,1.61953806877,,,LearningTask,,,59.890993156,2,2015_May_27_1204,997,
,,,,,,,,,,,,,,,,1,0,1,0,19,0,19,0,,,,,,,u,1.13544297218,,,LearningTask,,,59.890993156,2,2015_May_27_1204,997,
,,,,,,,,,,,,,,,,1,0,1,0,,,,,,,,,,,,,space,2.85900592804,LearningTask,,,59.890993156,2,2015_May_27_1204,997,
,,,,,,,,,,,,,,,,2,0,2,0,0,0,0,0,,,,,,,y,1.5855050087,,,LearningTask,,,59.890993156,2,2015_May_27_1204,997,
,,,,,,,,,,,,,,,,2,0,2,0,1,0,1,0,,,,,,,t,1.80189013481,,,LearningTask,,,59.890993156,2,2015_May_27_1204,997,
,,,,,,,,,,,,,,,,2,0,2,0,2,0,2,0,,,,,,,i,1.25172615051,,,LearningTask,,,59.890993156,2,2015_May_27_1204,997,
,,,,,,,,,,,,,,,,2,0,2,0,3,0,3,0,,,,,,,u,2.83680701256,,,LearningTask,,,59.890993156,2,2015_May_27_1204,997,
,,,,,,,,,,,,,,,,2,0,2,0,4,0,4,0,,,,,,,u,1.48538184166,,,LearningTask,,,59.890993156,2,2015_May_27_1204,997,
,,,,,,,,,,,,,,,,2,0,2,0,5,0,5,0,,,,,,,y,1.00119805336,,,LearningTask,,,59.890993156,2,2015_May_27_1204,997,
,,,,,,,,,,,,,,,,2,0,2,0,6,0,6,0,,,,,,,i,1.43517208099,,,LearningTask,,,59.890993156,2,2015_May_27_1204,997,
,,,,,,,,,,,,,,,,2,0,2,0,7,0,7,0,,,,,,,o,1.58530712128,,,LearningTask,,,59.890993156,2,2015_May_27_1204,997,
,,,,,,,,,,,,,,,,2,0,2,0,8,0,8,0,,,,,,,u,1.75193095207,,,LearningTask,,,59.890993156,2,2015_May_27_1204,997,
,,,,,,,,,,,,,,,,2,0,2,0,9,0,9,0,,,,,,,u,0.868202924728,,,LearningTask,,,59.890993156,2,2015_May_27_1204,997,
,,,,,,,,,,,,,,,,2,0,2,0,10,0,10,0,,,,,,,y,0.851870059967,,,LearningTask,,,59.890993156,2,2015_May_27_1204,997,
,,,,,,,,,,,,,,,,2,0,2,0,11,0,11,0,,,,,,,y,1.9356379509,,,LearningTask,,,59.890993156,2,2015_May_27_1204,997,
,,,,,,,,,,,,,,,,2,0,2,0,12,0,12,0,,,,,,,i,1.56877112389,,,LearningTask,,,59.890993156,2,2015_May_27_1204,997,
,,,,,,,,,,,,,,,,2,0,2,0,13,0,13,0,,,,,,,u,1.18487787247,,,LearningTask,,,59.890993156,2,2015_May_27_1204,997,
,,,,,,,,,,,,,,,,2,0,2,0,14,0,14,0,,,,,,,u,3.05409908295,,,LearningTask,,,59.890993156,2,2015_May_27_1204,997,
,,,,,,,,,,,,,,,,2,0,2,0,15,0,15,0,,,,,,,u,1.0181210041,,,LearningTask,,,59.890993156,2,2015_May_27_1204,997,
,,,,,,,,,,,,,,,,2,0,2,0,16,0,16,0,,,,,,,y,0.851276874542,,,LearningTask,,,59.890993156,2,2015_May_27_1204,997,
,,,,,,,,,,,,,,,,2,0,2,0,17,0,17,0,,,,,,,u,1.35137605667,,,LearningTask,,,59.890993156,2,2015_May_27_1204,997,
,,,,,,,,,,,,,,,,2,0,2,0,18,0,18,0,,,,,,,y,1.21832203865,,,LearningTask,,,59.890993156,2,2015_May_27_1204,997,
,,,,,,,,,,,,,,,,2,0,2,0,19,0,19,0,,,,,,,y,1.70198297501,,,LearningTask,,,59.890993156,2,2015_May_27_1204,997,
,,,,,,,,,,,,,,,,2,0,2,0,,,,,,,,,,,,,space,1.66839718819,LearningTask,,,59.890993156,2,2015_May_27_1204,997,
,,,,,,,,,,,,,,,,3,0,3,0,0,0,0,0,,,,,,,u,1.25168800354,,,LearningTask,,,59.890993156,2,2015_May_27_1204,997,
,,,,,,,,,,,,,,,,3,0,3,0,1,0,1,0,,,,,,,u,0.817915916443,,,LearningTask,,,59.890993156,2,2015_May_27_1204,997,
,,,,,,,,,,,,,,,,3,0,3,0,2,0,2,0,,,,,,,u,1.28454494476,,,LearningTask,,,59.890993156,2,2015_May_27_1204,997,
,,,,,,,,,,,,,,,,3,0,3,0,3,0,3,0,,,,,,,i,1.33453917503,,,LearningTask,,,59.890993156,2,2015_May_27_1204,997,
,,,,,,,,,,,,,,,,3,0,3,0,4,0,4,0,,,,,,,y,1.16853189468,,,LearningTask,,,59.890993156,2,2015_May_27_1204,997,
,,,,,,,,,,,,,,,,3,0,3,0,5,0,5,0,,,,,,,i,1.66910409927,,,LearningTask,,,59.890993156,2,2015_May_27_1204,997,
,,,,,,,,,,,,,,,,3,0,3,0,6,0,6,0,,,,,,,i,1.41821503639,,,LearningTask,,,59.890993156,2,2015_May_27_1204,997,
,,,,,,,,,,,,,,,,3,0,3,0,7,0,7,0,,,,,,,y,1.23523306847,,,LearningTask,,,59.890993156,2,2015_May_27_1204,997,
,,,,,,,,,,,,,,,,3,0,3,0,8,0,8,0,,,,,,,u,1.28529381752,,,LearningTask,,,59.890993156,2,2015_May_27_1204,997,
,,,,,,,,,,,,,,,,3,0,3,0,9,0,9,0,,,,,,,u,2.66983795166,,,LearningTask,,,59.890993156,2,2015_May_27_1204,997,
,,,,,,,,,,,,,,,,3,0,3,0,10,0,10,0,,,,,,,y,1.93574118614,,,LearningTask,,,59.890993156,2,2015_May_27_1204,997,
,,,,,,,,,,,,,,,,3,0,3,0,11,0,11,0,,,,,,,y,1.60166501999,,,LearningTask,,,59.890993156,2,2015_May_27_1204,997,
,,,,,,,,,,,,,,,,3,0,3,0,12,0,12,0,,,,,,,u,1.20134282112,,,LearningTask,,,59.890993156,2,2015_May_27_1204,997,
,,,,,,,,,,,,,,,,3,0,3,0,13,0,13,0,,,,,,,y,1.40169215202,,,LearningTask,,,59.890993156,2,2015_May_27_1204,997,
,,,,,,,,,,,,,,,,3,0,3,0,14,0,14,0,,,,,,,y,1.18561005592,,,LearningTask,,,59.890993156,2,2015_May_27_1204,997,
,,,,,,,,,,,,,,,,3,0,3,0,15,0,15,0,,,,,,,t,2.11887907982,,,LearningTask,,,59.890993156,2,2015_May_27_1204,997,
,,,,,,,,,,,,,,,,3,0,3,0,16,0,16,0,,,,,,,u,0.984616994858,,,LearningTask,,,59.890993156,2,2015_May_27_1204,997,
,,,,,,,,,,,,,,,,3,0,3,0,17,0,17,0,,,,,,,u,1.85216498375,,,LearningTask,,,59.890993156,2,2015_May_27_1204,997,
,,,,,,,,,,,,,,,,3,0,3,0,18,0,18,0,,,,,,,y,0.851608991623,,,LearningTask,,,59.890993156,2,2015_May_27_1204,997,
,,,,,,,,,,,,,,,,3,0,3,0,19,0,19,0,,,,,,,y,1.50188302994,,,LearningTask,,,59.890993156,2,2015_May_27_1204,997,
,,,,,,,,,,,,,,,,3,0,3,0,,,,,,,,,,,,,space,6.5456340313,LearningTask,,,59.890993156,2,2015_May_27_1204,997,
