xPos,corrAns,yPos,corrGoResp,yPosGoStim,xPosGoStim,pracTrials.thisRepN,pracTrials.thisTrialN,pracTrials.thisN,pracTrials.thisIndex,ReDoLoopPrac.thisRepN,ReDoLoopPrac.thisTrialN,ReDoLoopPrac.thisN,ReDoLoopPrac.thisIndex,ReDoLoopPrac.thisTrial,pracStopTrials.thisRepN,pracStopTrials.thisTrialN,pracStopTrials.thisN,pracStopTrials.thisIndex,Blocks.thisRepN,Blocks.thisTrialN,Blocks.thisN,Blocks.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,ReDoLoopMain.thisRepN,ReDoLoopMain.thisTrialN,ReDoLoopMain.thisN,ReDoLoopMain.thisIndex,ReDoLoopMain.thisTrial,StopBlocks.thisRepN,StopBlocks.thisTrialN,StopBlocks.thisN,StopBlocks.thisIndex,StopTrials.thisRepN,StopTrials.thisTrialN,StopTrials.thisN,StopTrials.thisIndex,auctionBlocks.thisRepN,auctionBlocks.thisTrialN,auctionBlocks.thisN,auctionBlocks.thisIndex,auctionTrials.thisRepN,auctionTrials.thisTrialN,auctionTrials.thisN,auctionTrials.thisIndex,ok1.keys,ok1.rt,StartTrialTimeStamp,resp.keys,resp.corr,feedbackResp.keys,feedbackResp.corr,firstPracComputedRewardOutput,firstPracLearningStimOnset,firstPracLearningFixOnset,firstPracPresentationRT,firstPracPresentationAcc,firstPracPresentationResp,firstPracEndTrialTimeStamp,resp.rt,secondPracComputedRewardOutput,secondPracLearningStimOnset,secondPracLearningFixOnset,secondPracPresentationRT,secondPracPresentationAcc,secondPracPresentationResp,secondPracEndTrialTimeStamp,thirdPracComputedRewardOutput,thirdPracLearningStimOnset,thirdPracLearningFixOnset,thirdPracPresentationRT,thirdPracPresentationAcc,thirdPracPresentationResp,thirdPracEndTrialTimeStamp,trialType,goStim,goResp.keys,goResp.corr,goResp.rt,key_resp_9.keys,key_resp_9.corr,fixStopOnset,goStimOnset,EndTrialTimeStamp,stopSignalOnset,key_resp_3.keys,key_resp_3.rt,firstComputedRewardOutput,firstLearningStimOnset,firstLearningFixOnset,firstPresentationRT,firstPresentationAcc,firstPresentationResp,firstEndTrialTimeStamp,secondComputedRewardOutput,secondLearningStimOnset,secondLearningFixOnset,secondPresentationRT,secondPresentationAcc,secondPresentationResp,secondEndTrialTimeStamp,thirdComputedRewardOutput,thirdLearningStimOnset,thirdLearningFixOnset,thirdPresentationRT,thirdPresentationAcc,thirdPresentationResp,thirdEndTrialTimeStamp,key_resp_7.keys,key_resp_7.rt,feedbackResp.rt,beginningSSD,EndingSSD,key_resp_9.rt,key_resp_4.keys,key_resp_4.rt,auctionResponse.keys,auctionResponse.rt,auctionStimDuration,key_resp_5.keys,key_resp_5.rt,key_resp_6.keys,key_resp_6.rt,date,frameRate,expName,session,participant,
-200,q,200,,,,,,,,,,,,,,,,,0,0,0,0,23,3,95,1,,,,,,,,,,,,,,,,,,,,,,,,723.966614008,q,1,None,0,,,,,,,,0.367401123047,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.86,0.514686107635,0.000900030136108,0.367401123047,1,q,726.968799114,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015_Jun_05_1044,59.8888552548,LearningTask,001,43,
200,s,-200,,,,,,,,,,,,,,,,,0,0,0,0,24,0,96,2,,,,,,,,,,,,,,,,,,,,,,,,726.970349073,s,1,None,0,,,,,,,,0.384505033493,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,0.514065027237,0.000982999801636,0.384505033493,1,s,729.972047091,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015_Jun_05_1044,59.8888552548,LearningTask,001,43,
-200,q,200,,,,,,,,,,,,,,,,,0,0,0,0,24,1,97,1,,,,,,,,,,,,,,,,,,,,,,,,729.973718166,q,1,None,0,,,,,,,,0.384234905243,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.14,0.514235973358,0.000949859619141,0.384234905243,1,q,732.975607157,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015_Jun_05_1044,59.8888552548,LearningTask,001,43,
200,w,200,,,,,,,,,,,,,,,,,0,0,0,0,24,2,98,0,,,,,,,,,,,,,,,,,,,,,,,,732.977281094,w,1,None,0,,,,,,,,0.334411144257,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.11,0.513857126236,0.00100302696228,0.334411144257,1,w,735.978821039,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015_Jun_05_1044,59.8888552548,LearningTask,001,43,
-200,q,200,,,,,,,,,,,,,,,,,0,0,0,0,24,3,99,1,,,,,,,,,,,,,,,,,,,,,,,,735.980360985,q,1,None,0,,,,,,,,0.317471981049,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.77,0.514230966568,0.000895023345947,0.317471981049,1,q,738.98193717,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015_Jun_05_1044,59.8888552548,LearningTask,001,43,
,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,24.2676608562,,,,,,,,,,,,,,2015_Jun_05_1044,59.8888552548,LearningTask,001,43,
-200,q,200,,,,,,,,,,,,,,,,,1,0,1,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,766.863864183,q,1,None,0,,,,,,,,0.350868940353,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.23,0.509208917618,0.000954866409302,0.484380960464,0,a,766.863497019,3.92,0.515297889709,0.000962018966675,0.350868940353,1,q,769.867407084,,,,,,,,,,,,,,,,,,,,,,,2015_Jun_05_1044,59.8888552548,LearningTask,001,43,
200,w,200,,,,,,,,,,,,,,,,,1,0,1,0,0,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,769.869122028,w,1,None,0,,,,,,,,0.350645065308,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.63,0.513381004333,0.000948905944824,0.350645065308,1,w,772.86997509,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015_Jun_05_1044,59.8888552548,LearningTask,001,43,
-200,a,-200,,,,,,,,,,,,,,,,,1,0,1,0,0,2,2,3,,,,,,,,,,,,,,,,,,,,,,,,772.871646166,a,1,None,0,,,,,,,,0.618010997772,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.75,0.514474868774,0.000910997390747,0.618010997772,1,a,775.873108149,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015_Jun_05_1044,59.8888552548,LearningTask,001,43,
-200,a,-200,,,,,,,,,,,,,,,,,1,0,1,0,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,775.874615192,a,1,None,0,,,,,,,,0.350855827332,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.82,0.514565944672,0.000952959060669,0.350855827332,1,a,778.876556158,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015_Jun_05_1044,59.8888552548,LearningTask,001,43,
-200,a,-200,,,,,,,,,,,,,,,,,1,0,1,0,1,0,4,3,,,,,,,,,,,,,,,,,,,,,,,,778.878091097,a,1,None,0,,,,,,,,0.384636878967,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.95,0.514219999313,0.00102496147156,0.384636878967,1,a,781.880395174,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015_Jun_05_1044,59.8888552548,LearningTask,001,43,
200,w,200,,,,,,,,,,,,,,,,,1,0,1,0,1,1,5,0,,,,,,,,,,,,,,,,,,,,,,,,781.882100105,w,1,None,0,,,,,,,,0.367538928986,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.96,0.513746023178,0.00112795829773,0.367538928986,1,w,784.883764029,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015_Jun_05_1044,59.8888552548,LearningTask,001,43,
-200,q,200,,,,,,,,,,,,,,,,,1,0,1,0,1,2,6,1,,,,,,,,,,,,,,,,,,,,,,,,784.885369062,q,1,None,0,,,,,,,,0.300575017929,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.59,0.51432800293,0.000916004180908,0.300575017929,1,q,787.886615038,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015_Jun_05_1044,59.8888552548,LearningTask,001,43,
200,w,200,,,,,,,,,,,,,,,,,1,0,1,0,1,3,7,0,,,,,,,,,,,,,,,,,,,,,,,,790.890550137,w,1,None,0,,,,,,,,0.367463111877,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.46,0.514672040939,0.000943899154663,0.317557096481,0,s,790.890223026,0.46,0.515348911285,0.00103497505188,0.367463111877,1,w,793.893834114,,,,,,,,,,,,,,,,,,,,,,,2015_Jun_05_1044,59.8888552548,LearningTask,001,43,
-200,q,200,,,,,,,,,,,,,,,,,1,0,1,0,2,0,8,1,,,,,,,,,,,,,,,,,,,,,,,,793.895408154,q,1,None,0,,,,,,,,0.317933082581,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.75,0.513830900192,0.000958919525146,0.317933082581,1,q,796.896733046,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015_Jun_05_1044,59.8888552548,LearningTask,001,43,
-200,q,200,,,,,,,,,,,,,,,,,1,0,1,0,2,1,9,1,,,,,,,,,,,,,,,,,,,,,,,,796.89831996,q,1,None,0,,,,,,,,0.53419303894,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.93,0.5144739151,0.000916004180908,0.53419303894,1,q,799.900396109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015_Jun_05_1044,59.8888552548,LearningTask,001,43,
-200,q,200,,,,,,,,,,,,,,,,,1,0,1,0,2,2,10,1,,,,,,,,,,,,,,,,,,,,,,,,799.902069092,q,1,None,0,,,,,,,,0.367281198502,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.93,0.514222860336,0.000941038131714,0.367281198502,1,q,802.903378963,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015_Jun_05_1044,59.8888552548,LearningTask,001,43,
