xPos,corrAns,yPos,practiceTrials.thisRepN,practiceTrials.thisTrialN,practiceTrials.thisN,practiceTrials.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,ok1.keys,ok1.rt,resp.keys,resp.corr,resp.rt,expName,gender (m/f),age,frameRate,session,date,participant,
,,,,,,,,,,,space,1.50230288506,,,,LearningTask,,,59.9214534399,3,2015_Mar_18_1205,558,
-200,g,-200,0,0,0,3,,,,,,,g,1,0.434493780136,LearningTask,,,59.9214534399,3,2015_Mar_18_1205,558,
200,y,200,0,1,1,0,,,,,,,y,1,0.351114034653,LearningTask,,,59.9214534399,3,2015_Mar_18_1205,558,
200,h,-200,0,2,2,2,,,,,,,h,1,0.384042024612,LearningTask,,,59.9214534399,3,2015_Mar_18_1205,558,
-200,t,200,0,3,3,1,,,,,,,t,1,0.36755490303,LearningTask,,,59.9214534399,3,2015_Mar_18_1205,558,
-200,t,200,,,,,0,0,0,1,,,t,1,0.418066978455,LearningTask,,,59.9214534399,3,2015_Mar_18_1205,558,
-200,g,-200,,,,,0,1,1,3,,,g,1,0.634533166885,LearningTask,,,59.9214534399,3,2015_Mar_18_1205,558,
200,h,-200,,,,,0,2,2,2,,,h,1,0.46759390831,LearningTask,,,59.9214534399,3,2015_Mar_18_1205,558,
200,y,200,,,,,0,3,3,0,,,y,1,0.401081085205,LearningTask,,,59.9214534399,3,2015_Mar_18_1205,558,
200,y,200,,,,,1,0,4,0,,,y,1,0.351082086563,LearningTask,,,59.9214534399,3,2015_Mar_18_1205,558,
-200,t,200,,,,,1,1,5,1,,,t,1,0.417597055435,LearningTask,,,59.9214534399,3,2015_Mar_18_1205,558,
-200,g,-200,,,,,1,2,6,3,,,g,1,0.351155996323,LearningTask,,,59.9214534399,3,2015_Mar_18_1205,558,
200,h,-200,,,,,1,3,7,2,,,h,1,0.301073074341,LearningTask,,,59.9214534399,3,2015_Mar_18_1205,558,
-200,g,-200,,,,,2,0,8,3,,,g,1,0.468048095703,LearningTask,,,59.9214534399,3,2015_Mar_18_1205,558,
200,h,-200,,,,,2,1,9,2,,,h,1,0.367754936218,LearningTask,,,59.9214534399,3,2015_Mar_18_1205,558,
-200,t,200,,,,,2,2,10,1,,,t,1,0.33448600769,LearningTask,,,59.9214534399,3,2015_Mar_18_1205,558,
200,y,200,,,,,2,3,11,0,,,y,1,0.250643968582,LearningTask,,,59.9214534399,3,2015_Mar_18_1205,558,
-200,g,-200,,,,,3,0,12,3,,,g,1,0.350947856903,LearningTask,,,59.9214534399,3,2015_Mar_18_1205,558,
-200,t,200,,,,,3,1,13,1,,,t,1,0.38420009613,LearningTask,,,59.9214534399,3,2015_Mar_18_1205,558,
200,h,-200,,,,,3,2,14,2,,,h,1,0.317559957504,LearningTask,,,59.9214534399,3,2015_Mar_18_1205,558,
200,y,200,,,,,3,3,15,0,,,y,1,0.267431020737,LearningTask,,,59.9214534399,3,2015_Mar_18_1205,558,
