corrGoResp,yPosGoStim,xPosGoStim,Blocks.thisRepN,Blocks.thisTrialN,Blocks.thisN,Blocks.thisIndex,StopBlocks.thisRepN,StopBlocks.thisTrialN,StopBlocks.thisN,StopBlocks.thisIndex,StopBlocks.thisTrial,StopTrials.thisRepN,StopTrials.thisTrialN,StopTrials.thisN,StopTrials.thisIndex,ok1.keys,ok1.rt,goResp.keys,goResp.corr,goResp.rt,expName,gender (m/f),age,frameRate,session,date,participant,
,,,,,,,,,,,,,,,,m,0.573073863983,,,,LearningTask,,,60.0795559534,3,2015_Mar_31_1208,3032,
m,0,200,,,,,0,0,0,0,None,0,0,0,1,,,m,1,0.901432991028,LearningTask,,,60.0795559534,3,2015_Mar_31_1208,3032,
z,0,-200,,,,,0,0,0,0,None,0,1,1,0,,,z,1,0.584197044373,LearningTask,,,60.0795559534,3,2015_Mar_31_1208,3032,
m,0,200,,,,,0,0,0,0,None,1,0,2,1,,,m,1,0.934490919113,LearningTask,,,60.0795559534,3,2015_Mar_31_1208,3032,
z,0,-200,,,,,0,0,0,0,None,1,1,3,0,,,z,1,0.40079498291,LearningTask,,,60.0795559534,3,2015_Mar_31_1208,3032,
m,0,200,,,,,0,0,0,0,None,2,0,4,1,,,m,1,0.334179878235,LearningTask,,,60.0795559534,3,2015_Mar_31_1208,3032,
m,0,200,,,,,0,0,0,0,None,2,1,5,1,,,m,1,0.384074211121,LearningTask,,,60.0795559534,3,2015_Mar_31_1208,3032,
z,0,-200,,,,,0,0,0,0,None,3,0,6,0,,,z,1,0.183902978897,LearningTask,,,60.0795559534,3,2015_Mar_31_1208,3032,
m,0,200,,,,,0,0,0,0,None,3,1,7,1,,,m,1,0.300832986832,LearningTask,,,60.0795559534,3,2015_Mar_31_1208,3032,
m,0,200,,,,,0,0,0,0,None,4,0,8,1,,,m,1,0.300843000412,LearningTask,,,60.0795559534,3,2015_Mar_31_1208,3032,
z,0,-200,,,,,0,0,0,0,None,4,1,9,0,,,z,1,0.264037132263,LearningTask,,,60.0795559534,3,2015_Mar_31_1208,3032,
z,0,-200,,,,,0,0,0,0,None,5,0,10,0,,,z,1,0.33388209343,LearningTask,,,60.0795559534,3,2015_Mar_31_1208,3032,
z,0,-200,,,,,0,0,0,0,None,5,1,11,0,,,z,1,0.334169864655,LearningTask,,,60.0795559534,3,2015_Mar_31_1208,3032,
m,0,200,,,,,0,0,0,0,None,6,0,12,1,,,m,1,0.267462015152,LearningTask,,,60.0795559534,3,2015_Mar_31_1208,3032,
z,0,-200,,,,,0,0,0,0,None,6,1,13,0,,,z,1,0.250500202179,LearningTask,,,60.0795559534,3,2015_Mar_31_1208,3032,
z,0,-200,,,,,0,0,0,0,None,7,0,14,0,,,z,1,0.3505859375,LearningTask,,,60.0795559534,3,2015_Mar_31_1208,3032,
m,0,200,,,,,0,0,0,0,None,7,1,15,1,,,m,1,0.283997058868,LearningTask,,,60.0795559534,3,2015_Mar_31_1208,3032,
m,0,200,,,,,0,0,0,0,None,8,0,16,1,,,m,1,0.450706958771,LearningTask,,,60.0795559534,3,2015_Mar_31_1208,3032,
m,0,200,,,,,0,0,0,0,None,8,1,17,1,,,m,1,0.367280006409,LearningTask,,,60.0795559534,3,2015_Mar_31_1208,3032,
m,0,200,,,,,0,0,0,0,None,9,0,18,1,,,m,1,0.422858953476,LearningTask,,,60.0795559534,3,2015_Mar_31_1208,3032,
m,0,200,,,,,0,0,0,0,None,9,1,19,1,,,m,1,0.41684794426,LearningTask,,,60.0795559534,3,2015_Mar_31_1208,3032,
z,0,-200,,,,,0,0,0,0,None,10,0,20,0,,,z,1,0.450780153275,LearningTask,,,60.0795559534,3,2015_Mar_31_1208,3032,
z,0,-200,,,,,0,0,0,0,None,10,1,21,0,,,z,1,0.480162858963,LearningTask,,,60.0795559534,3,2015_Mar_31_1208,3032,
z,0,-200,,,,,0,0,0,0,None,11,0,22,0,,,z,1,0.46747803688,LearningTask,,,60.0795559534,3,2015_Mar_31_1208,3032,
z,0,-200,,,,,0,0,0,0,None,11,1,23,0,,,z,1,0.58465385437,LearningTask,,,60.0795559534,3,2015_Mar_31_1208,3032,
m,0,200,,,,,0,0,0,0,None,12,0,24,1,,,m,1,0.367577075958,LearningTask,,,60.0795559534,3,2015_Mar_31_1208,3032,
z,0,-200,,,,,0,0,0,0,None,12,1,25,0,,,z,1,0.451140880585,LearningTask,,,60.0795559534,3,2015_Mar_31_1208,3032,
z,0,-200,,,,,0,0,0,0,None,13,0,26,0,,,z,1,0.369157075882,LearningTask,,,60.0795559534,3,2015_Mar_31_1208,3032,
m,0,200,,,,,0,0,0,0,None,13,1,27,1,,,m,1,0.300720930099,LearningTask,,,60.0795559534,3,2015_Mar_31_1208,3032,
