xPos,corrAns,yPos,corrGoResp,yPosGoStim,xPosGoStim,pracTrials.thisRepN,pracTrials.thisTrialN,pracTrials.thisN,pracTrials.thisIndex,pracStopTrials.thisRepN,pracStopTrials.thisTrialN,pracStopTrials.thisN,pracStopTrials.thisIndex,Blocks.thisRepN,Blocks.thisTrialN,Blocks.thisN,Blocks.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,ReDoLoopMain.thisRepN,ReDoLoopMain.thisTrialN,ReDoLoopMain.thisN,ReDoLoopMain.thisIndex,ReDoLoopMain.thisTrial,StopBlocks.thisRepN,StopBlocks.thisTrialN,StopBlocks.thisN,StopBlocks.thisIndex,StopTrials.thisRepN,StopTrials.thisTrialN,StopTrials.thisN,StopTrials.thisIndex,auctionBlocks.thisRepN,auctionBlocks.thisTrialN,auctionBlocks.thisN,auctionBlocks.thisIndex,auctionTrials.thisRepN,auctionTrials.thisTrialN,auctionTrials.thisN,auctionTrials.thisIndex,ok1.keys,ok1.rt,key_resp_3.keys,key_resp_3.rt,resp.keys,resp.corr,resp.rt,computedRewardOutput,beginningSSD,trialType,goStim,goResp.keys,goResp.corr,goTrailCountOutput,goCumRTOutput,goRTCountOutput,stopTrialCountOutput,stopSuccessCountOutput,omissionCountOutput,commissionCountOutput,EndingSSD,goResp.rt,key_resp_4.keys,key_resp_4.rt,key_resp_5.keys,key_resp_5.rt,expName,gender (m/f),age,frameRate,session,date,participant,
-200,a,-200,,,,,,,,,,,,0,0,0,0,4,1,17,3,,,,,,,,,,,,,,,,,,,,,,,,,,a,1,0.667484045029,0.39,,,,,,,,,,,,,,,,,,,LearningTask,,,59.9890728827,3,2015_Apr_10_1436,4,
200,s,-200,,,,,,,,,,,,0,0,0,0,4,2,18,2,,,,,,,,,,,,,,,,,,,,,,,,,,s,1,0.467818975449,1.8,,,,,,,,,,,,,,,,,,,LearningTask,,,59.9890728827,3,2015_Apr_10_1436,4,
200,w,200,,,,,,,,,,,,0,0,0,0,4,3,19,0,,,,,,,,,,,,,,,,,,,,,,,,,,w,1,0.300776958466,2.09,,,,,,,,,,,,,,,,,,,LearningTask,,,59.9890728827,3,2015_Apr_10_1436,4,
,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LearningTask,,,59.9890728827,3,2015_Apr_10_1436,4,
,,,m,0,200,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,1,,,,,,,,,,,,,,,,,0.25,stop,hexagongreen.gif,None,0,0,0,0,1,1,0,0,0.3,,,,,,LearningTask,,,59.9890728827,3,2015_Apr_10_1436,4,
,,,z,0,-200,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,1,1,0,,,,,,,,,,,,,,,,,-1,go,invertedtriangleorange.gif,z,1,1,0.317651033401,1,1,1,0,0,-1,0.317651033401,,,,,LearningTask,,,59.9890728827,3,2015_Apr_10_1436,4,
,,,z,0,-200,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,0,2,0,,,,,,,,,,,,,,,,,-1,go,squarewhite.gif,z,1,2,0.785130977631,2,1,1,0,0,-1,0.467479944229,,,,,LearningTask,,,59.9890728827,3,2015_Apr_10_1436,4,
,,,m,0,200,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,1,3,1,,,,,,,,,,,,,,,,,-1,go,invertedtriangleorange.gif,m,1,3,1.2190759182,3,1,1,0,0,-1,0.433944940567,,,,,LearningTask,,,59.9890728827,3,2015_Apr_10_1436,4,
,,,m,0,200,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,2,0,4,1,,,,,,,,,,,,,,,,,-1,go,invertedtriangleorange.gif,m,1,4,1.73662090302,4,1,1,0,0,-1,0.517544984818,,,,,LearningTask,,,59.9890728827,3,2015_Apr_10_1436,4,
,,,z,0,-200,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,2,1,5,0,,,,,,,,,,,,,,,,,-1,go,triangleyellow.gif,z,1,5,2.18747997284,5,1,1,0,0,-1,0.450859069824,,,,,LearningTask,,,59.9890728827,3,2015_Apr_10_1436,4,
,,,m,0,200,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,3,0,6,1,,,,,,,,,,,,,,,,,-1,go,invertedtriangleorange.gif,m,1,6,2.58833193779,6,1,1,0,0,-1,0.400851964951,,,,,LearningTask,,,59.9890728827,3,2015_Apr_10_1436,4,
,,,z,0,-200,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,3,1,7,0,,,,,,,,,,,,,,,,,-1,go,diamondblue.gif,z,1,7,3.03922390938,7,1,1,0,0,-1,0.450891971588,,,,,LearningTask,,,59.9890728827,3,2015_Apr_10_1436,4,
,,,z,0,-200,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,4,0,8,0,,,,,,,,,,,,,,,,,-1,go,circlegray.gif,z,1,8,3.47319793701,8,1,1,0,0,-1,0.433974027634,,,,,LearningTask,,,59.9890728827,3,2015_Apr_10_1436,4,
,,,m,0,200,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,4,1,9,1,,,,,,,,,,,,,,,,,0.3,stop,hexagongreen.gif,m,1,8,3.47319793701,8,2,1,0,0,0.25,0.334108829498,,,,,LearningTask,,,59.9890728827,3,2015_Apr_10_1436,4,
,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,space,66.3048260212,,,,,,,,,,,,,,,,,,,,,,,LearningTask,,,59.9890728827,3,2015_Apr_10_1436,4,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,6.92775702477,,,LearningTask,,,59.9890728827,3,2015_Apr_10_1436,4,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,space,1.08305597305,LearningTask,,,59.9890728827,3,2015_Apr_10_1436,4,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,LearningTask,,,59.9890728827,3,2015_Apr_10_1436,4,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,LearningTask,,,59.9890728827,3,2015_Apr_10_1436,4,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,LearningTask,,,59.9890728827,3,2015_Apr_10_1436,4,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,LearningTask,,,59.9890728827,3,2015_Apr_10_1436,4,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,LearningTask,,,59.9890728827,3,2015_Apr_10_1436,4,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,6,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,LearningTask,,,59.9890728827,3,2015_Apr_10_1436,4,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,7,0,7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,LearningTask,,,59.9890728827,3,2015_Apr_10_1436,4,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,8,0,8,0,,,,,,,,,,,,,,,,,,,,,,,,,,,LearningTask,,,59.9890728827,3,2015_Apr_10_1436,4,
