xPos,corrAns,yPos,corrGoResp,yPosGoStim,xPosGoStim,pracTrials.thisRepN,pracTrials.thisTrialN,pracTrials.thisN,pracTrials.thisIndex,ReDoLoopPrac.thisRepN,ReDoLoopPrac.thisTrialN,ReDoLoopPrac.thisN,ReDoLoopPrac.thisIndex,ReDoLoopPrac.thisTrial,pracStopTrials.thisRepN,pracStopTrials.thisTrialN,pracStopTrials.thisN,pracStopTrials.thisIndex,Blocks.thisRepN,Blocks.thisTrialN,Blocks.thisN,Blocks.thisIndex,Blocks.thisTrial,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,ReDoLoopMain.thisRepN,ReDoLoopMain.thisTrialN,ReDoLoopMain.thisN,ReDoLoopMain.thisIndex,ReDoLoopMain.thisTrial,ok1.keys,ok1.rt,StartTrialTimeStamp,resp.keys,resp.corr,resp.rt,key_resp_8.keys,learningStimOnset,learningFixOnset,EndTrialTimeStamp,beginningSSD,trialType,goStim,goResp.keys,goResp.corr,goResp.rt,key_resp_9.keys,goTrailCountOutput,goCumRTOutput,goRTCountOutput,stopTrialCountOutput,stopSuccessCountOutput,omissionCountOutput,commissionCountOutput,fixStopOnset,goStimOnset,stopSignalOnset,key_resp_3.keys,key_resp_3.rt,NewStimTimeStamp,EndNewStimTimeStamp,computedRewardOutput,expName,gender (m/f),age,frameRate,session,date,participant,
-200,q,200,,,,,,,,,,,,,,,,,0,0,0,0,None,10,3,43,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LearningTask,,,59.8157454892,3,2015_Jun_02_0948,15,
-200,a,-200,,,,,,,,,,,,,,,,,0,0,0,0,None,11,0,44,3,0,0,0,0,None,,,247.316323042,None,0,,None,0.512532949448,0.00096583366394,250.314728022,,,,,,,,,,,,,,,,,,,,247.314842939,247.315000057,4.18,LearningTask,,,59.8157454892,3,2015_Jun_02_0948,15,
-200,a,-200,,,,,,,,,,,,,,,,,0,0,0,0,None,11,0,44,3,1,0,1,0,None,,,250.315582037,None,0,,None,0.515535116196,0.00130796432495,253.316996098,,,,,,,,,,,,,,,,,,,,,,3.95,LearningTask,,,59.8157454892,3,2015_Jun_02_0948,15,
-200,a,-200,,,,,,,,,,,,,,,,,0,0,0,0,None,11,0,44,3,2,0,2,0,None,,,253.317599058,None,0,,None,0.51598906517,0.00126004219055,256.319020987,,,,,,,,,,,,,,,,,,,,,,3.99,LearningTask,,,59.8157454892,3,2015_Jun_02_0948,15,
-200,a,-200,,,,,,,,,,,,,,,,,0,0,0,0,None,11,0,44,3,3,0,3,0,None,,,256.319617033,None,0,,None,0.515908956528,0.00120806694031,259.321731091,,,,,,,,,,,,,,,,,,,,,,4.07,LearningTask,,,59.8157454892,3,2015_Jun_02_0948,15,
-200,a,-200,,,,,,,,,,,,,,,,,0,0,0,0,None,11,0,44,3,4,0,4,0,None,,,259.322323084,None,0,,None,0.515944004059,0.00123381614685,262.324109077,,,,,,,,,,,,,,,,,,,,,,4.14,LearningTask,,,59.8157454892,3,2015_Jun_02_0948,15,
-200,a,-200,,,,,,,,,,,,,,,,,0,0,0,0,None,11,0,44,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LearningTask,,,59.8157454892,3,2015_Jun_02_0948,15,
200,w,200,,,,,,,,,,,,,,,,,0,0,0,0,None,11,1,45,0,0,0,0,0,None,,,262.893244028,None,0,,None,0.514666795731,0.000919818878174,265.893721104,,,,,,,,,,,,,,,,,,,,262.891835928,262.89201498,1.97,LearningTask,,,59.8157454892,3,2015_Jun_02_0948,15,
200,w,200,,,,,,,,,,,,,,,,,0,0,0,0,None,11,1,45,0,1,0,1,0,None,,,265.894483089,None,0,,None,0.515829086304,0.00146508216858,268.896337032,,,,,,,,,,,,,,,,,,,,,,1.78,LearningTask,,,59.8157454892,3,2015_Jun_02_0948,15,
200,w,200,,,,,,,,,,,,,,,,,0,0,0,0,None,11,1,45,0,2,0,2,0,None,,,268.897011042,None,0,,None,0.515691041946,0.00159907341003,271.898601055,,,,,,,,,,,,,,,,,,,,,,1.88,LearningTask,,,59.8157454892,3,2015_Jun_02_0948,15,
