xPos,corrAns,yPos,practiceTrials.thisRepN,practiceTrials.thisTrialN,practiceTrials.thisN,practiceTrials.thisIndex,ReDoLoop.thisRepN,ReDoLoop.thisTrialN,ReDoLoop.thisN,ReDoLoop.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,ReDoLoopMain.thisRepN,ReDoLoopMain.thisTrialN,ReDoLoopMain.thisN,ReDoLoopMain.thisIndex,ok1.keys,ok1.rt,resp.keys,resp.corr,resp.rt,expName,gender (m/f),age,frameRate,session,date,participant,
,,,,,,,,,,,,,,,,,,,space,0.272490024567,,,,LearningTask,,,59.9200837735,3,2015_Mar_18_1614,291,
-200,g,-200,0,0,0,3,0,0,0,0,,,,,,,,,,,g,1,0.434342861176,LearningTask,,,59.9200837735,3,2015_Mar_18_1614,291,
-200,g,-200,0,0,0,3,,,,,,,,,,,,,,,,,,LearningTask,,,59.9200837735,3,2015_Mar_18_1614,291,
-200,t,200,0,1,1,1,0,0,0,0,,,,,,,,,,,t,1,0.301005125046,LearningTask,,,59.9200837735,3,2015_Mar_18_1614,291,
-200,t,200,0,1,1,1,,,,,,,,,,,,,,,,,,LearningTask,,,59.9200837735,3,2015_Mar_18_1614,291,
200,h,-200,0,2,2,2,0,0,0,0,,,,,,,,,,,h,1,0.384155988693,LearningTask,,,59.9200837735,3,2015_Mar_18_1614,291,
200,h,-200,0,2,2,2,,,,,,,,,,,,,,,,,,LearningTask,,,59.9200837735,3,2015_Mar_18_1614,291,
200,y,200,0,3,3,0,0,0,0,0,,,,,,,,,,,y,1,0.284064054489,LearningTask,,,59.9200837735,3,2015_Mar_18_1614,291,
200,y,200,0,3,3,0,,,,,,,,,,,,,,,,,,LearningTask,,,59.9200837735,3,2015_Mar_18_1614,291,
-200,g,-200,,,,,,,,,0,0,0,3,0,0,0,0,,,g,1,0.35027384758,LearningTask,,,59.9200837735,3,2015_Mar_18_1614,291,
-200,g,-200,,,,,,,,,0,0,0,3,,,,,,,,,,LearningTask,,,59.9200837735,3,2015_Mar_18_1614,291,
-200,t,200,,,,,,,,,0,1,1,1,0,0,0,0,,,t,1,0.317529916763,LearningTask,,,59.9200837735,3,2015_Mar_18_1614,291,
-200,t,200,,,,,,,,,0,1,1,1,,,,,,,,,,LearningTask,,,59.9200837735,3,2015_Mar_18_1614,291,
200,h,-200,,,,,,,,,0,2,2,2,0,0,0,0,,,h,1,0.334402084351,LearningTask,,,59.9200837735,3,2015_Mar_18_1614,291,
200,h,-200,,,,,,,,,0,2,2,2,,,,,,,,,,LearningTask,,,59.9200837735,3,2015_Mar_18_1614,291,
200,y,200,,,,,,,,,0,3,3,0,0,0,0,0,,,y,1,0.300997972488,LearningTask,,,59.9200837735,3,2015_Mar_18_1614,291,
200,y,200,,,,,,,,,0,3,3,0,,,,,,,,,,LearningTask,,,59.9200837735,3,2015_Mar_18_1614,291,
