corrGoResp,yPosGoStim,xPosGoStim,Blocks.thisRepN,Blocks.thisTrialN,Blocks.thisN,Blocks.thisIndex,StopBlocks.thisRepN,StopBlocks.thisTrialN,StopBlocks.thisN,StopBlocks.thisIndex,StopBlocks.thisTrial,StopTrials.thisRepN,StopTrials.thisTrialN,StopTrials.thisN,StopTrials.thisIndex,ok1.keys,ok1.rt,beginningSSD,trialType,goStim,goResp.keys,goResp.corr,goResp.rt,goTrailCountOutput,goCumRTOutput,goRTCountOutput,stopTrialCountOutput,stopSuccessCountOutput,omissionCountOutput,commissionCountOutput,EndingSSD,expName,gender (m/f),age,frameRate,session,date,participant,
,,,,,,,,,,,,,,,,space,0.573194026947,,,,,,,,,,,,,,,LearningTask,,,59.9229943896,3,2015_Mar_31_1516,12309,
m,0,200,,,,,0,0,0,0,None,0,0,0,1,,,-1,go,trianglemagenta.gif,m,1,0.434138059616,1,0.434138059616,1,0,0,0,0,-1,LearningTask,,,59.9229943896,3,2015_Mar_31_1516,12309,
z,0,-200,,,,,0,0,0,0,None,0,1,1,0,,,0.25,stop,trianglemagenta.gif,z,1,0.500664949417,1,0.434138059616,1,1,0,0,0,0.2,LearningTask,,,59.9229943896,3,2015_Mar_31_1516,12309,
z,0,-200,,,,,0,0,0,0,None,1,0,2,0,,,0.2,stop,squaregreen.gif,None,0,,1,0.434138059616,1,2,1,0,0,0.25,LearningTask,,,59.9229943896,3,2015_Mar_31_1516,12309,
z,0,-200,,,,,0,0,0,0,None,1,1,3,0,,,-1,go,circleorange.gif,m,0,0.584359169006,2,0.434138059616,1,2,1,0,1,-1,LearningTask,,,59.9229943896,3,2015_Mar_31_1516,12309,
z,0,-200,,,,,0,0,0,0,None,2,0,4,0,,,0.25,stop,squaregreen.gif,None,0,,2,0.434138059616,1,3,2,0,1,0.3,LearningTask,,,59.9229943896,3,2015_Mar_31_1516,12309,
m,0,200,,,,,0,0,0,0,None,2,1,5,1,,,-1,go,hexagongray.gif,None,0,,3,0.434138059616,1,3,2,1,2,-1,LearningTask,,,59.9229943896,3,2015_Mar_31_1516,12309,
m,0,200,,,,,0,0,0,0,None,3,0,6,1,,,-1,go,hexagongray.gif,None,0,,4,0.434138059616,1,3,2,2,3,-1,LearningTask,,,59.9229943896,3,2015_Mar_31_1516,12309,
z,0,-200,,,,,0,0,0,0,None,3,1,7,0,,,-1,go,diamondyellow.gif,None,0,,5,0.434138059616,1,3,2,3,4,-1,LearningTask,,,59.9229943896,3,2015_Mar_31_1516,12309,
z,0,-200,,,,,0,0,0,0,None,4,0,8,0,,,-1,go,diamondyellow.gif,None,0,,6,0.434138059616,1,3,2,4,5,-1,LearningTask,,,59.9229943896,3,2015_Mar_31_1516,12309,
z,0,-200,,,,,0,0,0,0,None,4,1,9,0,,,-1,go,crossblue.gif,None,0,,7,0.434138059616,1,3,2,5,6,-1,LearningTask,,,59.9229943896,3,2015_Mar_31_1516,12309,
m,0,200,,,,,0,0,0,0,None,5,0,10,1,,,-1,go,trianglemagenta.gif,None,0,,8,0.434138059616,1,3,2,6,7,-1,LearningTask,,,59.9229943896,3,2015_Mar_31_1516,12309,
z,0,-200,,,,,0,0,0,0,None,5,1,11,0,,,0.3,stop,squaregreen.gif,None,0,,8,0.434138059616,1,4,3,6,7,0.35,LearningTask,,,59.9229943896,3,2015_Mar_31_1516,12309,
m,0,200,,,,,0,0,0,0,None,6,0,12,1,,,-1,go,hexagongray.gif,None,0,,9,0.434138059616,1,4,3,7,8,-1,LearningTask,,,59.9229943896,3,2015_Mar_31_1516,12309,
m,0,200,,,,,0,0,0,0,None,6,1,13,1,,,-1,go,circleorange.gif,None,0,,10,0.434138059616,1,4,3,8,9,-1,LearningTask,,,59.9229943896,3,2015_Mar_31_1516,12309,
m,0,200,,,,,0,0,0,0,None,7,0,14,1,,,-1,go,linewhite.gif,None,0,,11,0.434138059616,1,4,3,9,10,-1,LearningTask,,,59.9229943896,3,2015_Mar_31_1516,12309,
m,0,200,,,,,0,0,0,0,None,7,1,15,1,,,0.25,stop,linewhite.gif,None,0,,11,0.434138059616,1,5,4,9,10,0.3,LearningTask,,,59.9229943896,3,2015_Mar_31_1516,12309,
z,0,-200,,,,,0,0,0,0,None,8,0,16,0,,,0.35,stop,linewhite.gif,None,0,,11,0.434138059616,1,6,5,9,10,0.4,LearningTask,,,59.9229943896,3,2015_Mar_31_1516,12309,
z,0,-200,,,,,0,0,0,0,None,8,1,17,0,,,-1,go,invertedtrianglecyan.gif,None,0,,12,0.434138059616,1,6,5,10,11,-1,LearningTask,,,59.9229943896,3,2015_Mar_31_1516,12309,
m,0,200,,,,,0,0,0,0,None,9,0,18,1,,,-1,go,invertedtrianglecyan.gif,None,0,,13,0.434138059616,1,6,5,11,12,-1,LearningTask,,,59.9229943896,3,2015_Mar_31_1516,12309,
m,0,200,,,,,0,0,0,0,None,9,1,19,1,,,-1,go,hexagongray.gif,None,0,,14,0.434138059616,1,6,5,12,13,-1,LearningTask,,,59.9229943896,3,2015_Mar_31_1516,12309,
