xPos,corrAns,yPos,pracTrials.thisRepN,pracTrials.thisTrialN,pracTrials.thisN,pracTrials.thisIndex,pracStopTrials.thisRepN,pracStopTrials.thisTrialN,pracStopTrials.thisN,pracStopTrials.thisIndex,Blocks.thisRepN,Blocks.thisTrialN,Blocks.thisN,Blocks.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,ok1.keys,ok1.rt,key_resp_3.keys,key_resp_3.rt,NewStimTimeStamp,EndNewStimTimeStamp,StartTrialTimeStamp,resp.keys,resp.corr,resp.rt,key_resp_8.keys,computedRewardOutput,learningStimOnset,learningFixOnset,EndTrialTimeStamp,key_resp_7.keys,key_resp_7.rt,expName,gender (m/f),age,frameRate,session,date,participant,
-200,a,-200,,,,,,,,,0,0,0,0,7,0,28,3,,,,,105.428195953,105.428499937,105.42889905,None,0,,None,3.84,0.514271020889,0.00160193443298,108.429399967,,,LearningTask,,,59.9322417521,3,2015_Jun_02_1026,17,
-200,a,-200,,,,,,,,,0,0,0,0,7,1,29,3,,,,,108.43029809,108.430510044,108.430855989,None,0,,None,1.95,0.514769792557,0.00172185897827,111.431839943,,,LearningTask,,,59.9322417521,3,2015_Jun_02_1026,17,
-200,q,200,,,,,,,,,0,0,0,0,7,2,30,1,,,,,111.432701111,111.432914972,111.433306932,None,0,,None,2.21,0.514603853226,0.00173807144165,114.433899164,,,LearningTask,,,59.9322417521,3,2015_Jun_02_1026,17,
200,w,200,,,,,,,,,0,0,0,0,7,3,31,0,,,,,114.434739113,114.434947968,114.435220003,None,0,,None,0.9,0.515096902847,0.00120782852173,117.43631196,,,LearningTask,,,59.9322417521,3,2015_Jun_02_1026,17,
-200,q,200,,,,,,,,,0,0,0,0,8,0,32,1,,,,,117.437186956,117.437394142,117.437772989,None,0,,None,0.84,0.514834880829,0.00135588645935,120.43900609,,,LearningTask,,,59.9322417521,3,2015_Jun_02_1026,17,
-200,a,-200,,,,,,,,,0,0,0,0,8,1,33,3,,,,,120.439836025,120.440099955,120.440500975,None,0,,None,3.87,0.514700174332,0.00169515609741,123.441190004,,,LearningTask,,,59.9322417521,3,2015_Jun_02_1026,17,
200,s,-200,,,,,,,,,0,0,0,0,8,2,34,2,,,,,123.442046165,123.442254066,123.442643166,None,0,,None,3.99,0.514725923538,0.00173807144165,126.443349123,,,LearningTask,,,59.9322417521,3,2015_Jun_02_1026,17,
-200,q,200,,,,,,,,,0,0,0,0,8,3,35,1,,,,,126.444215059,126.444458008,126.444765091,None,0,,None,0.88,0.51521396637,0.00132298469543,129.445815086,,,LearningTask,,,59.9322417521,3,2015_Jun_02_1026,17,
200,w,200,,,,,,,,,0,0,0,0,9,0,36,0,,,,,129.446653128,129.446866035,129.447144985,None,0,,None,1.01,0.515304088593,0.00122499465942,132.448251963,,,LearningTask,,,59.9322417521,3,2015_Jun_02_1026,17,
200,s,-200,,,,,,,,,0,0,0,0,9,1,37,2,,,,,132.449084044,132.449293137,132.44956398,None,0,,None,0.43,0.515163183212,0.00130105018616,135.450839996,,,LearningTask,,,59.9322417521,3,2015_Jun_02_1026,17,
200,w,200,,,,,,,,,0,0,0,0,9,2,38,0,,,,,135.451709032,135.452018023,135.452419043,None,0,,None,0.93,0.514572143555,0.00170516967773,138.453058958,,,LearningTask,,,59.9322417521,3,2015_Jun_02_1026,17,
-200,q,200,,,,,,,,,0,0,0,0,9,3,39,1,,,,,138.454008102,138.454220057,138.454509974,None,0,,None,0.92,0.515174865723,0.00123190879822,141.455007076,,,LearningTask,,,59.9322417521,3,2015_Jun_02_1026,17,
