xPos,corrAns,yPos,corrGoResp,yPosGoStim,xPosGoStim,pracTrials.thisRepN,pracTrials.thisTrialN,pracTrials.thisN,pracTrials.thisIndex,ReDoLoopPrac.thisRepN,ReDoLoopPrac.thisTrialN,ReDoLoopPrac.thisN,ReDoLoopPrac.thisIndex,ReDoLoopPrac.thisTrial,pracStopTrials.thisRepN,pracStopTrials.thisTrialN,pracStopTrials.thisN,pracStopTrials.thisIndex,Blocks.thisRepN,Blocks.thisTrialN,Blocks.thisN,Blocks.thisIndex,Blocks.thisTrial,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,ReDoLoopMain.thisRepN,ReDoLoopMain.thisTrialN,ReDoLoopMain.thisN,ReDoLoopMain.thisIndex,ReDoLoopMain.thisTrial,ok1.keys,ok1.rt,resp.keys,resp.corr,resp.rt,learningStimOnset,learningFixOnset,EndTrialTimeStamp,,beginningSSD,trialType,goStim,goResp.keys,goResp.corr,goResp.rt,goTrailCountOutput,goCumRTOutput,goRTCountOutput,stopTrialCountOutput,stopSuccessCountOutput,omissionCountOutput,commissionCountOutput,fixStopOnset,goStimOnset,stopSignalOnset,key_resp_3.keys,key_resp_3.rt,computedRewardOutput,expName,gender (m/f),age,frameRate,session,date,participant
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,0.432535172,,,,,,,,,,,,,,,,,,,,,,,,,,,LearningTask,,,59.98040839,3,2015_May_27_1604,4
-200,a,-200,,,,0,0,0,3,0,0,0,0,None,,,,,,,,,,,,,,,,,,,,,a,1,0.317416906,0.504969835,0.003173828,13.36770201,,,,,,,,,,,,,,,,,,,,,LearningTask,,,59.98040839,3,2015_May_27_1604,4
-200,a,-200,,,,0,0,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LearningTask,,,59.98040839,3,2015_May_27_1604,4
-200,q,200,,,,0,1,1,9,0,0,0,0,None,,,,,,,,,,,,,,,,,,,,,q,1,0.484379053,0.505934954,0.001799822,16.38656998,3.01886797,,,,,,,,,,,,,,,,,,,,LearningTask,,,59.98040839,3,2015_May_27_1604,4
-200,q,200,,,,0,1,1,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LearningTask,,,59.98040839,3,2015_May_27_1604,4
200,s,-200,,,,0,2,2,2,0,0,0,0,None,,,,,,,,,,,,,,,,,,,,,s,1,0.534427881,0.513335943,0.001630068,19.42240214,3.035832167,,,,,,,,,,,,,,,,,,,,LearningTask,,,59.98040839,3,2015_May_27_1604,4
200,s,-200,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LearningTask,,,59.98040839,3,2015_May_27_1604,4
-200,q,200,,,,0,3,3,1,0,0,0,0,None,,,,,,,,,,,,,,,,,,,,,None,0,,0.506080151,0.001448154,22.45827603,3.03587389,,,,,,,,,,,,,,,,,,,,LearningTask,,,59.98040839,3,2015_May_27_1604,4
-200,q,200,,,,0,3,3,1,1,0,1,0,None,,,,,,,,,,,,,,,,,,,,,q,1,0.534490108,0.516291142,0.000977993,25.46042514,3.002149105,,,,,,,,,,,,,,,,,,,,LearningTask,,,59.98040839,3,2015_May_27_1604,4
-200,q,200,,,,0,3,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LearningTask,,,59.98040839,3,2015_May_27_1604,4
-200,a,-200,,,,0,4,4,7,0,0,0,0,None,,,,,,,,,,,,,,,,,,,,,a,1,0.534490108,0.513600111,0.000948191,28.51269507,3.052269936,,,,,,,,,,,,,,,,,,,,LearningTask,,,59.98040839,3,2015_May_27_1604,4
-200,a,-200,,,,0,4,4,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LearningTask,,,59.98040839,3,2015_May_27_1604,4
200,w,200,,,,0,5,5,0,0,0,0,0,None,,,,,,,,,,,,,,,,,,,,,s,0,0.551329851,0.502735138,0.001688004,31.58209109,3.069396019,,,,,,,,,,,,,,,,,,,,LearningTask,,,59.98040839,3,2015_May_27_1604,4
200,w,200,,,,0,5,5,0,1,0,1,0,None,,,,,,,,,,,,,,,,,,,,,w,1,0.200674057,0.516269922,0.001036882,34.58463907,3.002547979,,,,,,,,,,,,,,,,,,,,LearningTask,,,59.98040839,3,2015_May_27_1604,4
200,w,200,,,,0,5,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LearningTask,,,59.98040839,3,2015_May_27_1604,4
200,w,200,,,,0,6,6,8,0,0,0,0,None,,,,,,,,,,,,,,,,,,,,,w,1,0.45086813,0.500156879,0.001187801,37.65396404,3.06932497,,,,,,,,,,,,,,,,,,,,LearningTask,,,59.98040839,3,2015_May_27_1604,4
200,w,200,,,,0,6,6,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LearningTask,,,59.98040839,3,2015_May_27_1604,4
200,w,200,,,,0,7,7,4,0,0,0,0,None,,,,,,,,,,,,,,,,,,,,,None,0,,0.516247034,0.001044989,40.73982406,3.085860014,,,,,,,,,,,,,,,,,,,,LearningTask,,,59.98040839,3,2015_May_27_1604,4
200,w,200,,,,0,7,7,4,1,0,1,0,None,,,,,,,,,,,,,,,,,,,,,w,1,0.667740822,0.516047955,0.001634121,43.74200416,3.0021801,,,,,,,,,,,,,,,,,,,,LearningTask,,,59.98040839,3,2015_May_27_1604,4
200,w,200,,,,0,7,7,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LearningTask,,,59.98040839,3,2015_May_27_1604,4
-200,q,200,,,,0,8,8,5,0,0,0,0,None,,,,,,,,,,,,,,,,,,,,,None,0,,0.512148142,0.000991106,46.82778215,3.085777998,,,,,,,,,,,,,,,,,,,,LearningTask,,,59.98040839,3,2015_May_27_1604,4
-200,q,200,,,,0,8,8,5,1,0,1,0,None,,,,,,,,,,,,,,,,,,,,,None,0,,0.516088009,0.001741886,49.82994509,3.002162933,,,,,,,,,,,,,,,,,,,,LearningTask,,,59.98040839,3,2015_May_27_1604,4
-200,q,200,,,,0,8,8,5,2,0,2,0,None,,,,,,,,,,,,,,,,,,,,,None,0,,0.516472816,0.00095892,52.83250999,3.002564907,,,,,,,,,,,,,,,,,,,,LearningTask,,,59.98040839,3,2015_May_27_1604,4
-200,q,200,,,,0,8,8,5,3,0,3,0,None,,,,,,,,,,,,,,,,,,,,,None,0,,0.516263962,0.000988007,55.83495498,3.002444983,,,,,,,,,,,,,,,,,,,,LearningTask,,,59.98040839,3,2015_May_27_1604,4
