corrGoResp,yPosGoStim,xPosGoStim,Blocks.thisRepN,Blocks.thisTrialN,Blocks.thisN,Blocks.thisIndex,StopBlocks.thisRepN,StopBlocks.thisTrialN,StopBlocks.thisN,StopBlocks.thisIndex,StopBlocks.thisTrial,StopTrials.thisRepN,StopTrials.thisTrialN,StopTrials.thisN,StopTrials.thisIndex,ok1.keys,ok1.rt,goResp.keys,goResp.corr,goResp.rt,expName,gender (m/f),age,frameRate,session,date,participant,
,,,,,,,,,,,,,,,,space,0.620131015778,,,,LearningTask,,,59.9631726425,3,2015_Mar_31_1237,3024,
m,0,200,,,,,0,0,0,0,None,0,0,0,1,,,m,1,0.383790969849,LearningTask,,,59.9631726425,3,2015_Mar_31_1237,3024,
m,0,200,,,,,0,0,0,0,None,0,1,1,1,,,m,1,0.434262990952,LearningTask,,,59.9631726425,3,2015_Mar_31_1237,3024,
m,0,200,,,,,0,0,0,0,None,1,0,2,1,,,m,1,0.350946903229,LearningTask,,,59.9631726425,3,2015_Mar_31_1237,3024,
m,0,200,,,,,0,0,0,0,None,1,1,3,1,,,m,1,0.450705051422,LearningTask,,,59.9631726425,3,2015_Mar_31_1237,3024,
z,0,-200,,,,,0,0,0,0,None,2,0,4,0,,,z,1,0.434228897095,LearningTask,,,59.9631726425,3,2015_Mar_31_1237,3024,
z,0,-200,,,,,0,0,0,0,None,2,1,5,0,,,z,1,0.467725038528,LearningTask,,,59.9631726425,3,2015_Mar_31_1237,3024,
z,0,-200,,,,,0,0,0,0,None,3,0,6,0,,,z,1,0.901355028152,LearningTask,,,59.9631726425,3,2015_Mar_31_1237,3024,
m,0,200,,,,,0,0,0,0,None,3,1,7,1,,,m,1,0.400805950165,LearningTask,,,59.9631726425,3,2015_Mar_31_1237,3024,
m,0,200,,,,,0,0,0,0,None,4,0,8,1,,,None,0,,LearningTask,,,59.9631726425,3,2015_Mar_31_1237,3024,
z,0,-200,,,,,0,0,0,0,None,4,1,9,0,,,z,1,0.467282056808,LearningTask,,,59.9631726425,3,2015_Mar_31_1237,3024,
m,0,200,,,,,0,0,0,0,None,5,0,10,1,,,None,0,,LearningTask,,,59.9631726425,3,2015_Mar_31_1237,3024,
z,0,-200,,,,,0,0,0,0,None,5,1,11,0,,,z,1,0.395783901215,LearningTask,,,59.9631726425,3,2015_Mar_31_1237,3024,
m,0,200,,,,,0,0,0,0,None,6,0,12,1,,,m,1,0.400737047195,LearningTask,,,59.9631726425,3,2015_Mar_31_1237,3024,
m,0,200,,,,,0,0,0,0,None,6,1,13,1,,,m,1,0.450746059418,LearningTask,,,59.9631726425,3,2015_Mar_31_1237,3024,
m,0,200,,,,,0,0,0,0,None,7,0,14,1,,,m,1,0.467563867569,LearningTask,,,59.9631726425,3,2015_Mar_31_1237,3024,
z,0,-200,,,,,0,0,0,0,None,7,1,15,0,,,z,1,0.40089392662,LearningTask,,,59.9631726425,3,2015_Mar_31_1237,3024,
z,0,-200,,,,,0,0,0,0,None,8,0,16,0,,,None,0,,LearningTask,,,59.9631726425,3,2015_Mar_31_1237,3024,
m,0,200,,,,,0,0,0,0,None,8,1,17,1,,,None,0,,LearningTask,,,59.9631726425,3,2015_Mar_31_1237,3024,
z,0,-200,,,,,0,0,0,0,None,9,0,18,0,,,z,1,0.41761302948,LearningTask,,,59.9631726425,3,2015_Mar_31_1237,3024,
m,0,200,,,,,0,0,0,0,None,9,1,19,1,,,m,1,0.384274959564,LearningTask,,,59.9631726425,3,2015_Mar_31_1237,3024,
z,0,-200,,,,,0,0,0,0,None,10,0,20,0,,,None,0,,LearningTask,,,59.9631726425,3,2015_Mar_31_1237,3024,
z,0,-200,,,,,0,0,0,0,None,10,1,21,0,,,z,1,0.371397018433,LearningTask,,,59.9631726425,3,2015_Mar_31_1237,3024,
m,0,200,,,,,0,0,0,0,None,11,0,22,1,,,m,1,0.467465877533,LearningTask,,,59.9631726425,3,2015_Mar_31_1237,3024,
m,0,200,,,,,0,0,0,0,None,11,1,23,1,,,m,1,0.601022005081,LearningTask,,,59.9631726425,3,2015_Mar_31_1237,3024,
z,0,-200,,,,,0,0,0,0,None,12,0,24,0,,,z,1,0.517508983612,LearningTask,,,59.9631726425,3,2015_Mar_31_1237,3024,
z,0,-200,,,,,0,0,0,0,None,12,1,25,0,,,z,1,0.41747879982,LearningTask,,,59.9631726425,3,2015_Mar_31_1237,3024,
m,0,200,,,,,0,0,0,0,None,13,0,26,1,,,m,1,0.40082192421,LearningTask,,,59.9631726425,3,2015_Mar_31_1237,3024,
z,0,-200,,,,,0,0,0,0,None,13,1,27,0,,,z,1,0.451050043106,LearningTask,,,59.9631726425,3,2015_Mar_31_1237,3024,
z,0,-200,,,,,0,0,0,0,None,14,0,28,0,,,z,1,0.417102098465,LearningTask,,,59.9631726425,3,2015_Mar_31_1237,3024,
z,0,-200,,,,,0,0,0,0,None,14,1,29,0,,,z,1,0.451107025146,LearningTask,,,59.9631726425,3,2015_Mar_31_1237,3024,
m,0,200,,,,,0,0,0,0,None,15,0,30,1,,,None,0,,LearningTask,,,59.9631726425,3,2015_Mar_31_1237,3024,
m,0,200,,,,,0,0,0,0,None,15,1,31,1,,,m,1,0.417597055435,LearningTask,,,59.9631726425,3,2015_Mar_31_1237,3024,
z,0,-200,,,,,0,0,0,0,None,16,0,32,0,,,None,0,,LearningTask,,,59.9631726425,3,2015_Mar_31_1237,3024,
z,0,-200,,,,,0,0,0,0,None,16,1,33,0,,,z,1,0.367449998856,LearningTask,,,59.9631726425,3,2015_Mar_31_1237,3024,
