StopOrGo,Amount,Shape,Color,StopOrGoAndAmountLoop.thisRepN,StopOrGoAndAmountLoop.thisTrialN,StopOrGoAndAmountLoop.thisN,StopOrGoAndAmountLoop.thisIndex,ShapeLoop.thisRepN,ShapeLoop.thisTrialN,ShapeLoop.thisN,ShapeLoop.thisIndex,ColorLoop.thisRepN,ColorLoop.thisTrialN,ColorLoop.thisN,ColorLoop.thisIndex,expName,gender (m/f),age,frameRate,session,date,participant,
Go,2,invertedTriangle,green,0,0,0,5,0,0,0,3,4,4,36,4,LearningTask,,,60.0839452551,3,2015_Mar_03_1245,,
Go,2,invertedTriangle,blue,0,0,0,5,0,0,0,3,4,5,37,7,LearningTask,,,60.0839452551,3,2015_Mar_03_1245,,
Go,2,invertedTriangle,gray,0,0,0,5,0,0,0,3,4,6,38,5,LearningTask,,,60.0839452551,3,2015_Mar_03_1245,,
Go,2,invertedTriangle,cyan,0,0,0,5,0,0,0,3,4,7,39,6,LearningTask,,,60.0839452551,3,2015_Mar_03_1245,,
Go,2,invertedTriangle,gray,0,0,0,5,0,0,0,3,5,0,40,5,LearningTask,,,60.0839452551,3,2015_Mar_03_1245,,
Go,2,invertedTriangle,white,0,0,0,5,0,0,0,3,5,1,41,1,LearningTask,,,60.0839452551,3,2015_Mar_03_1245,,
Go,2,invertedTriangle,magenta,0,0,0,5,0,0,0,3,5,2,42,3,LearningTask,,,60.0839452551,3,2015_Mar_03_1245,,
Go,2,invertedTriangle,cyan,0,0,0,5,0,0,0,3,5,3,43,6,LearningTask,,,60.0839452551,3,2015_Mar_03_1245,,
Go,2,invertedTriangle,yellow,0,0,0,5,0,0,0,3,5,4,44,0,LearningTask,,,60.0839452551,3,2015_Mar_03_1245,,
Go,2,invertedTriangle,green,0,0,0,5,0,0,0,3,5,5,45,4,LearningTask,,,60.0839452551,3,2015_Mar_03_1245,,
Go,2,invertedTriangle,orange,0,0,0,5,0,0,0,3,5,6,46,2,LearningTask,,,60.0839452551,3,2015_Mar_03_1245,,
Go,2,invertedTriangle,blue,0,0,0,5,0,0,0,3,5,7,47,7,LearningTask,,,60.0839452551,3,2015_Mar_03_1245,,
Go,2,invertedTriangle,green,0,0,0,5,0,0,0,3,6,0,48,4,LearningTask,,,60.0839452551,3,2015_Mar_03_1245,,
Go,2,invertedTriangle,gray,0,0,0,5,0,0,0,3,6,1,49,5,LearningTask,,,60.0839452551,3,2015_Mar_03_1245,,
Go,2,invertedTriangle,white,0,0,0,5,0,0,0,3,6,2,50,1,LearningTask,,,60.0839452551,3,2015_Mar_03_1245,,
Go,2,invertedTriangle,magenta,0,0,0,5,0,0,0,3,6,3,51,3,LearningTask,,,60.0839452551,3,2015_Mar_03_1245,,
Go,2,invertedTriangle,orange,0,0,0,5,0,0,0,3,6,4,52,2,LearningTask,,,60.0839452551,3,2015_Mar_03_1245,,
Go,2,invertedTriangle,blue,0,0,0,5,0,0,0,3,6,5,53,7,LearningTask,,,60.0839452551,3,2015_Mar_03_1245,,
Go,2,invertedTriangle,cyan,0,0,0,5,0,0,0,3,6,6,54,6,LearningTask,,,60.0839452551,3,2015_Mar_03_1245,,
Go,2,invertedTriangle,yellow,0,0,0,5,0,0,0,3,6,7,55,0,LearningTask,,,60.0839452551,3,2015_Mar_03_1245,,
Go,2,invertedTriangle,magenta,0,0,0,5,0,0,0,3,7,0,56,3,LearningTask,,,60.0839452551,3,2015_Mar_03_1245,,
Go,2,invertedTriangle,green,0,0,0,5,0,0,0,3,7,1,57,4,LearningTask,,,60.0839452551,3,2015_Mar_03_1245,,
Go,2,invertedTriangle,blue,0,0,0,5,0,0,0,3,7,2,58,7,LearningTask,,,60.0839452551,3,2015_Mar_03_1245,,
Go,2,invertedTriangle,yellow,0,0,0,5,0,0,0,3,7,3,59,0,LearningTask,,,60.0839452551,3,2015_Mar_03_1245,,
Go,2,invertedTriangle,cyan,0,0,0,5,0,0,0,3,7,4,60,6,LearningTask,,,60.0839452551,3,2015_Mar_03_1245,,
Go,2,invertedTriangle,gray,0,0,0,5,0,0,0,3,7,5,61,5,LearningTask,,,60.0839452551,3,2015_Mar_03_1245,,
Go,2,invertedTriangle,white,0,0,0,5,0,0,0,3,7,6,62,1,LearningTask,,,60.0839452551,3,2015_Mar_03_1245,,
Go,2,invertedTriangle,orange,0,0,0,5,0,0,0,3,7,7,63,2,LearningTask,,,60.0839452551,3,2015_Mar_03_1245,,
Go,2,invertedTriangle,,0,0,0,5,0,0,0,3,,,,,LearningTask,,,60.0839452551,3,2015_Mar_03_1245,,
Go,2,circle,white,0,0,0,5,0,1,1,7,0,0,0,1,LearningTask,,,60.0839452551,3,2015_Mar_03_1245,,
Go,2,circle,yellow,0,0,0,5,0,1,1,7,0,1,1,0,LearningTask,,,60.0839452551,3,2015_Mar_03_1245,,
Go,2,circle,orange,0,0,0,5,0,1,1,7,0,2,2,2,LearningTask,,,60.0839452551,3,2015_Mar_03_1245,,
Go,2,circle,cyan,0,0,0,5,0,1,1,7,0,3,3,6,LearningTask,,,60.0839452551,3,2015_Mar_03_1245,,
Go,2,circle,magenta,0,0,0,5,0,1,1,7,0,4,4,3,LearningTask,,,60.0839452551,3,2015_Mar_03_1245,,
Go,2,circle,gray,0,0,0,5,0,1,1,7,0,5,5,5,LearningTask,,,60.0839452551,3,2015_Mar_03_1245,,
Go,2,circle,green,0,0,0,5,0,1,1,7,0,6,6,4,LearningTask,,,60.0839452551,3,2015_Mar_03_1245,,
Go,2,circle,blue,0,0,0,5,0,1,1,7,0,7,7,7,LearningTask,,,60.0839452551,3,2015_Mar_03_1245,,
Go,2,circle,orange,0,0,0,5,0,1,1,7,1,0,8,2,LearningTask,,,60.0839452551,3,2015_Mar_03_1245,,
