xPos,corrAns,yPos,corrGoResp,yPosGoStim,xPosGoStim,pracTrials.thisRepN,pracTrials.thisTrialN,pracTrials.thisN,pracTrials.thisIndex,ReDoLoopPrac.thisRepN,ReDoLoopPrac.thisTrialN,ReDoLoopPrac.thisN,ReDoLoopPrac.thisIndex,ReDoLoopPrac.thisTrial,pracStopTrials.thisRepN,pracStopTrials.thisTrialN,pracStopTrials.thisN,pracStopTrials.thisIndex,Blocks.thisRepN,Blocks.thisTrialN,Blocks.thisN,Blocks.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,ReDoLoopMain.thisRepN,ReDoLoopMain.thisTrialN,ReDoLoopMain.thisN,ReDoLoopMain.thisIndex,ReDoLoopMain.thisTrial,StopBlocks.thisRepN,StopBlocks.thisTrialN,StopBlocks.thisN,StopBlocks.thisIndex,StopBlocks.thisTrial,StopTrials.thisRepN,StopTrials.thisTrialN,StopTrials.thisN,StopTrials.thisIndex,ok1.keys,ok1.rt,resp.keys,resp.corr,resp.rt,beginningSSD,trialType,goStim,goResp.keys,goResp.corr,goResp.rt,goTrailCountOutput,goCumRTOutput,goRTCountOutput,stopTrialCountOutput,stopSuccessCountOutput,omissionCountOutput,commissionCountOutput,key_resp_3.keys,key_resp_3.rt,computedRewardOutput,expName,gender (m/f),age,frameRate,session,date,participant,
-200,a,-200,,,,,,,,,,,,,,,,,0,0,0,0,11,3,47,3,,,,,,,,,,,,,,,,,a,1,0.417536020279,,,,,,,,,,,,,,,,0.57,LearningTask,,,59.9197413666,3,2015_Apr_10_1414,2,
200,s,-200,,,,,,,,,,,,,,,,,0,0,0,0,12,0,48,2,,,,,,,,,,,,,,,,,s,1,0.333977937698,,,,,,,,,,,,,,,,3.99,LearningTask,,,59.9197413666,3,2015_Apr_10_1414,2,
200,w,200,,,,,,,,,,,,,,,,,0,0,0,0,12,1,49,0,,,,,,,,,,,,,,,,,w,1,0.267424821854,,,,,,,,,,,,,,,,0.4,LearningTask,,,59.9197413666,3,2015_Apr_10_1414,2,
-200,a,-200,,,,,,,,,,,,,,,,,0,0,0,0,12,2,50,3,,,,,,,,,,,,,,,,,a,1,0.333945035934,,,,,,,,,,,,,,,,0.32,LearningTask,,,59.9197413666,3,2015_Apr_10_1414,2,
-200,a,-200,,,,,,,,,,,,,,,,,0,0,0,0,12,3,51,3,,,,,,,,,,,,,,,,,a,1,0.350700855255,,,,,,,,,,,,,,,,2.25,LearningTask,,,59.9197413666,3,2015_Apr_10_1414,2,
200,s,-200,,,,,,,,,,,,,,,,,0,0,0,0,13,0,52,2,,,,,,,,,,,,,,,,,s,1,0.350763082504,,,,,,,,,,,,,,,,4.11,LearningTask,,,59.9197413666,3,2015_Apr_10_1414,2,
-200,q,200,,,,,,,,,,,,,,,,,0,0,0,0,13,1,53,1,,,,,,,,,,,,,,,,,q,1,0.300868988037,,,,,,,,,,,,,,,,0.79,LearningTask,,,59.9197413666,3,2015_Apr_10_1414,2,
200,s,-200,,,,,,,,,,,,,,,,,0,0,0,0,13,2,54,2,,,,,,,,,,,,,,,,,s,1,0.350627183914,,,,,,,,,,,,,,,,4.09,LearningTask,,,59.9197413666,3,2015_Apr_10_1414,2,
200,s,-200,,,,,,,,,,,,,,,,,0,0,0,0,13,3,55,2,,,,,,,,,,,,,,,,,s,1,0.350743055344,,,,,,,,,,,,,,,,4.0,LearningTask,,,59.9197413666,3,2015_Apr_10_1414,2,
200,s,-200,,,,,,,,,,,,,,,,,0,0,0,0,14,0,56,2,,,,,,,,,,,,,,,,,s,1,0.367658853531,,,,,,,,,,,,,,,,1.09,LearningTask,,,59.9197413666,3,2015_Apr_10_1414,2,
-200,a,-200,,,,,,,,,,,,,,,,,0,0,0,0,14,1,57,3,,,,,,,,,,,,,,,,,a,1,0.300676107407,,,,,,,,,,,,,,,,4.09,LearningTask,,,59.9197413666,3,2015_Apr_10_1414,2,
200,s,-200,,,,,,,,,,,,,,,,,0,0,0,0,14,2,58,2,,,,,,,,,,,,,,,,,s,1,0.284598112106,,,,,,,,,,,,,,,,1.21,LearningTask,,,59.9197413666,3,2015_Apr_10_1414,2,
