xPos,corrAns,yPos,corrGoResp,yPosGoStim,xPosGoStim,pracTrials.thisRepN,pracTrials.thisTrialN,pracTrials.thisN,pracTrials.thisIndex,ReDoLoopPrac.thisRepN,ReDoLoopPrac.thisTrialN,ReDoLoopPrac.thisN,ReDoLoopPrac.thisIndex,ReDoLoopPrac.thisTrial,pracStopTrials.thisRepN,pracStopTrials.thisTrialN,pracStopTrials.thisN,pracStopTrials.thisIndex,Blocks.thisRepN,Blocks.thisTrialN,Blocks.thisN,Blocks.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,ReDoLoopMain.thisRepN,ReDoLoopMain.thisTrialN,ReDoLoopMain.thisN,ReDoLoopMain.thisIndex,ReDoLoopMain.thisTrial,StopBlocks.thisRepN,StopBlocks.thisTrialN,StopBlocks.thisN,StopBlocks.thisIndex,StopTrials.thisRepN,StopTrials.thisTrialN,StopTrials.thisN,StopTrials.thisIndex,auctionBlocks.thisRepN,auctionBlocks.thisTrialN,auctionBlocks.thisN,auctionBlocks.thisIndex,auctionTrials.thisRepN,auctionTrials.thisTrialN,auctionTrials.thisN,auctionTrials.thisIndex,learningTrialList,learningPracTrialList,stopTrialList,stopPracTrialList,auctionTrialList,ok1.keys,ok1.rt,resp.keys,resp.corr,resp.rt,feedbackResp.keys,feedbackResp.corr,currentReward,currentStimulus,currentStimType,firstPracComputedRewardOutput,firstPracLearningStimOnset,firstPracLearningFixOnset,firstPracPresentationRT,firstPracPresentationAcc,firstPracPresentationResp,firstPracEndTrialTimeStamp,StartTrialTimeStamp,trialType,goStim,stimType,stopStimValue,goResp.keys,goResp.corr,goResp.rt,key_resp_9.keys,key_resp_9.corr,fixStopOnset,goStimOnset,EndTrialTimeStamp,stopSignalOnset,key_resp_3.keys,key_resp_3.rt,firstComputedRewardOutput,firstLearningStimOnset,firstLearningFixOnset,firstPresentationRT,firstPresentationAcc,firstPresentationResp,firstEndTrialTimeStamp,key_resp_7.keys,key_resp_7.rt,secondComputedRewardOutput,secondLearningStimOnset,secondLearningFixOnset,secondPresentationRT,secondPresentationAcc,secondPresentationResp,secondEndTrialTimeStamp,beginningSSD,EndingSSD,key_resp_9.rt,key_resp_4.keys,key_resp_4.rt,auctionResponse.keys,auctionResponse.rt,auctionStimDuration,auctionStim,auctionAmounts,auctionStimValue,auctionCondition,key_resp_5.keys,key_resp_5.rt,shuffledRewardList,chosenReward1,chosenReward2,chosenReward3,chosenReward4,chosenReward5,key_resp_6.keys,key_resp_6.rt,date,frameRate,expName,session,participant,
200,s,-200,,,,,,,,,,,,,,,,,1,0,1,0,14,1,57,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s,1,0.351073980331,None,0,1.0,circlewhite.gif,go,,,,,,,,,,,,,,,,,,,,,,,,0,0.514144182205,0.000879049301147,0.351073980331,1,s,700.678907871,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015_Jun_18_1102,60.1511557535,LearningTask,1,22,
-200,q,200,,,,,,,,,,,,,,,,,1,0,1,0,14,2,58,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,q,1,0.30064201355,None,0,1.0,circlewhite.gif,go,,,,,,,,,,,,,,,,,,,,,,,,1.19,0.513875007629,0.000892162322998,0.30064201355,1,q,703.681952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015_Jun_18_1102,60.1511557535,LearningTask,1,22,
200,w,200,,,,,,,,,,,,,,,,,1,0,1,0,14,3,59,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,w,1,0.334317922592,None,0,4.0,diamondcyan.gif,stop,,,,,,,,,,,,,,,,,,,,,,,,3.96,0.514018058777,0.00107789039612,0.334317922592,1,w,706.685637951,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015_Jun_18_1102,60.1511557535,LearningTask,1,22,
-200,a,-200,,,,,,,,,,,,,,,,,1,0,1,0,15,0,60,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,a,1,0.301276922226,None,0,0.5,hexagonmagenta.gif,go,,,,,,,,,,,,,,,,,,,,,,,,0,0.513879060745,0.000880002975464,0.301276922226,1,a,709.688699007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015_Jun_18_1102,60.1511557535,LearningTask,1,22,
-200,a,-200,,,,,,,,,,,,,,,,,1,0,1,0,15,1,61,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,a,1,0.383968114853,None,0,2.0,lineblue.gif,stop,,,,,,,,,,,,,,,,,,,,,,,,0,0.514534950256,0.00089693069458,0.383968114853,1,a,712.692021847,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015_Jun_18_1102,60.1511557535,LearningTask,1,22,
200,s,-200,,,,,,,,,,,,,,,,,1,0,1,0,15,2,62,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s,1,0.350672960281,None,0,2.0,lineblue.gif,stop,,,,,,,,,,,,,,,,,,,,,,,,1.93,0.514227151871,0.00104713439941,0.350672960281,1,s,715.695138931,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015_Jun_18_1102,60.1511557535,LearningTask,1,22,
200,w,200,,,,,,,,,,,,,,,,,1,0,1,0,15,3,63,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,w,1,0.317680120468,None,0,0.5,invertedtrianglegreen.gif,stop,,,,,,,,,,,,,,,,,,,,,,,,0.38,0.514369010925,0.000869989395142,0.317680120468,1,w,718.699007988,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015_Jun_18_1102,60.1511557535,LearningTask,1,22,
200,w,200,,,,,,,,,,,,,,,,,1,0,1,0,16,0,64,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,w,1,0.350296974182,None,0,2.0,triangleyellow.gif,go,,,,,,,,,,,,,,,,,,,,,,,,1.85,0.514312982559,0.000870943069458,0.350296974182,1,w,721.702078819,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015_Jun_18_1102,60.1511557535,LearningTask,1,22,
-200,q,200,,,,,,,,,,,,,,,,,1,0,1,0,16,1,65,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,q,1,0.351302146912,None,0,4.0,squareorange.gif,go,,,,,,,,,,,,,,,,,,,,,,,,1.85,0.514317989349,0.000991106033325,0.317100048065,0,a,724.705397844,,,3.9,0.51554608345,0.000933170318604,0.351302146912,1,q,727.708971977,,,,,,,,,,,,,,,,,,,,,,,2015_Jun_18_1102,60.1511557535,LearningTask,1,22,
200,s,-200,,,,,,,,,,,,,,,,,1,0,1,0,16,2,66,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s,1,0.38428401947,None,0,2.0,lineblue.gif,stop,,,,,,,,,,,,,,,,,,,,,,,,2.22,0.514086008072,0.000874042510986,0.38428401947,1,s,730.712080956,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015_Jun_18_1102,60.1511557535,LearningTask,1,22,
