xPos,corrAns,yPos,practiceTrials.thisRepN,practiceTrials.thisTrialN,practiceTrials.thisN,practiceTrials.thisIndex,ok1.keys,ok1.rt,resp.keys,resp.corr,expName,gender (m/f),age,frameRate,session,date,participant,
,,,,,,,space,0.391232967377,,,LearningTask,,,59.9534872419,3,2015_Mar_05_1444,85,
-200,g,-200,0,0,0,3,,,None,0,LearningTask,,,59.9534872419,3,2015_Mar_05_1444,85,
