xPos,corrAns,yPos,practiceTrials.thisRepN,practiceTrials.thisTrialN,practiceTrials.thisN,practiceTrials.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,ok1.keys,ok1.rt,resp.keys,resp.corr,resp.rt,expName,gender (m/f),age,frameRate,session,date,participant,
,,,,,,,,,,,space,3.43201994896,,,,LearningTask,,,59.9858126816,3,2015_Mar_18_1136,555,
200,y,200,0,0,0,0,,,,,,,y,1,0.301030874252,LearningTask,,,59.9858126816,3,2015_Mar_18_1136,555,
-200,t,200,0,1,1,1,,,,,,,t,1,0.334517002106,LearningTask,,,59.9858126816,3,2015_Mar_18_1136,555,
-200,g,-200,0,2,2,3,,,,,,,g,1,0.351049184799,LearningTask,,,59.9858126816,3,2015_Mar_18_1136,555,
200,h,-200,0,3,3,2,,,,,,,h,1,0.417865991592,LearningTask,,,59.9858126816,3,2015_Mar_18_1136,555,
200,y,200,,,,,0,0,0,0,,,y,1,0.384557962418,LearningTask,,,59.9858126816,3,2015_Mar_18_1136,555,
-200,g,-200,,,,,0,1,1,3,,,g,1,0.517747879028,LearningTask,,,59.9858126816,3,2015_Mar_18_1136,555,
200,h,-200,,,,,0,2,2,2,,,h,1,0.500921964645,LearningTask,,,59.9858126816,3,2015_Mar_18_1136,555,
-200,t,200,,,,,0,3,3,1,,,t,1,0.501250982285,LearningTask,,,59.9858126816,3,2015_Mar_18_1136,555,
-200,g,-200,,,,,1,0,4,3,,,g,1,0.501331090927,LearningTask,,,59.9858126816,3,2015_Mar_18_1136,555,
-200,t,200,,,,,1,1,5,1,,,t,1,0.41801905632,LearningTask,,,59.9858126816,3,2015_Mar_18_1136,555,
200,y,200,,,,,1,2,6,0,,,y,1,0.317756175995,LearningTask,,,59.9858126816,3,2015_Mar_18_1136,555,
200,h,-200,,,,,1,3,7,2,,,h,1,0.501277923584,LearningTask,,,59.9858126816,3,2015_Mar_18_1136,555,
-200,g,-200,,,,,2,0,8,3,,,g,1,0.467751979828,LearningTask,,,59.9858126816,3,2015_Mar_18_1136,555,
200,y,200,,,,,2,1,9,0,,,y,1,0.217761039734,LearningTask,,,59.9858126816,3,2015_Mar_18_1136,555,
-200,t,200,,,,,2,2,10,1,,,t,1,0.501247882843,LearningTask,,,59.9858126816,3,2015_Mar_18_1136,555,
200,h,-200,,,,,2,3,11,2,,,h,1,0.45077586174,LearningTask,,,59.9858126816,3,2015_Mar_18_1136,555,
200,h,-200,,,,,3,0,12,2,,,h,1,0.401258945465,LearningTask,,,59.9858126816,3,2015_Mar_18_1136,555,
-200,g,-200,,,,,3,1,13,3,,,g,1,0.401179075241,LearningTask,,,59.9858126816,3,2015_Mar_18_1136,555,
200,y,200,,,,,3,2,14,0,,,y,1,0.368039131165,LearningTask,,,59.9858126816,3,2015_Mar_18_1136,555,
-200,t,200,,,,,3,3,15,1,,,t,1,0.334448814392,LearningTask,,,59.9858126816,3,2015_Mar_18_1136,555,
-200,t,200,,,,,4,0,16,1,,,t,1,0.434413194656,LearningTask,,,59.9858126816,3,2015_Mar_18_1136,555,
-200,g,-200,,,,,4,1,17,3,,,g,1,0.501075983047,LearningTask,,,59.9858126816,3,2015_Mar_18_1136,555,
200,y,200,,,,,4,2,18,0,,,y,1,0.384348154068,LearningTask,,,59.9858126816,3,2015_Mar_18_1136,555,
200,h,-200,,,,,4,3,19,2,,,h,1,0.467714071274,LearningTask,,,59.9858126816,3,2015_Mar_18_1136,555,
200,h,-200,,,,,5,0,20,2,,,h,1,0.418413162231,LearningTask,,,59.9858126816,3,2015_Mar_18_1136,555,
200,y,200,,,,,5,1,21,0,,,y,1,0.467756032944,LearningTask,,,59.9858126816,3,2015_Mar_18_1136,555,
-200,g,-200,,,,,5,2,22,3,,,g,1,0.584764003754,LearningTask,,,59.9858126816,3,2015_Mar_18_1136,555,
-200,t,200,,,,,5,3,23,1,,,t,1,0.451048135757,LearningTask,,,59.9858126816,3,2015_Mar_18_1136,555,
-200,t,200,,,,,6,0,24,1,,,t,1,0.384531021118,LearningTask,,,59.9858126816,3,2015_Mar_18_1136,555,
