corrGoResp,yPosGoStim,xPosGoStim,Blocks.thisRepN,Blocks.thisTrialN,Blocks.thisN,Blocks.thisIndex,StopBlocks.thisRepN,StopBlocks.thisTrialN,StopBlocks.thisN,StopBlocks.thisIndex,StopBlocks.thisTrial,StopTrials.thisRepN,StopTrials.thisTrialN,StopTrials.thisN,StopTrials.thisIndex,ok1.keys,ok1.rt,goResp.keys,goResp.corr,expName,gender (m/f),age,frameRate,session,date,participant,
,,,,,,,,,,,,,,,,space,1.93741893768,,,LearningTask,,,60.9069747517,3,2015_Mar_31_1004,3007,
z,0,-200,,,,,0,0,0,0,None,0,0,0,0,,,None,0,LearningTask,,,60.9069747517,3,2015_Mar_31_1004,3007,
