Color,Shape,StopOrGo,Amount,ColorLoop.thisRepN,ColorLoop.thisTrialN,ColorLoop.thisN,ColorLoop.thisIndex,ShapeLoop.thisRepN,ShapeLoop.thisTrialN,ShapeLoop.thisN,ShapeLoop.thisIndex,RewardAmountLoop.thisRepN,RewardAmountLoop.thisTrialN,RewardAmountLoop.thisN,RewardAmountLoop.thisIndex,ok1.keys,ok1.rt,expName,gender (m/f),age,frameRate,session,date,participant,
white,,,,0,0,0,1,,,,,,,,,,,LearningTask,,,60.1030591014,3,2015_Mar_04_1206,790,
orange,,,,0,1,1,2,,,,,,,,,,,LearningTask,,,60.1030591014,3,2015_Mar_04_1206,790,
cyan,,,,0,2,2,6,,,,,,,,,,,LearningTask,,,60.1030591014,3,2015_Mar_04_1206,790,
magenta,,,,0,3,3,3,,,,,,,,,,,LearningTask,,,60.1030591014,3,2015_Mar_04_1206,790,
gray,,,,0,4,4,5,,,,,,,,,,,LearningTask,,,60.1030591014,3,2015_Mar_04_1206,790,
green,,,,0,5,5,4,,,,,,,,,,,LearningTask,,,60.1030591014,3,2015_Mar_04_1206,790,
blue,,,,0,6,6,7,,,,,,,,,,,LearningTask,,,60.1030591014,3,2015_Mar_04_1206,790,
yellow,,,,0,7,7,0,,,,,,,,,,,LearningTask,,,60.1030591014,3,2015_Mar_04_1206,790,
,invertedTriangle,,,,,,,0,0,0,3,,,,,,,LearningTask,,,60.1030591014,3,2015_Mar_04_1206,790,
,circle,,,,,,,0,1,1,7,,,,,,,LearningTask,,,60.1030591014,3,2015_Mar_04_1206,790,
,cross,,,,,,,0,2,2,6,,,,,,,LearningTask,,,60.1030591014,3,2015_Mar_04_1206,790,
,square,,,,,,,0,3,3,1,,,,,,,LearningTask,,,60.1030591014,3,2015_Mar_04_1206,790,
,hexagon,,,,,,,0,4,4,4,,,,,,,LearningTask,,,60.1030591014,3,2015_Mar_04_1206,790,
,line,,,,,,,0,5,5,2,,,,,,,LearningTask,,,60.1030591014,3,2015_Mar_04_1206,790,
,diamond,,,,,,,0,6,6,5,,,,,,,LearningTask,,,60.1030591014,3,2015_Mar_04_1206,790,
,triangle,,,,,,,0,7,7,0,,,,,,,LearningTask,,,60.1030591014,3,2015_Mar_04_1206,790,
,,Stop,2,,,,,,,,,0,0,0,4,,,LearningTask,,,60.1030591014,3,2015_Mar_04_1206,790,
,,Stop,0.5,,,,,,,,,0,1,1,0,,,LearningTask,,,60.1030591014,3,2015_Mar_04_1206,790,
,,Go,2,,,,,,,,,0,2,2,5,,,LearningTask,,,60.1030591014,3,2015_Mar_04_1206,790,
,,Stop,1,,,,,,,,,0,3,3,2,,,LearningTask,,,60.1030591014,3,2015_Mar_04_1206,790,
,,Stop,4,,,,,,,,,0,4,4,6,,,LearningTask,,,60.1030591014,3,2015_Mar_04_1206,790,
,,Go,4,,,,,,,,,0,5,5,7,,,LearningTask,,,60.1030591014,3,2015_Mar_04_1206,790,
,,Go,0.5,,,,,,,,,0,6,6,1,,,LearningTask,,,60.1030591014,3,2015_Mar_04_1206,790,
,,Go,1,,,,,,,,,0,7,7,3,,,LearningTask,,,60.1030591014,3,2015_Mar_04_1206,790,
,,,,,,,,,,,,,,,,space,0.436002969742,LearningTask,,,60.1030591014,3,2015_Mar_04_1206,790,
