xPos,corrAns,yPos,practiceTrials.thisRepN,practiceTrials.thisTrialN,practiceTrials.thisN,practiceTrials.thisIndex,ok1.keys,ok1.rt,resp.keys,resp.corr,resp.rt,expName,gender (m/f),age,frameRate,session,date,participant,
,,,,,,,space,0.411268949509,,,,LearningTask,,,59.7893128291,3,2015_Mar_18_1246,604,
200,y,200,0,0,0,0,,,None,0,,LearningTask,,,59.7893128291,3,2015_Mar_18_1246,604,
200,h,-200,0,1,1,2,,,None,0,,LearningTask,,,59.7893128291,3,2015_Mar_18_1246,604,
