xPos,corrAns,yPos,Blocks.thisRepN,Blocks.thisTrialN,Blocks.thisN,Blocks.thisIndex,Blocks.thisTrial,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,ReDoLoopMain.thisRepN,ReDoLoopMain.thisTrialN,ReDoLoopMain.thisN,ReDoLoopMain.thisIndex,ReDoLoopMain.thisTrial,ok1.keys,ok1.rt,resp.keys,resp.corr,resp.rt,expName,gender (m/f),age,frameRate,session,date,participant,
,,,,,,,,,,,,,,,,,space,0.410654067993,,,,LearningTask,,,59.9855553124,3,2015_Mar_24_1317,9996,
-200,t,200,0,0,0,0,None,0,0,0,1,,,,,,,,t,1,0.417544841766,LearningTask,,,59.9855553124,3,2015_Mar_24_1317,9996,
200,y,200,0,0,0,0,None,0,1,1,0,,,,,,,,y,1,0.350847959518,LearningTask,,,59.9855553124,3,2015_Mar_24_1317,9996,
-200,t,200,0,0,0,0,None,0,2,2,1,,,,,,,,t,1,0.434268951416,LearningTask,,,59.9855553124,3,2015_Mar_24_1317,9996,
-200,g,-200,0,0,0,0,None,0,3,3,3,,,,,,,,g,1,0.400964975357,LearningTask,,,59.9855553124,3,2015_Mar_24_1317,9996,
200,h,-200,0,0,0,0,None,1,0,4,2,,,,,,,,h,1,0.317555904388,LearningTask,,,59.9855553124,3,2015_Mar_24_1317,9996,
-200,g,-200,0,0,0,0,None,1,1,5,3,,,,,,,,g,1,0.417464017868,LearningTask,,,59.9855553124,3,2015_Mar_24_1317,9996,
-200,g,-200,0,0,0,0,None,1,2,6,3,,,,,,,,g,1,0.484209060669,LearningTask,,,59.9855553124,3,2015_Mar_24_1317,9996,
-200,g,-200,0,0,0,0,None,1,3,7,3,,,,,,,,g,1,0.400902986526,LearningTask,,,59.9855553124,3,2015_Mar_24_1317,9996,
-200,t,200,0,0,0,0,None,2,0,8,1,,,,,,,,t,1,0.434199094772,LearningTask,,,59.9855553124,3,2015_Mar_24_1317,9996,
-200,g,-200,0,0,0,0,None,2,1,9,3,,,,,,,,g,1,0.400904893875,LearningTask,,,59.9855553124,3,2015_Mar_24_1317,9996,
-200,g,-200,0,0,0,0,None,2,2,10,3,,,,,,,,g,1,0.400887012482,LearningTask,,,59.9855553124,3,2015_Mar_24_1317,9996,
-200,t,200,0,0,0,0,None,2,3,11,1,,,,,,,,t,1,0.400932073593,LearningTask,,,59.9855553124,3,2015_Mar_24_1317,9996,
-200,g,-200,0,0,0,0,None,3,0,12,3,,,,,,,,g,1,0.417469024658,LearningTask,,,59.9855553124,3,2015_Mar_24_1317,9996,
200,y,200,0,0,0,0,None,3,1,13,0,,,,,,,,y,1,0.434071063995,LearningTask,,,59.9855553124,3,2015_Mar_24_1317,9996,
-200,g,-200,0,0,0,0,None,3,2,14,3,,,,,,,,g,1,0.367506980896,LearningTask,,,59.9855553124,3,2015_Mar_24_1317,9996,
200,h,-200,0,0,0,0,None,3,3,15,2,,,,,,,,h,1,0.267560958862,LearningTask,,,59.9855553124,3,2015_Mar_24_1317,9996,
200,y,200,0,0,0,0,None,4,0,16,0,,,,,,,,y,1,0.317674875259,LearningTask,,,59.9855553124,3,2015_Mar_24_1317,9996,
200,y,200,0,0,0,0,None,4,1,17,0,,,,,,,,y,1,0.317568063736,LearningTask,,,59.9855553124,3,2015_Mar_24_1317,9996,
-200,t,200,0,0,0,0,None,4,2,18,1,,,,,,,,t,1,0.367491960526,LearningTask,,,59.9855553124,3,2015_Mar_24_1317,9996,
-200,t,200,0,0,0,0,None,4,3,19,1,,,,,,,,t,1,0.484052181244,LearningTask,,,59.9855553124,3,2015_Mar_24_1317,9996,
200,h,-200,0,0,0,0,None,5,0,20,2,,,,,,,,h,1,0.384463071823,LearningTask,,,59.9855553124,3,2015_Mar_24_1317,9996,
200,y,200,0,0,0,0,None,5,1,21,0,,,,,,,,y,1,0.400895118713,LearningTask,,,59.9855553124,3,2015_Mar_24_1317,9996,
-200,g,-200,0,0,0,0,None,5,2,22,3,,,,,,,,g,1,0.46790599823,LearningTask,,,59.9855553124,3,2015_Mar_24_1317,9996,
200,h,-200,0,0,0,0,None,5,3,23,2,,,,,,,,h,1,0.284251928329,LearningTask,,,59.9855553124,3,2015_Mar_24_1317,9996,
-200,t,200,0,0,0,0,None,6,0,24,1,,,,,,,,t,1,0.300897121429,LearningTask,,,59.9855553124,3,2015_Mar_24_1317,9996,
-200,g,-200,0,0,0,0,None,6,1,25,3,,,,,,,,g,1,0.41751408577,LearningTask,,,59.9855553124,3,2015_Mar_24_1317,9996,
-200,t,200,0,0,0,0,None,6,2,26,1,,,,,,,,t,1,0.367444992065,LearningTask,,,59.9855553124,3,2015_Mar_24_1317,9996,
200,y,200,0,0,0,0,None,6,3,27,0,,,,,,,,y,1,0.250930070877,LearningTask,,,59.9855553124,3,2015_Mar_24_1317,9996,
200,h,-200,0,0,0,0,None,7,0,28,2,,,,,,,,h,1,0.284299135208,LearningTask,,,59.9855553124,3,2015_Mar_24_1317,9996,
200,y,200,0,0,0,0,None,7,1,29,0,,,,,,,,y,1,0.384181976318,LearningTask,,,59.9855553124,3,2015_Mar_24_1317,9996,
200,h,-200,0,0,0,0,None,7,2,30,2,,,,,,,,h,1,0.301035165787,LearningTask,,,59.9855553124,3,2015_Mar_24_1317,9996,
200,y,200,0,0,0,0,None,7,3,31,0,,,,,,,,y,1,0.384413003922,LearningTask,,,59.9855553124,3,2015_Mar_24_1317,9996,
200,h,-200,0,0,0,0,None,8,0,32,2,,,,,,,,h,1,0.334565162659,LearningTask,,,59.9855553124,3,2015_Mar_24_1317,9996,
-200,g,-200,0,0,0,0,None,8,1,33,3,,,,,,,,g,1,0.351130962372,LearningTask,,,59.9855553124,3,2015_Mar_24_1317,9996,
-200,t,200,0,0,0,0,None,8,2,34,1,,,,,,,,t,1,0.400943040848,LearningTask,,,59.9855553124,3,2015_Mar_24_1317,9996,
200,h,-200,0,0,0,0,None,8,3,35,2,,,,,,,,h,1,0.384158849716,LearningTask,,,59.9855553124,3,2015_Mar_24_1317,9996,
200,h,-200,0,0,0,0,None,9,0,36,2,,,,,,,,h,1,0.467575073242,LearningTask,,,59.9855553124,3,2015_Mar_24_1317,9996,
