color,congruent,word,corrAns,n,resp.corr_mean,resp.corr_raw,,,,,resp.corr_std,resp.keys_raw,,,,,resp.rt_mean,resp.rt_raw,,,,,resp.rt_std,order,,,,
red,1,red,left,5.0,0.8,1.0, 1.0, 0.0, 1.0, 1.0,0.4472135955,'left', 'left', 'down', 'left', 'left',0.486028957367,0.5489339828491211, 0.4773991107940674, 0.5197138786315918, 0.4516408443450928, 0.43245697021484375,0.0480070060721,5.0, 11.0, 13.0, 19.0, 27.0
green,0,red,down,5.0,1.0,1.0, 1.0, 1.0, 1.0, 1.0,0.0,'down', 'down', 'down', 'down', 'down',0.536897802353,0.4535820484161377, 0.51767897605896, 0.45899510383605957, 0.8212039470672607, 0.4330289363861084,0.162017309117,2.0, 8.0, 14.0, 20.0, 28.0
green,1,green,down,5.0,1.0,1.0, 1.0, 1.0, 1.0, 1.0,0.0,'down', 'down', 'down', 'down', 'down',0.547336673737,0.8510141372680664, 0.38103199005126953, 0.5506360530853271, 0.4863731861114502, 0.46762800216674805,0.180248546959,0.0, 6.0, 15.0, 23.0, 25.0
blue,0,green,right,5.0,1.0,1.0, 1.0, 1.0, 1.0, 1.0,0.0,'right', 'right', 'right', 'right', 'right',0.523602056503,0.5674550533294678, 0.4958531856536865, 0.534214973449707, 0.4520390033721924, 0.5684480667114258,0.0498451461408,1.0, 10.0, 12.0, 21.0, 29.0
blue,1,blue,right,5.0,1.0,1.0, 1.0, 1.0, 1.0, 1.0,0.0,'right', 'right', 'right', 'right', 'right',0.434368419647,0.5002341270446777, 0.4031100273132324, 0.5511651039123535, 0.36711883544921875, 0.35021400451660156,0.087408975681,3.0, 9.0, 16.0, 22.0, 24.0
red,0,blue,left,5.0,1.0,1.0, 1.0, 1.0, 1.0, 1.0,0.0,'left', 'left', 'left', 'left', 'left',0.55656080246,0.4351389408111572, 0.7305212020874023, 0.7656128406524658, 0.48351001739501953, 0.36802101135253906,0.179994384514,4.0, 7.0, 17.0, 18.0, 26.0

extraInfo
date,2014_Dec_02_1326
frameRate,59.5645598095
expName,stroopTest
session,001
participant,2
