corrGoResp,yPosGoStim,xPosGoStim,Blocks.thisRepN,Blocks.thisTrialN,Blocks.thisN,Blocks.thisIndex,StopBlocks.thisRepN,StopBlocks.thisTrialN,StopBlocks.thisN,StopBlocks.thisIndex,StopBlocks.thisTrial,StopTrials.thisRepN,StopTrials.thisTrialN,StopTrials.thisN,StopTrials.thisIndex,ok1.keys,ok1.rt,goResp.keys,goResp.corr,goResp.rt,expName,gender (m/f),age,frameRate,session,date,participant,
,,,,,,,,,,,,,,,,space,3.38568687439,,,,LearningTask,,,59.9833248718,3,2015_Mar_31_0943,3002,
z,0,-200,,,,,0,0,0,0,None,0,0,0,0,,,z,1,0.446557998657,LearningTask,,,59.9833248718,3,2015_Mar_31_0943,3002,
z,0,-200,,,,,0,0,0,0,None,0,1,1,0,,,z,1,0.48421216011,LearningTask,,,59.9833248718,3,2015_Mar_31_0943,3002,
m,0,200,,,,,0,0,0,0,None,1,0,2,1,,,m,1,0.417484998703,LearningTask,,,59.9833248718,3,2015_Mar_31_0943,3002,
z,0,-200,,,,,0,0,0,0,None,1,1,3,0,,,z,1,0.367285966873,LearningTask,,,59.9833248718,3,2015_Mar_31_0943,3002,
m,0,200,,,,,0,0,0,0,None,2,0,4,1,,,m,1,0.384098052979,LearningTask,,,59.9833248718,3,2015_Mar_31_0943,3002,
z,0,-200,,,,,0,0,0,0,None,2,1,5,0,,,z,1,0.367506027222,LearningTask,,,59.9833248718,3,2015_Mar_31_0943,3002,
m,0,200,,,,,0,0,0,0,None,3,0,6,1,,,m,1,0.350734949112,LearningTask,,,59.9833248718,3,2015_Mar_31_0943,3002,
m,0,200,,,,,0,0,0,0,None,3,1,7,1,,,m,1,0.450977802277,LearningTask,,,59.9833248718,3,2015_Mar_31_0943,3002,
z,0,-200,,,,,0,0,0,0,None,4,0,8,0,,,z,1,0.384043931961,LearningTask,,,59.9833248718,3,2015_Mar_31_0943,3002,
z,0,-200,,,,,0,0,0,0,None,4,1,9,0,,,z,1,0.417474031448,LearningTask,,,59.9833248718,3,2015_Mar_31_0943,3002,
z,0,-200,,,,,0,0,0,0,None,5,0,10,0,,,z,1,0.534150123596,LearningTask,,,59.9833248718,3,2015_Mar_31_0943,3002,
