corrGoResp,yPosGoStim,xPosGoStim,Blocks.thisRepN,Blocks.thisTrialN,Blocks.thisN,Blocks.thisIndex,StopBlocks.thisRepN,StopBlocks.thisTrialN,StopBlocks.thisN,StopBlocks.thisIndex,StopBlocks.thisTrial,StopTrials.thisRepN,StopTrials.thisTrialN,StopTrials.thisN,StopTrials.thisIndex,ok1.keys,ok1.rt,beginningSSD,trialType,goStim,goResp.keys,goResp.corr,goResp.rt,goTrailCountOutput,goCumRTOutput,goRTCountOutput,stopTrialCountOutput,stopSuccessCountOutput,omissionCountOutput,commissionCountOutput,EndingSSD,expName,gender (m/f),age,frameRate,session,date,participant,
,,,,,,,,,,,,,,,,space,0.655133962631,,,,,,,,,,,,,,,LearningTask,,,59.9592295354,3,2015_Mar_31_1506,3091,
m,0,200,,,,,0,0,0,0,None,0,0,0,1,,,0.25,stop,circlecyan.gif,m,1,0.516787052155,0,0,0,1,0,0,1,0.2,LearningTask,,,59.9592295354,3,2015_Mar_31_1506,3091,
m,0,200,,,,,0,0,0,0,None,0,1,1,1,,,-1,go,triangleyellow.gif,z,0,0.484256982803,1,0,0,1,0,0,2,-1,LearningTask,,,59.9592295354,3,2015_Mar_31_1506,3091,
m,0,200,,,,,0,0,0,0,None,1,0,2,1,,,0.2,stop,linegray.gif,m,1,0.450781106949,1,0,0,2,0,0,3,0.15,LearningTask,,,59.9592295354,3,2015_Mar_31_1506,3091,
z,0,-200,,,,,0,0,0,0,None,1,1,3,0,,,-1,go,diamondwhite.gif,z,1,0.450915813446,2,0.450915813446,1,2,0,0,4,-1,LearningTask,,,59.9592295354,3,2015_Mar_31_1506,3091,
m,0,200,,,,,0,0,0,0,None,2,0,4,1,,,-1,go,squareblue.gif,m,1,0.367438077927,3,0.818353891373,2,2,0,0,5,-1,LearningTask,,,59.9592295354,3,2015_Mar_31_1506,3091,
m,0,200,,,,,0,0,0,0,None,2,1,5,1,,,0.15,stop,crossgreen.gif,None,0,,3,0.818353891373,2,3,1,0,6,0.2,LearningTask,,,59.9592295354,3,2015_Mar_31_1506,3091,
z,0,-200,,,,,0,0,0,0,None,3,0,6,0,,,-1,go,squareblue.gif,z,1,0.584803104401,4,1.40315699577,3,3,1,0,7,-1,LearningTask,,,59.9592295354,3,2015_Mar_31_1506,3091,
m,0,200,,,,,0,0,0,0,None,3,1,7,1,,,0.2,stop,circlecyan.gif,None,0,,4,1.40315699577,3,4,2,0,8,0.25,LearningTask,,,59.9592295354,3,2015_Mar_31_1506,3091,
m,0,200,,,,,0,0,0,0,None,4,0,8,1,,,-1,go,diamondwhite.gif,None,0,,5,1.40315699577,3,4,2,1,9,-1,LearningTask,,,59.9592295354,3,2015_Mar_31_1506,3091,
m,0,200,,,,,0,0,0,0,None,4,1,9,1,,,-1,go,diamondwhite.gif,None,0,,6,1.40315699577,3,4,2,2,10,-1,LearningTask,,,59.9592295354,3,2015_Mar_31_1506,3091,
z,0,-200,,,,,0,0,0,0,None,5,0,10,0,,,0.25,stop,crossgreen.gif,None,0,,6,1.40315699577,3,5,3,2,11,0.3,LearningTask,,,59.9592295354,3,2015_Mar_31_1506,3091,
z,0,-200,,,,,0,0,0,0,None,5,1,11,0,,,0.3,stop,hexagonorange.gif,None,0,,6,1.40315699577,3,6,4,2,12,0.35,LearningTask,,,59.9592295354,3,2015_Mar_31_1506,3091,
z,0,-200,,,,,0,0,0,0,None,6,0,12,0,,,-1,go,hexagonorange.gif,None,0,,7,1.40315699577,3,6,4,3,13,-1,LearningTask,,,59.9592295354,3,2015_Mar_31_1506,3091,
z,0,-200,,,,,0,0,0,0,None,6,1,13,0,,,-1,go,squareblue.gif,None,0,,8,1.40315699577,3,6,4,4,14,-1,LearningTask,,,59.9592295354,3,2015_Mar_31_1506,3091,
m,0,200,,,,,0,0,0,0,None,7,0,14,1,,,-1,go,invertedtrianglemagenta.gif,None,0,,9,1.40315699577,3,6,4,5,15,-1,LearningTask,,,59.9592295354,3,2015_Mar_31_1506,3091,
z,0,-200,,,,,0,0,0,0,None,7,1,15,0,,,-1,go,hexagonorange.gif,None,0,,10,1.40315699577,3,6,4,6,16,-1,LearningTask,,,59.9592295354,3,2015_Mar_31_1506,3091,
z,0,-200,,,,,0,0,0,0,None,8,0,16,0,,,-1,go,diamondwhite.gif,None,0,,11,1.40315699577,3,6,4,7,17,-1,LearningTask,,,59.9592295354,3,2015_Mar_31_1506,3091,
z,0,-200,,,,,0,0,0,0,None,8,1,17,0,,,0.35,stop,circlecyan.gif,None,0,,11,1.40315699577,3,7,5,7,18,0.4,LearningTask,,,59.9592295354,3,2015_Mar_31_1506,3091,
z,0,-200,,,,,0,0,0,0,None,9,0,18,0,,,-1,go,crossgreen.gif,None,0,,12,1.40315699577,3,7,5,8,19,-1,LearningTask,,,59.9592295354,3,2015_Mar_31_1506,3091,
m,0,200,,,,,0,0,0,0,None,9,1,19,1,,,0.25,stop,circlecyan.gif,None,0,,12,1.40315699577,3,8,6,8,20,0.3,LearningTask,,,59.9592295354,3,2015_Mar_31_1506,3091,
