0.1543 	WARNING 	Movie2 stim could not be imported and won't be available
0.9712 	WARNING 	pygame audio lib was requested but not loaded: No module named pygame
3.0739 	WARNING 	User requested fullscreen with size [1440  900], but screen is actually [2560, 1440]. Using actual size
3.6320 	EXP 	Created window1 = Window(allowGUI=False, allowStencil=False, autoLog=True, bitsMode=UNKNOWN, blendMode='avg', color=array([ 0.,  0.,  0.]), colorSpace='rgb', fullscr=UNKNOWN, gamma=None, lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor instance at 0x11b1ae320>, name='window1', pos=[0, 0], screen=0, size=array([2560, 1440]), stereo=False, units=u'norm', useFBO=True, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
3.6320 	EXP 	window1: recordFrameIntervals = False
3.7982 	EXP 	window1: recordFrameIntervals = True
3.9819 	EXP 	window1: recordFrameIntervals = False
3.9820 	EXP 	window1: recordFrameIntervals = False
3.9984 	EXP 	window1: recordFrameIntervals = False
