corrGoResp,yPosGoStim,xPosGoStim,Blocks.thisRepN,Blocks.thisTrialN,Blocks.thisN,Blocks.thisIndex,StopBlocks.thisRepN,StopBlocks.thisTrialN,StopBlocks.thisN,StopBlocks.thisIndex,StopBlocks.thisTrial,StopTrials.thisRepN,StopTrials.thisTrialN,StopTrials.thisN,StopTrials.thisIndex,ok1.keys,ok1.rt,beginningSSD,trialType,goStim,goResp.keys,goResp.corr,goResp.rt,goTrailCountOutput,goCumRTOutput,goRTCountOutput,stopTrialCountOutput,stopSuccessCountOutput,omissionCountOutput,commissionCountOutput,EndingSSD,expName,gender (m/f),age,frameRate,session,date,participant,
,,,,,,,,,,,,,,,,space,0.263005018234,,,,,,,,,,,,,,,LearningTask,,,60.0085556784,3,2015_Mar_31_1555,342,
m,0,200,,,,,0,0,0,0,None,0,0,0,1,,,-1,go,trianglemagenta.gif,m,1,0.467241048813,1,0.467241048813,1,0,0,0,0,-1,LearningTask,,,60.0085556784,3,2015_Mar_31_1555,342,
z,0,-200,,,,,0,0,0,0,None,0,1,1,0,,,-1,go,diamondcyan.gif,z,1,0.350377082825,2,0.817618131638,2,0,0,0,0,-1,LearningTask,,,60.0085556784,3,2015_Mar_31_1555,342,
z,0,-200,,,,,0,0,0,0,None,1,0,2,0,,,-1,go,circleyellow.gif,z,1,0.350454092026,3,1.16807222366,3,0,0,0,0,-1,LearningTask,,,60.0085556784,3,2015_Mar_31_1555,342,
z,0,-200,,,,,0,0,0,0,None,1,1,3,0,,,0.25,stop,hexagonwhite.gif,z,1,0.366881132126,3,1.16807222366,3,1,0,0,0,0.2,LearningTask,,,60.0085556784,3,2015_Mar_31_1555,342,
m,0,200,,,,,0,0,0,0,None,2,0,4,1,,,0.25,stop,squareorange.gif,z,0,0.400174856186,3,1.16807222366,3,2,0,0,0,0.2,LearningTask,,,60.0085556784,3,2015_Mar_31_1555,342,
m,0,200,,,,,0,0,0,0,None,2,1,5,1,,,-1,go,diamondcyan.gif,z,0,0.383913040161,4,1.16807222366,3,2,0,0,1,-1,LearningTask,,,60.0085556784,3,2015_Mar_31_1555,342,
m,0,200,,,,,0,0,0,0,None,3,0,6,1,,,-1,go,linegray.gif,z,0,0.350245952606,5,1.16807222366,3,2,0,0,2,-1,LearningTask,,,60.0085556784,3,2015_Mar_31_1555,342,
m,0,200,,,,,0,0,0,0,None,3,1,7,1,,,-1,go,circleyellow.gif,z,0,0.617140054703,6,1.16807222366,3,2,0,0,3,-1,LearningTask,,,60.0085556784,3,2015_Mar_31_1555,342,
m,0,200,,,,,0,0,0,0,None,4,0,8,1,,,-1,go,crossblue.gif,z,0,0.383936882019,7,1.16807222366,3,2,0,0,4,-1,LearningTask,,,60.0085556784,3,2015_Mar_31_1555,342,
z,0,-200,,,,,0,0,0,0,None,4,1,9,0,,,-1,go,diamondcyan.gif,m,0,0.784263134003,8,1.16807222366,3,2,0,0,5,-1,LearningTask,,,60.0085556784,3,2015_Mar_31_1555,342,
m,0,200,,,,,0,0,0,0,None,5,0,10,1,,,-1,go,diamondcyan.gif,None,0,,9,1.16807222366,3,2,0,1,5,-1,LearningTask,,,60.0085556784,3,2015_Mar_31_1555,342,
m,0,200,,,,,0,0,0,0,None,5,1,11,1,,,0.2,stop,hexagonwhite.gif,None,0,,9,1.16807222366,3,3,1,1,5,0.25,LearningTask,,,60.0085556784,3,2015_Mar_31_1555,342,
z,0,-200,,,,,0,0,0,0,None,6,0,12,0,,,0.2,stop,squareorange.gif,None,0,,9,1.16807222366,3,4,2,1,5,0.25,LearningTask,,,60.0085556784,3,2015_Mar_31_1555,342,
m,0,200,,,,,0,0,0,0,None,6,1,13,1,,,-1,go,crossblue.gif,None,0,,10,1.16807222366,3,4,2,2,5,-1,LearningTask,,,60.0085556784,3,2015_Mar_31_1555,342,
z,0,-200,,,,,0,0,0,0,None,7,0,14,0,,,-1,go,linegray.gif,None,0,,11,1.16807222366,3,4,2,3,5,-1,LearningTask,,,60.0085556784,3,2015_Mar_31_1555,342,
m,0,200,,,,,0,0,0,0,None,7,1,15,1,,,0.25,stop,invertedtrianglegreen.gif,None,0,,11,1.16807222366,3,5,3,3,5,0.3,LearningTask,,,60.0085556784,3,2015_Mar_31_1555,342,
z,0,-200,,,,,0,0,0,0,None,8,0,16,0,,,0.25,stop,invertedtrianglegreen.gif,None,0,,11,1.16807222366,3,6,4,3,5,0.3,LearningTask,,,60.0085556784,3,2015_Mar_31_1555,342,
z,0,-200,,,,,0,0,0,0,None,8,1,17,0,,,-1,go,diamondcyan.gif,None,0,,12,1.16807222366,3,6,4,4,5,-1,LearningTask,,,60.0085556784,3,2015_Mar_31_1555,342,
z,0,-200,,,,,0,0,0,0,None,9,0,18,0,,,0.3,stop,hexagonwhite.gif,None,0,,12,1.16807222366,3,7,5,4,5,0.35,LearningTask,,,60.0085556784,3,2015_Mar_31_1555,342,
z,0,-200,,,,,0,0,0,0,None,9,1,19,0,,,-1,go,circleyellow.gif,None,0,,13,1.16807222366,3,7,5,5,5,-1,LearningTask,,,60.0085556784,3,2015_Mar_31_1555,342,
