corrGoResp,yPosGoStim,xPosGoStim,Blocks.thisRepN,Blocks.thisTrialN,Blocks.thisN,Blocks.thisIndex,StopBlocks.thisRepN,StopBlocks.thisTrialN,StopBlocks.thisN,StopBlocks.thisIndex,StopBlocks.thisTrial,StopTrials.thisRepN,StopTrials.thisTrialN,StopTrials.thisN,StopTrials.thisIndex,ok1.keys,ok1.rt,beginningSSD,trialType,goStim,goResp.keys,goResp.corr,goResp.rt,goTrailCountOutput,goCumRTOutput,goRTCountOutput,stopTrialCountOutput,stopSuccessCountOutput,omissionCountOutput,commissionCountOutput,EndingSSD,expName,gender (m/f),age,frameRate,session,date,participant,
,,,,,,,,,,,,,,,,space,0.582640171051,,,,,,,,,,,,,,,LearningTask,,,59.0259870023,3,2015_Mar_31_1611,23123,
z,0,-200,,,,,0,0,0,0,None,0,0,0,0,,,-1,go,crossblue.gif,z,1,0.367346048355,1,0.367346048355,1,0,0,0,0,-1,LearningTask,,,59.0259870023,3,2015_Mar_31_1611,23123,
m,0,200,,,,,0,0,0,0,None,0,1,1,1,,,0.25,stop,circleorange.gif,m,1,0.267506837845,1,0.367346048355,1,1,0,0,0,0.2,LearningTask,,,59.0259870023,3,2015_Mar_31_1611,23123,
z,0,-200,,,,,0,0,0,0,None,1,0,2,0,,,-1,go,crossblue.gif,z,1,0.333965063095,2,0.70131111145,2,1,0,0,0,-1,LearningTask,,,59.0259870023,3,2015_Mar_31_1611,23123,
m,0,200,,,,,0,0,0,0,None,1,1,3,1,,,-1,go,hexagongreen.gif,m,1,0.267410993576,3,0.968722105026,3,1,0,0,0,-1,LearningTask,,,59.0259870023,3,2015_Mar_31_1611,23123,
z,0,-200,,,,,0,0,0,0,None,2,0,4,0,,,-1,go,squarewhite.gif,z,1,0.383934020996,4,1.35265612602,4,1,0,0,0,-1,LearningTask,,,59.0259870023,3,2015_Mar_31_1611,23123,
m,0,200,,,,,0,0,0,0,None,2,1,5,1,,,0.2,stop,triangleyellow.gif,z,0,0.450807094574,4,1.35265612602,4,2,0,0,0,0.15,LearningTask,,,59.0259870023,3,2015_Mar_31_1611,23123,
z,0,-200,,,,,0,0,0,0,None,3,0,6,0,,,0.25,stop,circleorange.gif,m,0,0.333770036697,4,1.35265612602,4,3,0,0,0,0.2,LearningTask,,,59.0259870023,3,2015_Mar_31_1611,23123,
m,0,200,,,,,0,0,0,0,None,3,1,7,1,,,-1,go,crossblue.gif,z,0,0.36735701561,5,1.35265612602,4,3,0,0,1,-1,LearningTask,,,59.0259870023,3,2015_Mar_31_1611,23123,
m,0,200,,,,,0,0,0,0,None,4,0,8,1,,,0.15,stop,triangleyellow.gif,z,0,0.534039974213,5,1.35265612602,4,4,0,0,1,0.1,LearningTask,,,59.0259870023,3,2015_Mar_31_1611,23123,
m,0,200,,,,,0,0,0,0,None,4,1,9,1,,,0.1,stop,hexagongreen.gif,z,0,0.484083890915,5,1.35265612602,4,5,0,0,1,0.05,LearningTask,,,59.0259870023,3,2015_Mar_31_1611,23123,
z,0,-200,,,,,0,0,0,0,None,5,0,10,0,,,-1,go,linegray.gif,None,0,,6,1.35265612602,4,5,0,1,1,-1,LearningTask,,,59.0259870023,3,2015_Mar_31_1611,23123,
m,0,200,,,,,0,0,0,0,None,5,1,11,1,,,-1,go,diamondmagenta.gif,None,0,,7,1.35265612602,4,5,0,2,1,-1,LearningTask,,,59.0259870023,3,2015_Mar_31_1611,23123,
z,0,-200,,,,,0,0,0,0,None,6,0,12,0,,,-1,go,crossblue.gif,None,0,,8,1.35265612602,4,5,0,3,1,-1,LearningTask,,,59.0259870023,3,2015_Mar_31_1611,23123,
z,0,-200,,,,,0,0,0,0,None,6,1,13,0,,,0.2,stop,hexagongreen.gif,None,0,,8,1.35265612602,4,6,1,3,1,0.25,LearningTask,,,59.0259870023,3,2015_Mar_31_1611,23123,
z,0,-200,,,,,0,0,0,0,None,7,0,14,0,,,0.25,stop,linegray.gif,None,0,,8,1.35265612602,4,7,2,3,1,0.3,LearningTask,,,59.0259870023,3,2015_Mar_31_1611,23123,
m,0,200,,,,,0,0,0,0,None,7,1,15,1,,,-1,go,squarewhite.gif,None,0,,9,1.35265612602,4,7,2,4,1,-1,LearningTask,,,59.0259870023,3,2015_Mar_31_1611,23123,
z,0,-200,,,,,0,0,0,0,None,8,0,16,0,,,-1,go,triangleyellow.gif,None,0,,10,1.35265612602,4,7,2,5,1,-1,LearningTask,,,59.0259870023,3,2015_Mar_31_1611,23123,
m,0,200,,,,,0,0,0,0,None,8,1,17,1,,,-1,go,diamondmagenta.gif,None,0,,11,1.35265612602,4,7,2,6,1,-1,LearningTask,,,59.0259870023,3,2015_Mar_31_1611,23123,
z,0,-200,,,,,0,0,0,0,None,9,0,18,0,,,0.3,stop,triangleyellow.gif,None,0,,11,1.35265612602,4,8,3,6,1,0.35,LearningTask,,,59.0259870023,3,2015_Mar_31_1611,23123,
m,0,200,,,,,0,0,0,0,None,9,1,19,1,,,-1,go,crossblue.gif,None,0,,12,1.35265612602,4,8,3,7,1,-1,LearningTask,,,59.0259870023,3,2015_Mar_31_1611,23123,
