xPos,corrAns,yPos,corrGoResp,yPosGoStim,xPosGoStim,pracTrials.thisRepN,pracTrials.thisTrialN,pracTrials.thisN,pracTrials.thisIndex,ReDoLoopPrac.thisRepN,ReDoLoopPrac.thisTrialN,ReDoLoopPrac.thisN,ReDoLoopPrac.thisIndex,ReDoLoopPrac.thisTrial,pracStopTrials.thisRepN,pracStopTrials.thisTrialN,pracStopTrials.thisN,pracStopTrials.thisIndex,Blocks.thisRepN,Blocks.thisTrialN,Blocks.thisN,Blocks.thisIndex,Blocks.thisTrial,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,ReDoLoopMain.thisRepN,ReDoLoopMain.thisTrialN,ReDoLoopMain.thisN,ReDoLoopMain.thisIndex,ReDoLoopMain.thisTrial,ok1.keys,ok1.rt,resp.keys,resp.corr,resp.rt,learningStimOnset,learningFixOnset,EndTrialTimeStamp,,beginningSSD,trialType,goStim,goResp.keys,goResp.corr,goResp.rt,goTrailCountOutput,goCumRTOutput,goRTCountOutput,stopTrialCountOutput,stopSuccessCountOutput,omissionCountOutput,commissionCountOutput,fixStopOnset,goStimOnset,stopSignalOnset,key_resp_3.keys,key_resp_3.rt,computedRewardOutput,expName,gender (m/f),age,frameRate,session,date,participant
200,w,200,,,,0,9,9,4,1,0,1,0,None,,,,,,,,,,,,,,,,,,,,,s,0,0.267472982,0.51624012,0.001723051,36.98132014,2.284889936,,,,,,,,,,,,,,,,,,,,LearningTask,,,59.97251816,3,2015_May_27_1545,4
200,w,200,,,,0,9,9,4,2,0,2,0,None,,,,,,,,,,,,,,,,,,,,,s,0,0.300850153,0.51659894,0.001394033,39.3000381,2.318717957,,,,,,,,,,,,,,,,,,,,LearningTask,,,59.97251816,3,2015_May_27_1545,4
200,w,200,,,,0,9,9,4,3,0,3,0,None,,,,,,,,,,,,,,,,,,,,,s,0,0.183824062,0.516422033,0.001232147,41.50163913,2.201601028,,,,,,,,,,,,,,,,,,,,LearningTask,,,59.97251816,3,2015_May_27_1545,4
200,w,200,,,,0,9,9,4,4,0,4,0,None,,,,,,,,,,,,,,,,,,,,,s,0,0.100996017,0.516221046,0.001106977,43.62005019,2.118411064,,,,,,,,,,,,,,,,,,,,LearningTask,,,59.97251816,3,2015_May_27_1545,4
200,w,200,,,,0,9,9,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LearningTask,,,59.97251816,3,2015_May_27_1545,4
,,,m,0,200,,,,,,,,,,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,48.64170599,5.021655798,0.25,stop,diamondwhite.gif,m,1,0.484521151,0,0,0,1,0,0,0,0.001523018,0.510793209,0.761216164,,,,LearningTask,,,59.97251816,3,2015_May_27_1545,4
,,,m,0,200,,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,51.64412498,3.002418995,-1,go,squarecyan.gif,m,1,0.500937939,1,0.500937939,1,1,0,0,0,0.000983953,0.514950037,,,,,LearningTask,,,59.97251816,3,2015_May_27_1545,4
,,,z,0,-200,,,,,,,,,,1,0,2,0,,,,,,,,,,,,,,,,,,,,,,54.64658713,3.002462149,0.25,stop,linegray.gif,None,0,,1,0.500937939,1,2,1,0,0,0.00225997,0.51563096,0.765885115,,,,LearningTask,,,59.97251816,3,2015_May_27_1545,4
,,,m,0,200,,,,,,,,,,1,1,3,1,,,,,,,,,,,,,,,,,,,,,,57.64953303,3.0029459,0.25,stop,hexagonyellow.gif,None,0,,1,0.500937939,1,3,2,0,0,0.000971079,0.515232086,0.765416145,,,,LearningTask,,,59.97251816,3,2015_May_27_1545,4
,,,z,0,-200,,,,,,,,,,2,0,4,0,,,,,,,,,,,,,,,,,,,,,,60.651196,3.00166297,0.25,stop,hexagonyellow.gif,None,0,,1,0.500937939,1,4,3,0,0,0.001033068,0.514840126,0.76524806,,,,LearningTask,,,59.97251816,3,2015_May_27_1545,4
