xPos,corrAns,yPos,practiceTrials.thisRepN,practiceTrials.thisTrialN,practiceTrials.thisN,practiceTrials.thisIndex,ReDoLoop.thisRepN,ReDoLoop.thisTrialN,ReDoLoop.thisN,ReDoLoop.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,ReDoLoopMain.thisRepN,ReDoLoopMain.thisTrialN,ReDoLoopMain.thisN,ReDoLoopMain.thisIndex,ok1.keys,ok1.rt,resp.keys,resp.corr,resp.rt,expName,gender (m/f),age,frameRate,session,date,participant,
,,,,,,,,,,,,,,,,,,,space,0.308695077896,,,,LearningTask,,,59.9117815107,3,2015_Mar_18_1615,290,
-200,t,200,0,0,0,1,0,0,0,0,,,,,,,,,,,t,1,0.384306907654,LearningTask,,,59.9117815107,3,2015_Mar_18_1615,290,
-200,t,200,0,0,0,1,,,,,,,,,,,,,,,,,,LearningTask,,,59.9117815107,3,2015_Mar_18_1615,290,
-200,g,-200,0,1,1,3,0,0,0,0,,,,,,,,,,,g,1,0.434272766113,LearningTask,,,59.9117815107,3,2015_Mar_18_1615,290,
-200,g,-200,0,1,1,3,,,,,,,,,,,,,,,,,,LearningTask,,,59.9117815107,3,2015_Mar_18_1615,290,
200,y,200,0,2,2,0,0,0,0,0,,,,,,,,,,,y,1,0.334347963333,LearningTask,,,59.9117815107,3,2015_Mar_18_1615,290,
200,y,200,0,2,2,0,,,,,,,,,,,,,,,,,,LearningTask,,,59.9117815107,3,2015_Mar_18_1615,290,
200,h,-200,0,3,3,2,0,0,0,0,,,,,,,,,,,h,1,0.334213018417,LearningTask,,,59.9117815107,3,2015_Mar_18_1615,290,
200,h,-200,0,3,3,2,,,,,,,,,,,,,,,,,,LearningTask,,,59.9117815107,3,2015_Mar_18_1615,290,
-200,g,-200,,,,,,,,,0,0,0,3,0,0,0,0,,,g,1,0.367564916611,LearningTask,,,59.9117815107,3,2015_Mar_18_1615,290,
-200,g,-200,,,,,,,,,0,0,0,3,,,,,,,,,,LearningTask,,,59.9117815107,3,2015_Mar_18_1615,290,
-200,t,200,,,,,,,,,0,1,1,1,0,0,0,0,,,t,1,0.28418803215,LearningTask,,,59.9117815107,3,2015_Mar_18_1615,290,
-200,t,200,,,,,,,,,0,1,1,1,,,,,,,,,,LearningTask,,,59.9117815107,3,2015_Mar_18_1615,290,
200,y,200,,,,,,,,,0,2,2,0,0,0,0,0,,,y,1,0.284116983414,LearningTask,,,59.9117815107,3,2015_Mar_18_1615,290,
200,y,200,,,,,,,,,0,2,2,0,,,,,,,,,,LearningTask,,,59.9117815107,3,2015_Mar_18_1615,290,
200,h,-200,,,,,,,,,0,3,3,2,0,0,0,0,,,h,1,0.284174919128,LearningTask,,,59.9117815107,3,2015_Mar_18_1615,290,
200,h,-200,,,,,,,,,0,3,3,2,,,,,,,,,,LearningTask,,,59.9117815107,3,2015_Mar_18_1615,290,
