corrGoResp,yPosGoStim,xPosGoStim,Blocks.thisRepN,Blocks.thisTrialN,Blocks.thisN,Blocks.thisIndex,StopBlocks.thisRepN,StopBlocks.thisTrialN,StopBlocks.thisN,StopBlocks.thisIndex,StopBlocks.thisTrial,StopTrials.thisRepN,StopTrials.thisTrialN,StopTrials.thisN,StopTrials.thisIndex,ok1.keys,ok1.rt,goResp.keys,goResp.corr,goResp.rt,expName,gender (m/f),age,frameRate,session,date,participant,
,,,,,,,,,,,,,,,,space,0.373538970947,,,,LearningTask,,,59.896723484,3,2015_Mar_31_1150,3023,
z,0,-200,,,,,0,0,0,0,None,0,0,0,0,,,z,1,0.384078979492,LearningTask,,,59.896723484,3,2015_Mar_31_1150,3023,
z,0,-200,,,,,0,0,0,0,None,0,1,1,0,,,z,1,0.580157995224,LearningTask,,,59.896723484,3,2015_Mar_31_1150,3023,
m,0,200,,,,,0,0,0,0,None,1,0,2,1,,,m,1,0.500888824463,LearningTask,,,59.896723484,3,2015_Mar_31_1150,3023,
m,0,200,,,,,0,0,0,0,None,1,1,3,1,,,m,1,0.450828790665,LearningTask,,,59.896723484,3,2015_Mar_31_1150,3023,
z,0,-200,,,,,0,0,0,0,None,2,0,4,0,,,z,1,0.42851805687,LearningTask,,,59.896723484,3,2015_Mar_31_1150,3023,
z,0,-200,,,,,0,0,0,0,None,2,1,5,0,,,z,1,0.450896024704,LearningTask,,,59.896723484,3,2015_Mar_31_1150,3023,
m,0,200,,,,,0,0,0,0,None,3,0,6,1,,,m,1,0.500956058502,LearningTask,,,59.896723484,3,2015_Mar_31_1150,3023,
m,0,200,,,,,0,0,0,0,None,3,1,7,1,,,m,1,0.584113121033,LearningTask,,,59.896723484,3,2015_Mar_31_1150,3023,
z,0,-200,,,,,0,0,0,0,None,4,0,8,0,,,None,0,,LearningTask,,,59.896723484,3,2015_Mar_31_1150,3023,
m,0,200,,,,,0,0,0,0,None,4,1,9,1,,,m,1,0.367187976837,LearningTask,,,59.896723484,3,2015_Mar_31_1150,3023,
m,0,200,,,,,0,0,0,0,None,5,0,10,1,,,m,1,0.600975036621,LearningTask,,,59.896723484,3,2015_Mar_31_1150,3023,
z,0,-200,,,,,0,0,0,0,None,5,1,11,0,,,z,1,0.500957965851,LearningTask,,,59.896723484,3,2015_Mar_31_1150,3023,
z,0,-200,,,,,0,0,0,0,None,6,0,12,0,,,z,1,0.484960079193,LearningTask,,,59.896723484,3,2015_Mar_31_1150,3023,
m,0,200,,,,,0,0,0,0,None,6,1,13,1,,,m,1,0.350594997406,LearningTask,,,59.896723484,3,2015_Mar_31_1150,3023,
z,0,-200,,,,,0,0,0,0,None,7,0,14,0,,,None,0,,LearningTask,,,59.896723484,3,2015_Mar_31_1150,3023,
z,0,-200,,,,,0,0,0,0,None,7,1,15,0,,,z,1,0.384280920029,LearningTask,,,59.896723484,3,2015_Mar_31_1150,3023,
m,0,200,,,,,0,0,0,0,None,8,0,16,1,,,m,1,0.513283014297,LearningTask,,,59.896723484,3,2015_Mar_31_1150,3023,
z,0,-200,,,,,0,0,0,0,None,8,1,17,0,,,z,1,0.484259128571,LearningTask,,,59.896723484,3,2015_Mar_31_1150,3023,
m,0,200,,,,,0,0,0,0,None,9,0,18,1,,,None,0,,LearningTask,,,59.896723484,3,2015_Mar_31_1150,3023,
z,0,-200,,,,,0,0,0,0,None,9,1,19,0,,,None,0,,LearningTask,,,59.896723484,3,2015_Mar_31_1150,3023,
z,0,-200,,,,,0,0,0,0,None,10,0,20,0,,,None,0,,LearningTask,,,59.896723484,3,2015_Mar_31_1150,3023,
m,0,200,,,,,0,0,0,0,None,10,1,21,1,,,None,0,,LearningTask,,,59.896723484,3,2015_Mar_31_1150,3023,
m,0,200,,,,,0,0,0,0,None,11,0,22,1,,,None,0,,LearningTask,,,59.896723484,3,2015_Mar_31_1150,3023,
m,0,200,,,,,0,0,0,0,None,11,1,23,1,,,None,0,,LearningTask,,,59.896723484,3,2015_Mar_31_1150,3023,
m,0,200,,,,,0,0,0,0,None,12,0,24,1,,,m,1,0.400838136673,LearningTask,,,59.896723484,3,2015_Mar_31_1150,3023,
z,0,-200,,,,,0,0,0,0,None,12,1,25,0,,,z,1,0.467437028885,LearningTask,,,59.896723484,3,2015_Mar_31_1150,3023,
m,0,200,,,,,0,0,0,0,None,13,0,26,1,,,m,1,0.317137956619,LearningTask,,,59.896723484,3,2015_Mar_31_1150,3023,
m,0,200,,,,,0,0,0,0,None,13,1,27,1,,,None,0,,LearningTask,,,59.896723484,3,2015_Mar_31_1150,3023,
z,0,-200,,,,,0,0,0,0,None,14,0,28,0,,,None,0,,LearningTask,,,59.896723484,3,2015_Mar_31_1150,3023,
z,0,-200,,,,,0,0,0,0,None,14,1,29,0,,,None,0,,LearningTask,,,59.896723484,3,2015_Mar_31_1150,3023,
m,0,200,,,,,0,0,0,0,None,15,0,30,1,,,None,0,,LearningTask,,,59.896723484,3,2015_Mar_31_1150,3023,
z,0,-200,,,,,0,0,0,0,None,15,1,31,0,,,None,0,,LearningTask,,,59.896723484,3,2015_Mar_31_1150,3023,
z,0,-200,,,,,0,0,0,0,None,16,0,32,0,,,z,1,0.450825929642,LearningTask,,,59.896723484,3,2015_Mar_31_1150,3023,
m,0,200,,,,,0,0,0,0,None,16,1,33,1,,,m,1,0.467459917068,LearningTask,,,59.896723484,3,2015_Mar_31_1150,3023,
