corrGoResp,yPosGoStim,xPosGoStim,Blocks.thisRepN,Blocks.thisTrialN,Blocks.thisN,Blocks.thisIndex,StopBlocks.thisRepN,StopBlocks.thisTrialN,StopBlocks.thisN,StopBlocks.thisIndex,StopBlocks.thisTrial,StopTrials.thisRepN,StopTrials.thisTrialN,StopTrials.thisN,StopTrials.thisIndex,ok1.keys,ok1.rt,goResp.keys,goResp.corr,goResp.rt,expName,gender (m/f),age,frameRate,session,date,participant,
,,,,,,,,,,,,,,,,space,2.20942997932,,,,LearningTask,,,59.9211966227,3,2015_Mar_31_1148,3022,
z,0,-200,,,,,0,0,0,0,None,0,0,0,0,,,z,1,0.351041078568,LearningTask,,,59.9211966227,3,2015_Mar_31_1148,3022,
m,0,200,,,,,0,0,0,0,None,0,1,1,1,,,m,1,0.451328992844,LearningTask,,,59.9211966227,3,2015_Mar_31_1148,3022,
m,0,200,,,,,0,0,0,0,None,1,0,2,1,,,m,1,0.451122999191,LearningTask,,,59.9211966227,3,2015_Mar_31_1148,3022,
z,0,-200,,,,,0,0,0,0,None,1,1,3,0,,,z,1,0.451067209244,LearningTask,,,59.9211966227,3,2015_Mar_31_1148,3022,
z,0,-200,,,,,0,0,0,0,None,2,0,4,0,,,z,1,0.450809955597,LearningTask,,,59.9211966227,3,2015_Mar_31_1148,3022,
m,0,200,,,,,0,0,0,0,None,2,1,5,1,,,m,1,0.483527898788,LearningTask,,,59.9211966227,3,2015_Mar_31_1148,3022,
m,0,200,,,,,0,0,0,0,None,3,0,6,1,,,m,1,0.350623130798,LearningTask,,,59.9211966227,3,2015_Mar_31_1148,3022,
z,0,-200,,,,,0,0,0,0,None,3,1,7,0,,,z,1,0.500985860825,LearningTask,,,59.9211966227,3,2015_Mar_31_1148,3022,
m,0,200,,,,,0,0,0,0,None,4,0,8,1,,,m,1,0.400788068771,LearningTask,,,59.9211966227,3,2015_Mar_31_1148,3022,
z,0,-200,,,,,0,0,0,0,None,4,1,9,0,,,z,1,0.433984994888,LearningTask,,,59.9211966227,3,2015_Mar_31_1148,3022,
m,0,200,,,,,0,0,0,0,None,5,0,10,1,,,None,0,,LearningTask,,,59.9211966227,3,2015_Mar_31_1148,3022,
z,0,-200,,,,,0,0,0,0,None,5,1,11,0,,,z,1,0.367402076721,LearningTask,,,59.9211966227,3,2015_Mar_31_1148,3022,
m,0,200,,,,,0,0,0,0,None,6,0,12,1,,,None,0,,LearningTask,,,59.9211966227,3,2015_Mar_31_1148,3022,
z,0,-200,,,,,0,0,0,0,None,6,1,13,0,,,z,1,0.467586040497,LearningTask,,,59.9211966227,3,2015_Mar_31_1148,3022,
m,0,200,,,,,0,0,0,0,None,7,0,14,1,,,m,1,0.417632102966,LearningTask,,,59.9211966227,3,2015_Mar_31_1148,3022,
