corrGoResp,yPosGoStim,xPosGoStim,Blocks.thisRepN,Blocks.thisTrialN,Blocks.thisN,Blocks.thisIndex,StopBlocks.thisRepN,StopBlocks.thisTrialN,StopBlocks.thisN,StopBlocks.thisIndex,StopBlocks.thisTrial,StopTrials.thisRepN,StopTrials.thisTrialN,StopTrials.thisN,StopTrials.thisIndex,ok1.keys,ok1.rt,beginningSSD,trialType,goStim,goResp.keys,goResp.corr,goResp.rt,goTrailCountOutput,goCumRTOutput,goRTCountOutput,stopTrialCountOutput,stopSuccessCountOutput,omissionCountOutput,commissionCountOutput,EndingSSD,expName,gender (m/f),age,frameRate,session,date,participant,
,,,,,,,,,,,,,,,,space,0.357280015945,,,,,,,,,,,,,,,LearningTask,,,59.9236792815,3,2015_Mar_31_1512,12039,
z,0,-200,,,,,0,0,0,0,None,0,0,0,0,,,0.25,stop,circlegray.gif,z,1,0.418002128601,0,0,0,1,0,0,0,0.2,LearningTask,,,59.9236792815,3,2015_Mar_31_1512,12039,
m,0,200,,,,,0,0,0,0,None,0,1,1,1,,,-1,go,crossblue.gif,m,1,0.601120948792,1,0.601120948792,1,1,0,0,0,-1,LearningTask,,,59.9236792815,3,2015_Mar_31_1512,12039,
z,0,-200,,,,,0,0,0,0,None,1,0,2,0,,,-1,go,diamondyellow.gif,z,1,0.551009178162,2,1.15213012695,2,1,0,0,0,-1,LearningTask,,,59.9236792815,3,2015_Mar_31_1512,12039,
z,0,-200,,,,,0,0,0,0,None,1,1,3,0,,,-1,go,diamondyellow.gif,m,0,0.684346914291,3,1.15213012695,2,1,0,0,1,-1,LearningTask,,,59.9236792815,3,2015_Mar_31_1512,12039,
m,0,200,,,,,0,0,0,0,None,2,0,4,1,,,-1,go,hexagonmagenta.gif,m,1,0.851145029068,4,2.00327515602,3,1,0,0,1,-1,LearningTask,,,59.9236792815,3,2015_Mar_31_1512,12039,
z,0,-200,,,,,0,0,0,0,None,2,1,5,0,,,-1,go,crossblue.gif,z,1,0.650372982025,5,2.65364813805,4,1,0,0,1,-1,LearningTask,,,59.9236792815,3,2015_Mar_31_1512,12039,
m,0,200,,,,,0,0,0,0,None,3,0,6,1,,,-1,go,trianglecyan.gif,None,0,,6,2.65364813805,4,1,0,1,2,-1,LearningTask,,,59.9236792815,3,2015_Mar_31_1512,12039,
m,0,200,,,,,0,0,0,0,None,3,1,7,1,,,0.25,stop,hexagonmagenta.gif,None,0,,6,2.65364813805,4,2,1,1,2,0.3,LearningTask,,,59.9236792815,3,2015_Mar_31_1512,12039,
m,0,200,,,,,0,0,0,0,None,4,0,8,1,,,0.3,stop,circlegray.gif,None,0,,6,2.65364813805,4,3,2,1,2,0.35,LearningTask,,,59.9236792815,3,2015_Mar_31_1512,12039,
z,0,-200,,,,,0,0,0,0,None,4,1,9,0,,,-1,go,squareorange.gif,None,0,,7,2.65364813805,4,3,2,2,3,-1,LearningTask,,,59.9236792815,3,2015_Mar_31_1512,12039,
m,0,200,,,,,0,0,0,0,None,5,0,10,1,,,0.35,stop,hexagonmagenta.gif,None,0,,7,2.65364813805,4,4,3,2,3,0.4,LearningTask,,,59.9236792815,3,2015_Mar_31_1512,12039,
m,0,200,,,,,0,0,0,0,None,5,1,11,1,,,-1,go,circlegray.gif,None,0,,8,2.65364813805,4,4,3,3,4,-1,LearningTask,,,59.9236792815,3,2015_Mar_31_1512,12039,
m,0,200,,,,,0,0,0,0,None,6,0,12,1,,,-1,go,diamondyellow.gif,None,0,,9,2.65364813805,4,4,3,4,5,-1,LearningTask,,,59.9236792815,3,2015_Mar_31_1512,12039,
m,0,200,,,,,0,0,0,0,None,6,1,13,1,,,-1,go,diamondyellow.gif,None,0,,10,2.65364813805,4,4,3,5,6,-1,LearningTask,,,59.9236792815,3,2015_Mar_31_1512,12039,
z,0,-200,,,,,0,0,0,0,None,7,0,14,0,,,-1,go,trianglecyan.gif,None,0,,11,2.65364813805,4,4,3,6,7,-1,LearningTask,,,59.9236792815,3,2015_Mar_31_1512,12039,
z,0,-200,,,,,0,0,0,0,None,7,1,15,0,,,-1,go,diamondyellow.gif,None,0,,12,2.65364813805,4,4,3,7,8,-1,LearningTask,,,59.9236792815,3,2015_Mar_31_1512,12039,
z,0,-200,,,,,0,0,0,0,None,8,0,16,0,,,-1,go,crossblue.gif,None,0,,13,2.65364813805,4,4,3,8,9,-1,LearningTask,,,59.9236792815,3,2015_Mar_31_1512,12039,
z,0,-200,,,,,0,0,0,0,None,8,1,17,0,,,-1,go,trianglecyan.gif,None,0,,14,2.65364813805,4,4,3,9,10,-1,LearningTask,,,59.9236792815,3,2015_Mar_31_1512,12039,
m,0,200,,,,,0,0,0,0,None,9,0,18,1,,,0.4,stop,circlegray.gif,None,0,,14,2.65364813805,4,5,4,9,10,0.45,LearningTask,,,59.9236792815,3,2015_Mar_31_1512,12039,
z,0,-200,,,,,0,0,0,0,None,9,1,19,0,,,0.2,stop,linewhite.gif,None,0,,14,2.65364813805,4,6,5,9,10,0.25,LearningTask,,,59.9236792815,3,2015_Mar_31_1512,12039,
