xPos,location,Shape,yPos,numVertices,corrAns,practiceTrials.thisRepN,practiceTrials.thisTrialN,practiceTrials.thisN,practiceTrials.thisIndex,ok1.keys,ok1.rt,resp.keys,resp.corr,expName,gender (m/f),age,frameRate,session,date,participant,
,,,,,,,,,,space,0.959213018417,,,LearningTask,,,59.9494597221,3,2014_Dec_16_0932,,
200,down_right,Square,-200,4,h,0,0,0,10,,,None,0,LearningTask,,,59.9494597221,3,2014_Dec_16_0932,,
