corrGoResp,yPosGoStim,xPosGoStim,Blocks.thisRepN,Blocks.thisTrialN,Blocks.thisN,Blocks.thisIndex,StopBlocks.thisRepN,StopBlocks.thisTrialN,StopBlocks.thisN,StopBlocks.thisIndex,StopBlocks.thisTrial,StopTrials.thisRepN,StopTrials.thisTrialN,StopTrials.thisN,StopTrials.thisIndex,ok1.keys,ok1.rt,beginningSSD,trialType,goStim,goResp.keys,goResp.corr,goTrailCountOutput,goCumRTOutput,goRTCountOutput,stopTrialCountOutput,stopSuccessCountOutput,omissionCountOutput,commissionCountOutput,EndingSSD,goResp.rt,expName,gender (m/f),age,frameRate,session,date,participant,
,,,,,,,,,,,,,,,,space,2.05760192871,,,,,,,,,,,,,,,LearningTask,,,59.990188296,3,2015_Mar_31_1501,3090,
z,0,-200,,,,,0,0,0,0,None,0,0,0,0,,,-1,go,crosswhite.gif,None,0,1,0,0,0,0,1,1,-1,,LearningTask,,,59.990188296,3,2015_Mar_31_1501,3090,
m,0,200,,,,,0,0,0,0,None,0,1,1,1,,,0.25,stop,circlecyan.gif,m,1,1,0,0,1,0,1,2,0.2,0.384112119675,LearningTask,,,59.990188296,3,2015_Mar_31_1501,3090,
z,0,-200,,,,,0,0,0,0,None,1,0,2,0,,,-1,go,trianglegray.gif,m,0,2,0,0,1,0,1,3,-1,0.584151029587,LearningTask,,,59.990188296,3,2015_Mar_31_1501,3090,
m,0,200,,,,,0,0,0,0,None,1,1,3,1,,,0.2,stop,circlecyan.gif,m,1,2,0,0,2,0,1,4,0.15,0.813702106476,LearningTask,,,59.990188296,3,2015_Mar_31_1501,3090,
z,0,-200,,,,,0,0,0,0,None,2,0,4,0,,,0.25,stop,trianglegray.gif,None,0,2,0,0,3,1,1,5,0.3,,LearningTask,,,59.990188296,3,2015_Mar_31_1501,3090,
m,0,200,,,,,0,0,0,0,None,2,1,5,1,,,-1,go,crosswhite.gif,z,0,3,0,0,3,1,1,6,-1,0.534466981888,LearningTask,,,59.990188296,3,2015_Mar_31_1501,3090,
m,0,200,,,,,0,0,0,0,None,3,0,6,1,,,-1,go,squareorange.gif,z,0,4,0,0,3,1,1,7,-1,0.584561824799,LearningTask,,,59.990188296,3,2015_Mar_31_1501,3090,
z,0,-200,,,,,0,0,0,0,None,3,1,7,0,,,-1,go,linegreen.gif,m,0,5,0,0,3,1,1,8,-1,0.534236907959,LearningTask,,,59.990188296,3,2015_Mar_31_1501,3090,
z,0,-200,,,,,0,0,0,0,None,4,0,8,0,,,-1,go,trianglegray.gif,z,1,6,0.580090999603,1,3,1,1,9,-1,0.580090999603,LearningTask,,,59.990188296,3,2015_Mar_31_1501,3090,
m,0,200,,,,,0,0,0,0,None,4,1,9,1,,,0.15,stop,trianglegray.gif,m,1,6,0.580090999603,1,4,1,1,10,0.1,0.400418043137,LearningTask,,,59.990188296,3,2015_Mar_31_1501,3090,
m,0,200,,,,,0,0,0,0,None,5,0,10,1,,,-1,go,crosswhite.gif,None,0,7,0.580090999603,1,4,1,2,11,-1,,LearningTask,,,59.990188296,3,2015_Mar_31_1501,3090,
m,0,200,,,,,0,0,0,0,None,5,1,11,1,,,-1,go,crosswhite.gif,None,0,8,0.580090999603,1,4,1,3,12,-1,,LearningTask,,,59.990188296,3,2015_Mar_31_1501,3090,
z,0,-200,,,,,0,0,0,0,None,6,0,12,0,,,-1,go,squareorange.gif,None,0,9,0.580090999603,1,4,1,4,13,-1,,LearningTask,,,59.990188296,3,2015_Mar_31_1501,3090,
z,0,-200,,,,,0,0,0,0,None,6,1,13,0,,,-1,go,hexagonblue.gif,None,0,10,0.580090999603,1,4,1,5,14,-1,,LearningTask,,,59.990188296,3,2015_Mar_31_1501,3090,
m,0,200,,,,,0,0,0,0,None,7,0,14,1,,,-1,go,squareorange.gif,None,0,11,0.580090999603,1,4,1,6,15,-1,,LearningTask,,,59.990188296,3,2015_Mar_31_1501,3090,
z,0,-200,,,,,0,0,0,0,None,7,1,15,0,,,0.3,stop,hexagonblue.gif,None,0,11,0.580090999603,1,5,2,6,16,0.35,,LearningTask,,,59.990188296,3,2015_Mar_31_1501,3090,
m,0,200,,,,,0,0,0,0,None,8,0,16,1,,,-1,go,squareorange.gif,None,0,12,0.580090999603,1,5,2,7,17,-1,,LearningTask,,,59.990188296,3,2015_Mar_31_1501,3090,
z,0,-200,,,,,0,0,0,0,None,8,1,17,0,,,0.35,stop,linegreen.gif,None,0,12,0.580090999603,1,6,3,7,18,0.4,,LearningTask,,,59.990188296,3,2015_Mar_31_1501,3090,
z,0,-200,,,,,0,0,0,0,None,9,0,18,0,,,-1,go,invertedtrianglemagenta.gif,None,0,13,0.580090999603,1,6,3,8,19,-1,,LearningTask,,,59.990188296,3,2015_Mar_31_1501,3090,
m,0,200,,,,,0,0,0,0,None,9,1,19,1,,,-1,go,circlecyan.gif,None,0,14,0.580090999603,1,6,3,9,20,-1,,LearningTask,,,59.990188296,3,2015_Mar_31_1501,3090,
