xPos,corrAns,yPos,corrGoResp,yPosGoStim,xPosGoStim,pracTrials.thisRepN,pracTrials.thisTrialN,pracTrials.thisN,pracTrials.thisIndex,ReDoLoopPrac.thisRepN,ReDoLoopPrac.thisTrialN,ReDoLoopPrac.thisN,ReDoLoopPrac.thisIndex,ReDoLoopPrac.thisTrial,pracStopTrials.thisRepN,pracStopTrials.thisTrialN,pracStopTrials.thisN,pracStopTrials.thisIndex,Blocks.thisRepN,Blocks.thisTrialN,Blocks.thisN,Blocks.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,ReDoLoopMain.thisRepN,ReDoLoopMain.thisTrialN,ReDoLoopMain.thisN,ReDoLoopMain.thisIndex,ReDoLoopMain.thisTrial,StopBlocks.thisRepN,StopBlocks.thisTrialN,StopBlocks.thisN,StopBlocks.thisIndex,StopBlocks.thisTrial,StopTrials.thisRepN,StopTrials.thisTrialN,StopTrials.thisN,StopTrials.thisIndex,learningTrialList,learningPracTrialList,stopTrialList,stopPracTrialList,auctionTrialList,ok1.keys,ok1.rt,resp.keys,resp.corr,resp.rt,feedbackResp.keys,feedbackResp.corr,currentReward,firstPracComputedRewardOutput,firstPracLearningStimOnset,firstPracLearningFixOnset,firstPracPresentationRT,firstPracPresentationAcc,firstPracPresentationResp,firstPracEndTrialTimeStamp,StartTrialTimeStamp,trialType,goStim,stimType,stopStimValue,goResp.keys,goResp.corr,goResp.rt,key_resp_9.keys,key_resp_9.corr,fixStopOnset,goStimOnset,EndTrialTimeStamp,stopSignalOnset,key_resp_3.keys,key_resp_3.rt,firstComputedRewardOutput,firstLearningStimOnset,firstLearningFixOnset,firstPresentationRT,firstPresentationAcc,firstPresentationResp,firstEndTrialTimeStamp,secondComputedRewardOutput,secondLearningStimOnset,secondLearningFixOnset,secondPresentationRT,secondPresentationAcc,secondPresentationResp,secondEndTrialTimeStamp,feedbackResp.rt,thirdComputedRewardOutput,thirdLearningStimOnset,thirdLearningFixOnset,thirdPresentationRT,thirdPresentationAcc,thirdPresentationResp,thirdEndTrialTimeStamp,fourthComputedRewardOutput,fourthLearningStimOnset,fourthLearningFixOnset,fourthPresentationRT,fourthPresentationAcc,fourthPresentationResp,fourthEndTrialTimeStamp,fifthComputedRewardOutput,fifthLearningStimOnset,fifthLearningFixOnset,fifthPresentationRT,fifthPresentationAcc,fifthPresentationResp,fifthEndTrialTimeStamp,key_resp_7.keys,key_resp_7.rt,date,frameRate,expName,session,participant,
-200,q,200,,,,,,,,,,,,,,,,,0,0,0,0,19,3,79,1,,,,,,,,,,,,,,,,,,,,,,q,1,0.450994968414,None,0,2.0,,,,,,,,,,,,,,,,,,,,,,,,1.77,0.513015031815,0.00111103057861,0.450994968414,1,q,402.93482399,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015_Jun_17_1555,60.0997864993,LearningTask,,989,
200,w,200,,,,,,,,,,,,,,,,,0,0,0,0,20,0,80,0,,,,,,,,,,,,,,,,,,,,,,w,1,0.550919055939,None,0,1.0,,,,,,,,,,,,,,,,,,,,,,,,1.25,0.512019872665,0.00127100944519,0.550919055939,1,w,405.934687138,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015_Jun_17_1555,60.0997864993,LearningTask,,989,
-200,a,-200,,,,,,,,,,,,,,,,,0,0,0,0,20,1,81,3,,,,,,,,,,,,,,,,,,,,,,a,1,0.417611122131,None,0,0.5,,,,,,,,,,,,,,,,,,,,,,,,0.71,0.512587070465,0.00113105773926,0.417611122131,1,a,408.935464144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015_Jun_17_1555,60.0997864993,LearningTask,,989,
-200,q,200,,,,,,,,,,,,,,,,,0,0,0,0,20,2,82,1,,,,,,,,,,,,,,,,,,,,,,q,1,0.601290941238,None,0,4.0,,,,,,,,,,,,,,,,,,,,,,,,3.99,0.511950969696,0.00122308731079,0.601290941238,1,q,411.935453176,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015_Jun_17_1555,60.0997864993,LearningTask,,989,
-200,a,-200,,,,,,,,,,,,,,,,,0,0,0,0,20,3,83,3,,,,,,,,,,,,,,,,,,,,,,a,1,0.500920057297,None,0,1.0,,,,,,,,,,,,,,,,,,,,,,,,0.82,0.51181602478,0.00127291679382,0.500920057297,1,a,414.934954166,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015_Jun_17_1555,60.0997864993,LearningTask,,989,
200,w,200,,,,,,,,,,,,,,,,,0,0,0,0,21,0,84,0,,,,,,,,,,,,,,,,,,,,,,w,1,0.367660999298,None,0,4.0,,,,,,,,,,,,,,,,,,,,,,,,3.84,0.513037919998,0.0011088848114,0.367660999298,1,w,417.935917139,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015_Jun_17_1555,60.0997864993,LearningTask,,989,
-200,q,200,,,,,,,,,,,,,,,,,0,0,0,0,21,1,85,1,,,,,,,,,,,,,,,,,,,,,,q,1,0.567534923553,None,0,2.0,,,,,,,,,,,,,,,,,,,,,,,,1.9,0.512022972107,0.00234484672546,0.567534923553,1,q,420.935600996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015_Jun_17_1555,60.0997864993,LearningTask,,989,
-200,q,200,,,,,,,,,,,,,,,,,0,0,0,0,21,2,86,1,,,,,,,,,,,,,,,,,,,,,,q,1,0.617758989334,None,0,0.5,,,,,,,,,,,,,,,,,,,,,,,,0.73,0.512612104416,0.0020170211792,0.617758989334,1,q,423.936475992,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015_Jun_17_1555,60.0997864993,LearningTask,,989,
200,w,200,,,,,,,,,,,,,,,,,0,0,0,0,21,3,87,0,,,,,,,,,,,,,,,,,,,,,,w,1,0.71744799614,None,0,2.0,,,,,,,,,,,,,,,,,,,,,,,,2.17,0.511838912964,0.00124001502991,0.71744799614,1,w,426.936589003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015_Jun_17_1555,60.0997864993,LearningTask,,989,
200,w,200,,,,,,,,,,,,,,,,,0,0,0,0,22,0,88,0,,,,,,,,,,,,,,,,,,,,,,w,1,0.567648887634,None,0,1.0,,,,,,,,,,,,,,,,,,,,,,,,0.78,0.51180100441,0.0012309551239,0.567648887634,1,w,429.936737061,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015_Jun_17_1555,60.0997864993,LearningTask,,989,
