corrGoResp,yPosGoStim,xPosGoStim,Blocks.thisRepN,Blocks.thisTrialN,Blocks.thisN,Blocks.thisIndex,StopBlocks.thisRepN,StopBlocks.thisTrialN,StopBlocks.thisN,StopBlocks.thisIndex,StopBlocks.thisTrial,StopTrials.thisRepN,StopTrials.thisTrialN,StopTrials.thisN,StopTrials.thisIndex,ok1.keys,ok1.rt,beginningSSD,trialType,goStim,goResp.keys,goResp.corr,goTrailCountOutput,goCumRTOutput,goRTCountOutput,stopTrialCountOutput,stopSuccessCountOutput,omissionCountOutput,commissionCountOutput,EndingSSD,goResp.rt,expName,gender (m/f),age,frameRate,session,date,participant,
,,,,,,,,,,,,,,,,space,0.368318080902,,,,,,,,,,,,,,,LearningTask,,,59.7707386866,3,2015_Mar_31_1509,2093,
m,0,200,,,,,0,0,0,0,None,0,0,0,1,,,0.25,stop,invertedtriangleyellow.gif,None,0,0,0,0,1,1,0,0,0.3,,LearningTask,,,59.7707386866,3,2015_Mar_31_1509,2093,
m,0,200,,,,,0,0,0,0,None,0,1,1,1,,,0.3,stop,lineblue.gif,m,1,0,0,0,2,1,0,0,0.25,0.43358707428,LearningTask,,,59.7707386866,3,2015_Mar_31_1509,2093,
z,0,-200,,,,,0,0,0,0,None,1,0,2,0,,,0.25,stop,invertedtriangleyellow.gif,z,1,0,0,0,3,1,0,0,0.2,0.517483949661,LearningTask,,,59.7707386866,3,2015_Mar_31_1509,2093,
m,0,200,,,,,0,0,0,0,None,1,1,3,1,,,-1,go,crossorange.gif,m,1,1,0.467351913452,1,3,1,0,0,-1,0.467351913452,LearningTask,,,59.7707386866,3,2015_Mar_31_1509,2093,
m,0,200,,,,,0,0,0,0,None,2,0,4,1,,,-1,go,squarecyan.gif,z,0,2,0.467351913452,1,3,1,0,1,-1,0.420788049698,LearningTask,,,59.7707386866,3,2015_Mar_31_1509,2093,
m,0,200,,,,,0,0,0,0,None,2,1,5,1,,,-1,go,squarecyan.gif,m,1,3,0.86798787117,2,3,1,0,1,-1,0.400635957718,LearningTask,,,59.7707386866,3,2015_Mar_31_1509,2093,
z,0,-200,,,,,0,0,0,0,None,3,0,6,0,,,-1,go,squarecyan.gif,z,1,4,1.45217180252,3,3,1,0,1,-1,0.584183931351,LearningTask,,,59.7707386866,3,2015_Mar_31_1509,2093,
m,0,200,,,,,0,0,0,0,None,3,1,7,1,,,-1,go,crossorange.gif,m,1,5,2.00314497948,4,3,1,0,1,-1,0.550973176956,LearningTask,,,59.7707386866,3,2015_Mar_31_1509,2093,
z,0,-200,,,,,0,0,0,0,None,4,0,8,0,,,0.2,stop,lineblue.gif,m,0,5,2.00314497948,4,4,1,0,1,0.15,0.868073940277,LearningTask,,,59.7707386866,3,2015_Mar_31_1509,2093,
z,0,-200,,,,,0,0,0,0,None,4,1,9,0,,,0.15,stop,invertedtriangleyellow.gif,None,0,5,2.00314497948,4,5,2,0,1,0.2,,LearningTask,,,59.7707386866,3,2015_Mar_31_1509,2093,
z,0,-200,,,,,0,0,0,0,None,5,0,10,0,,,-1,go,trianglegreen.gif,None,0,6,2.00314497948,4,5,2,1,2,-1,,LearningTask,,,59.7707386866,3,2015_Mar_31_1509,2093,
m,0,200,,,,,0,0,0,0,None,5,1,11,1,,,0.25,stop,lineblue.gif,None,0,6,2.00314497948,4,6,3,1,2,0.3,,LearningTask,,,59.7707386866,3,2015_Mar_31_1509,2093,
z,0,-200,,,,,0,0,0,0,None,6,0,12,0,,,0.2,stop,circlegray.gif,None,0,6,2.00314497948,4,7,4,1,2,0.25,,LearningTask,,,59.7707386866,3,2015_Mar_31_1509,2093,
z,0,-200,,,,,0,0,0,0,None,6,1,13,0,,,-1,go,squarecyan.gif,None,0,7,2.00314497948,4,7,4,2,3,-1,,LearningTask,,,59.7707386866,3,2015_Mar_31_1509,2093,
m,0,200,,,,,0,0,0,0,None,7,0,14,1,,,-1,go,diamondwhite.gif,None,0,8,2.00314497948,4,7,4,3,4,-1,,LearningTask,,,59.7707386866,3,2015_Mar_31_1509,2093,
z,0,-200,,,,,0,0,0,0,None,7,1,15,0,,,-1,go,crossorange.gif,None,0,9,2.00314497948,4,7,4,4,5,-1,,LearningTask,,,59.7707386866,3,2015_Mar_31_1509,2093,
m,0,200,,,,,0,0,0,0,None,8,0,16,1,,,0.3,stop,hexagonmagenta.gif,None,0,9,2.00314497948,4,8,5,4,5,0.35,,LearningTask,,,59.7707386866,3,2015_Mar_31_1509,2093,
m,0,200,,,,,0,0,0,0,None,8,1,17,1,,,-1,go,squarecyan.gif,None,0,10,2.00314497948,4,8,5,5,6,-1,,LearningTask,,,59.7707386866,3,2015_Mar_31_1509,2093,
z,0,-200,,,,,0,0,0,0,None,9,0,18,0,,,-1,go,diamondwhite.gif,None,0,11,2.00314497948,4,8,5,6,7,-1,,LearningTask,,,59.7707386866,3,2015_Mar_31_1509,2093,
z,0,-200,,,,,0,0,0,0,None,9,1,19,0,,,-1,go,lineblue.gif,None,0,12,2.00314497948,4,8,5,7,8,-1,,LearningTask,,,59.7707386866,3,2015_Mar_31_1509,2093,
