corrGoResp,yPosGoStim,xPosGoStim,Blocks.thisRepN,Blocks.thisTrialN,Blocks.thisN,Blocks.thisIndex,StopBlocks.thisRepN,StopBlocks.thisTrialN,StopBlocks.thisN,StopBlocks.thisIndex,StopBlocks.thisTrial,StopTrials.thisRepN,StopTrials.thisTrialN,StopTrials.thisN,StopTrials.thisIndex,ok1.keys,ok1.rt,beginningSSD,trialType,goStim,goResp.keys,goResp.corr,goResp.rt,EndingSSD,expName,gender (m/f),age,frameRate,session,date,participant,
,,,,,,,,,,,,,,,,space,0.46879696846,,,,,,,,LearningTask,,,59.9121238266,3,2015_Mar_31_1350,3070,
m,0,200,,,,,0,0,0,0,None,0,0,0,1,,,0.25,stop,triangleyellow.gif,m,1,0.36741399765,0.2,LearningTask,,,59.9121238266,3,2015_Mar_31_1350,3070,
z,0,-200,,,,,0,0,0,0,None,0,1,1,0,,,-1,go,invertedtrianglegray.gif,z,1,0.28410577774,-1,LearningTask,,,59.9121238266,3,2015_Mar_31_1350,3070,
z,0,-200,,,,,0,0,0,0,None,1,0,2,0,,,-1,go,hexagonmagenta.gif,z,1,0.317537069321,-1,LearningTask,,,59.9121238266,3,2015_Mar_31_1350,3070,
m,0,200,,,,,0,0,0,0,None,1,1,3,1,,,0.2,stop,squarecyan.gif,m,1,0.283954143524,0.15,LearningTask,,,59.9121238266,3,2015_Mar_31_1350,3070,
m,0,200,,,,,0,0,0,0,None,2,0,4,1,,,-1,go,hexagonmagenta.gif,m,1,0.317403793335,-1,LearningTask,,,59.9121238266,3,2015_Mar_31_1350,3070,
z,0,-200,,,,,0,0,0,0,None,2,1,5,0,,,-1,go,invertedtrianglegray.gif,z,1,0.30073094368,-1,LearningTask,,,59.9121238266,3,2015_Mar_31_1350,3070,
m,0,200,,,,,0,0,0,0,None,3,0,6,1,,,0.15,stop,squarecyan.gif,m,1,0.317436933517,0.1,LearningTask,,,59.9121238266,3,2015_Mar_31_1350,3070,
m,0,200,,,,,0,0,0,0,None,3,1,7,1,,,-1,go,diamondwhite.gif,m,1,0.334063053131,-1,LearningTask,,,59.9121238266,3,2015_Mar_31_1350,3070,
z,0,-200,,,,,0,0,0,0,None,4,0,8,0,,,-1,go,hexagonmagenta.gif,z,1,0.350674152374,-1,LearningTask,,,59.9121238266,3,2015_Mar_31_1350,3070,
