xPos,corrAns,yPos,practiceTrials.thisRepN,practiceTrials.thisTrialN,practiceTrials.thisN,practiceTrials.thisIndex,ReDoLoop.thisRepN,ReDoLoop.thisTrialN,ReDoLoop.thisN,ReDoLoop.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,ReDoLoopMain.thisRepN,ReDoLoopMain.thisTrialN,ReDoLoopMain.thisN,ReDoLoopMain.thisIndex,ok1.keys,ok1.rt,resp.keys,resp.corr,resp.rt,expName,gender (m/f),age,frameRate,session,date,participant,
,,,,,,,,,,,,,,,,,,,space,0.377115011215,,,,LearningTask,,,59.9714034064,3,2015_Mar_18_1604,570,
200,y,200,0,0,0,0,0,0,0,0,,,,,,,,,,,y,1,0.334356069565,LearningTask,,,59.9714034064,3,2015_Mar_18_1604,570,
200,y,200,0,0,0,0,1,0,1,0,,,,,,,,,,,y,1,0.55118393898,LearningTask,,,59.9714034064,3,2015_Mar_18_1604,570,
200,y,200,0,0,0,0,,,,,,,,,,,,,,,,,,LearningTask,,,59.9714034064,3,2015_Mar_18_1604,570,
200,h,-200,0,1,1,2,0,0,0,0,,,,,,,,,,,h,1,0.634896039963,LearningTask,,,59.9714034064,3,2015_Mar_18_1604,570,
200,h,-200,0,1,1,2,,,,,,,,,,,,,,,,,,LearningTask,,,59.9714034064,3,2015_Mar_18_1604,570,
-200,g,-200,0,2,2,3,0,0,0,0,,,,,,,,,,,g,1,0.501197099686,LearningTask,,,59.9714034064,3,2015_Mar_18_1604,570,
-200,g,-200,0,2,2,3,,,,,,,,,,,,,,,,,,LearningTask,,,59.9714034064,3,2015_Mar_18_1604,570,
-200,t,200,0,3,3,1,0,0,0,0,,,,,,,,,,,t,1,0.367686986923,LearningTask,,,59.9714034064,3,2015_Mar_18_1604,570,
-200,t,200,0,3,3,1,,,,,,,,,,,,,,,,,,LearningTask,,,59.9714034064,3,2015_Mar_18_1604,570,
200,y,200,,,,,,,,,0,0,0,0,0,0,0,0,,,y,1,0.384397983551,LearningTask,,,59.9714034064,3,2015_Mar_18_1604,570,
200,y,200,,,,,,,,,0,0,0,0,,,,,,,,,,LearningTask,,,59.9714034064,3,2015_Mar_18_1604,570,
-200,g,-200,,,,,,,,,0,1,1,3,0,0,0,0,,,g,1,0.450946807861,LearningTask,,,59.9714034064,3,2015_Mar_18_1604,570,
-200,g,-200,,,,,,,,,0,1,1,3,,,,,,,,,,LearningTask,,,59.9714034064,3,2015_Mar_18_1604,570,
200,h,-200,,,,,,,,,0,2,2,2,0,0,0,0,,,h,1,0.334066152573,LearningTask,,,59.9714034064,3,2015_Mar_18_1604,570,
200,h,-200,,,,,,,,,0,2,2,2,,,,,,,,,,LearningTask,,,59.9714034064,3,2015_Mar_18_1604,570,
-200,t,200,,,,,,,,,0,3,3,1,0,0,0,0,,,y,0,0.451256990433,LearningTask,,,59.9714034064,3,2015_Mar_18_1604,570,
-200,t,200,,,,,,,,,0,3,3,1,,,,,,,,,,LearningTask,,,59.9714034064,3,2015_Mar_18_1604,570,
