corrGoResp,yPosGoStim,xPosGoStim,Blocks.thisRepN,Blocks.thisTrialN,Blocks.thisN,Blocks.thisIndex,StopBlocks.thisRepN,StopBlocks.thisTrialN,StopBlocks.thisN,StopBlocks.thisIndex,StopBlocks.thisTrial,StopTrials.thisRepN,StopTrials.thisTrialN,StopTrials.thisN,StopTrials.thisIndex,ok1.keys,ok1.rt,beginningSSD,trialType,goStim,goResp.keys,goResp.corr,goResp.rt,EndingSSD,expName,gender (m/f),age,frameRate,session,date,participant,
,,,,,,,,,,,,,,,,space,1.83894205093,,,,,,,,LearningTask,,,59.9854695232,3,2015_Mar_31_1409,3080,
z,0,-200,,,,,0,0,0,0,None,0,0,0,0,,,-1,go,squareblue.gif,z,1,0.417861938477,-1,LearningTask,,,59.9854695232,3,2015_Mar_31_1409,3080,
m,0,200,,,,,0,0,0,0,None,0,1,1,1,,,-1,go,squareblue.gif,m,1,0.405298948288,-1,LearningTask,,,59.9854695232,3,2015_Mar_31_1409,3080,
m,0,200,,,,,0,0,0,0,None,1,0,2,1,,,-1,go,squareblue.gif,m,1,0.450762033463,-1,LearningTask,,,59.9854695232,3,2015_Mar_31_1409,3080,
m,0,200,,,,,0,0,0,0,None,1,1,3,1,,,0.25,stop,circlemagenta.gif,m,1,0.818161964417,0.2,LearningTask,,,59.9854695232,3,2015_Mar_31_1409,3080,
m,0,200,,,,,0,0,0,0,None,2,0,4,1,,,0.2,stop,linewhite.gif,None,0,,0.25,LearningTask,,,59.9854695232,3,2015_Mar_31_1409,3080,
m,0,200,,,,,0,0,0,0,None,2,1,5,1,,,-1,go,crossgreen.gif,None,0,,-1,LearningTask,,,59.9854695232,3,2015_Mar_31_1409,3080,
m,0,200,,,,,0,0,0,0,None,3,0,6,1,,,0.25,stop,hexagonyellow.gif,None,0,,0.3,LearningTask,,,59.9854695232,3,2015_Mar_31_1409,3080,
m,0,200,,,,,0,0,0,0,None,3,1,7,1,,,0.3,stop,invertedtrianglecyan.gif,None,0,,0.35,LearningTask,,,59.9854695232,3,2015_Mar_31_1409,3080,
m,0,200,,,,,0,0,0,0,None,4,0,8,1,,,-1,go,trianglegray.gif,None,0,,-1,LearningTask,,,59.9854695232,3,2015_Mar_31_1409,3080,
z,0,-200,,,,,0,0,0,0,None,4,1,9,0,,,-1,go,hexagonyellow.gif,None,0,,-1,LearningTask,,,59.9854695232,3,2015_Mar_31_1409,3080,
z,0,-200,,,,,0,0,0,0,None,5,0,10,0,,,-1,go,linewhite.gif,None,0,,-1,LearningTask,,,59.9854695232,3,2015_Mar_31_1409,3080,
z,0,-200,,,,,0,0,0,0,None,5,1,11,0,,,-1,go,squareblue.gif,None,0,,-1,LearningTask,,,59.9854695232,3,2015_Mar_31_1409,3080,
m,0,200,,,,,0,0,0,0,None,6,0,12,1,,,0.35,stop,circlemagenta.gif,None,0,,0.4,LearningTask,,,59.9854695232,3,2015_Mar_31_1409,3080,
z,0,-200,,,,,0,0,0,0,None,6,1,13,0,,,-1,go,crossgreen.gif,None,0,,-1,LearningTask,,,59.9854695232,3,2015_Mar_31_1409,3080,
m,0,200,,,,,0,0,0,0,None,7,0,14,1,,,0.4,stop,circlemagenta.gif,None,0,,0.45,LearningTask,,,59.9854695232,3,2015_Mar_31_1409,3080,
z,0,-200,,,,,0,0,0,0,None,7,1,15,0,,,-1,go,circlemagenta.gif,None,0,,-1,LearningTask,,,59.9854695232,3,2015_Mar_31_1409,3080,
z,0,-200,,,,,0,0,0,0,None,8,0,16,0,,,0.25,stop,hexagonyellow.gif,None,0,,0.3,LearningTask,,,59.9854695232,3,2015_Mar_31_1409,3080,
z,0,-200,,,,,0,0,0,0,None,8,1,17,0,,,0.3,stop,linewhite.gif,None,0,,0.35,LearningTask,,,59.9854695232,3,2015_Mar_31_1409,3080,
z,0,-200,,,,,0,0,0,0,None,9,0,18,0,,,0.35,stop,linewhite.gif,None,0,,0.4,LearningTask,,,59.9854695232,3,2015_Mar_31_1409,3080,
z,0,-200,,,,,0,0,0,0,None,9,1,19,0,,,-1,go,crossgreen.gif,None,0,,-1,LearningTask,,,59.9854695232,3,2015_Mar_31_1409,3080,
m,0,200,,,,,0,0,0,0,None,10,0,20,1,,,0.45,stop,linewhite.gif,None,0,,0.5,LearningTask,,,59.9854695232,3,2015_Mar_31_1409,3080,
m,0,200,,,,,0,0,0,0,None,10,1,21,1,,,-1,go,diamondorange.gif,None,0,,-1,LearningTask,,,59.9854695232,3,2015_Mar_31_1409,3080,
z,0,-200,,,,,0,0,0,0,None,11,0,22,0,,,-1,go,crossgreen.gif,None,0,,-1,LearningTask,,,59.9854695232,3,2015_Mar_31_1409,3080,
z,0,-200,,,,,0,0,0,0,None,11,1,23,0,,,-1,go,diamondorange.gif,None,0,,-1,LearningTask,,,59.9854695232,3,2015_Mar_31_1409,3080,
m,0,200,,,,,0,0,0,0,None,12,0,24,1,,,0.5,stop,invertedtrianglecyan.gif,None,0,,0.55,LearningTask,,,59.9854695232,3,2015_Mar_31_1409,3080,
m,0,200,,,,,0,0,0,0,None,12,1,25,1,,,-1,go,crossgreen.gif,None,0,,-1,LearningTask,,,59.9854695232,3,2015_Mar_31_1409,3080,
m,0,200,,,,,0,0,0,0,None,13,0,26,1,,,0.55,stop,invertedtrianglecyan.gif,None,0,,0.6,LearningTask,,,59.9854695232,3,2015_Mar_31_1409,3080,
z,0,-200,,,,,0,0,0,0,None,13,1,27,0,,,-1,go,diamondorange.gif,None,0,,-1,LearningTask,,,59.9854695232,3,2015_Mar_31_1409,3080,
z,0,-200,,,,,0,0,0,0,None,14,0,28,0,,,0.4,stop,invertedtrianglecyan.gif,None,0,,0.45,LearningTask,,,59.9854695232,3,2015_Mar_31_1409,3080,
z,0,-200,,,,,0,0,0,0,None,14,1,29,0,,,0.45,stop,circlemagenta.gif,None,0,,0.5,LearningTask,,,59.9854695232,3,2015_Mar_31_1409,3080,
z,0,-200,,,,,0,0,0,0,None,15,0,30,0,,,-1,go,squareblue.gif,None,0,,-1,LearningTask,,,59.9854695232,3,2015_Mar_31_1409,3080,
m,0,200,,,,,0,0,0,0,None,15,1,31,1,,,-1,go,diamondorange.gif,None,0,,-1,LearningTask,,,59.9854695232,3,2015_Mar_31_1409,3080,
m,0,200,,,,,0,0,0,0,None,16,0,32,1,,,-1,go,trianglegray.gif,None,0,,-1,LearningTask,,,59.9854695232,3,2015_Mar_31_1409,3080,
z,0,-200,,,,,0,0,0,0,None,16,1,33,0,,,0.5,stop,invertedtrianglecyan.gif,z,1,0.934466123581,0.45,LearningTask,,,59.9854695232,3,2015_Mar_31_1409,3080,
