xPos,corrAns,yPos,practiceTrials.thisRepN,practiceTrials.thisTrialN,practiceTrials.thisN,practiceTrials.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,ok1.keys,ok1.rt,resp.keys,resp.corr,resp.rt,expName,gender (m/f),age,frameRate,session,date,participant,
,,,,,,,,,,,space,3.77086806297,,,,LearningTask,,,59.9354961325,3,2015_Mar_05_1425,81,
200,y,200,0,0,0,0,,,,,,,y,1,0.667739868164,LearningTask,,,59.9354961325,3,2015_Mar_05_1425,81,
200,h,-200,0,1,1,2,,,,,,,None,0,,LearningTask,,,59.9354961325,3,2015_Mar_05_1425,81,
-200,g,-200,0,2,2,3,,,,,,,None,0,,LearningTask,,,59.9354961325,3,2015_Mar_05_1425,81,
-200,t,200,0,3,3,1,,,,,,,None,0,,LearningTask,,,59.9354961325,3,2015_Mar_05_1425,81,
200,y,200,,,,,0,0,0,0,,,None,0,,LearningTask,,,59.9354961325,3,2015_Mar_05_1425,81,
200,h,-200,,,,,0,1,1,2,,,None,0,,LearningTask,,,59.9354961325,3,2015_Mar_05_1425,81,
-200,g,-200,,,,,0,2,2,3,,,None,0,,LearningTask,,,59.9354961325,3,2015_Mar_05_1425,81,
-200,t,200,,,,,0,3,3,1,,,None,0,,LearningTask,,,59.9354961325,3,2015_Mar_05_1425,81,
-200,g,-200,,,,,1,0,4,3,,,None,0,,LearningTask,,,59.9354961325,3,2015_Mar_05_1425,81,
200,y,200,,,,,1,1,5,0,,,None,0,,LearningTask,,,59.9354961325,3,2015_Mar_05_1425,81,
200,h,-200,,,,,1,2,6,2,,,None,0,,LearningTask,,,59.9354961325,3,2015_Mar_05_1425,81,
-200,t,200,,,,,1,3,7,1,,,None,0,,LearningTask,,,59.9354961325,3,2015_Mar_05_1425,81,
200,y,200,,,,,2,0,8,0,,,None,0,,LearningTask,,,59.9354961325,3,2015_Mar_05_1425,81,
200,h,-200,,,,,2,1,9,2,,,None,0,,LearningTask,,,59.9354961325,3,2015_Mar_05_1425,81,
-200,g,-200,,,,,2,2,10,3,,,None,0,,LearningTask,,,59.9354961325,3,2015_Mar_05_1425,81,
-200,t,200,,,,,2,3,11,1,,,None,0,,LearningTask,,,59.9354961325,3,2015_Mar_05_1425,81,
-200,g,-200,,,,,3,0,12,3,,,None,0,,LearningTask,,,59.9354961325,3,2015_Mar_05_1425,81,
-200,t,200,,,,,3,1,13,1,,,None,0,,LearningTask,,,59.9354961325,3,2015_Mar_05_1425,81,
200,h,-200,,,,,3,2,14,2,,,None,0,,LearningTask,,,59.9354961325,3,2015_Mar_05_1425,81,
200,y,200,,,,,3,3,15,0,,,None,0,,LearningTask,,,59.9354961325,3,2015_Mar_05_1425,81,
-200,g,-200,,,,,4,0,16,3,,,None,0,,LearningTask,,,59.9354961325,3,2015_Mar_05_1425,81,
200,y,200,,,,,4,1,17,0,,,None,0,,LearningTask,,,59.9354961325,3,2015_Mar_05_1425,81,
-200,t,200,,,,,4,2,18,1,,,None,0,,LearningTask,,,59.9354961325,3,2015_Mar_05_1425,81,
200,h,-200,,,,,4,3,19,2,,,None,0,,LearningTask,,,59.9354961325,3,2015_Mar_05_1425,81,
200,y,200,,,,,5,0,20,0,,,None,0,,LearningTask,,,59.9354961325,3,2015_Mar_05_1425,81,
-200,t,200,,,,,5,1,21,1,,,None,0,,LearningTask,,,59.9354961325,3,2015_Mar_05_1425,81,
-200,g,-200,,,,,5,2,22,3,,,None,0,,LearningTask,,,59.9354961325,3,2015_Mar_05_1425,81,
200,h,-200,,,,,5,3,23,2,,,None,0,,LearningTask,,,59.9354961325,3,2015_Mar_05_1425,81,
200,y,200,,,,,6,0,24,0,,,None,0,,LearningTask,,,59.9354961325,3,2015_Mar_05_1425,81,
-200,g,-200,,,,,6,1,25,3,,,None,0,,LearningTask,,,59.9354961325,3,2015_Mar_05_1425,81,
200,h,-200,,,,,6,2,26,2,,,None,0,,LearningTask,,,59.9354961325,3,2015_Mar_05_1425,81,
-200,t,200,,,,,6,3,27,1,,,None,0,,LearningTask,,,59.9354961325,3,2015_Mar_05_1425,81,
-200,g,-200,,,,,7,0,28,3,,,None,0,,LearningTask,,,59.9354961325,3,2015_Mar_05_1425,81,
200,h,-200,,,,,7,1,29,2,,,None,0,,LearningTask,,,59.9354961325,3,2015_Mar_05_1425,81,
-200,t,200,,,,,7,2,30,1,,,None,0,,LearningTask,,,59.9354961325,3,2015_Mar_05_1425,81,
200,y,200,,,,,7,3,31,0,,,None,0,,LearningTask,,,59.9354961325,3,2015_Mar_05_1425,81,
200,y,200,,,,,8,0,32,0,,,None,0,,LearningTask,,,59.9354961325,3,2015_Mar_05_1425,81,
-200,g,-200,,,,,8,1,33,3,,,None,0,,LearningTask,,,59.9354961325,3,2015_Mar_05_1425,81,
200,h,-200,,,,,8,2,34,2,,,None,0,,LearningTask,,,59.9354961325,3,2015_Mar_05_1425,81,
-200,t,200,,,,,8,3,35,1,,,None,0,,LearningTask,,,59.9354961325,3,2015_Mar_05_1425,81,
200,y,200,,,,,9,0,36,0,,,None,0,,LearningTask,,,59.9354961325,3,2015_Mar_05_1425,81,
-200,t,200,,,,,9,1,37,1,,,None,0,,LearningTask,,,59.9354961325,3,2015_Mar_05_1425,81,
200,h,-200,,,,,9,2,38,2,,,None,0,,LearningTask,,,59.9354961325,3,2015_Mar_05_1425,81,
-200,g,-200,,,,,9,3,39,3,,,None,0,,LearningTask,,,59.9354961325,3,2015_Mar_05_1425,81,
