xPos,corrAns,yPos,practiceTrials.thisRepN,practiceTrials.thisTrialN,practiceTrials.thisN,practiceTrials.thisIndex,ReDoLoop.thisRepN,ReDoLoop.thisTrialN,ReDoLoop.thisN,ReDoLoop.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,ok1.keys,ok1.rt,resp.keys,resp.corr,resp.rt,expName,gender (m/f),age,frameRate,session,date,participant,
,,,,,,,,,,,,,,,space,0.838205099106,,,,LearningTask,,,59.8992896579,3,2015_Mar_18_1446,616,
200,y,200,0,0,0,0,0,0,0,0,,,,,,,h,0,0.417448997498,LearningTask,,,59.8992896579,3,2015_Mar_18_1446,616,
200,y,200,0,0,0,0,,,,,,,,,,,,,,LearningTask,,,59.8992896579,3,2015_Mar_18_1446,616,
-200,t,200,0,1,1,1,0,0,0,0,,,,,,,g,0,0.684445142746,LearningTask,,,59.8992896579,3,2015_Mar_18_1446,616,
-200,t,200,0,1,1,1,1,0,1,0,,,,,,,g,0,0.567848920822,LearningTask,,,59.8992896579,3,2015_Mar_18_1446,616,
-200,t,200,0,1,1,1,,,,,,,,,,,,,,LearningTask,,,59.8992896579,3,2015_Mar_18_1446,616,
200,h,-200,0,2,2,2,0,0,0,0,,,,,,,h,1,0.434553861618,LearningTask,,,59.8992896579,3,2015_Mar_18_1446,616,
200,h,-200,0,2,2,2,1,0,1,0,,,,,,,h,1,0.651340961456,LearningTask,,,59.8992896579,3,2015_Mar_18_1446,616,
200,h,-200,0,2,2,2,2,0,2,0,,,,,,,h,1,0.534251928329,LearningTask,,,59.8992896579,3,2015_Mar_18_1446,616,
200,h,-200,0,2,2,2,3,0,3,0,,,,,,,h,1,0.667892932892,LearningTask,,,59.8992896579,3,2015_Mar_18_1446,616,
200,h,-200,0,2,2,2,,,,,,,,,,,,,,LearningTask,,,59.8992896579,3,2015_Mar_18_1446,616,
-200,g,-200,0,3,3,3,0,0,0,0,,,,,,,g,1,0.60116314888,LearningTask,,,59.8992896579,3,2015_Mar_18_1446,616,
-200,g,-200,0,3,3,3,,,,,,,,,,,,,,LearningTask,,,59.8992896579,3,2015_Mar_18_1446,616,
200,y,200,,,,,,,,,0,0,0,0,,,h,0,0.617588996887,LearningTask,,,59.8992896579,3,2015_Mar_18_1446,616,
-200,t,200,,,,,,,,,0,1,1,1,,,g,0,0.817849874496,LearningTask,,,59.8992896579,3,2015_Mar_18_1446,616,
200,h,-200,,,,,,,,,0,2,2,2,,,y,0,0.634716033936,LearningTask,,,59.8992896579,3,2015_Mar_18_1446,616,
-200,g,-200,,,,,,,,,0,3,3,3,,,t,0,0.667623996735,LearningTask,,,59.8992896579,3,2015_Mar_18_1446,616,
-200,g,-200,,,,,,,,,1,0,4,3,,,t,0,0.617962837219,LearningTask,,,59.8992896579,3,2015_Mar_18_1446,616,
200,h,-200,,,,,,,,,1,1,5,2,,,y,0,0.601301193237,LearningTask,,,59.8992896579,3,2015_Mar_18_1446,616,
-200,t,200,,,,,,,,,1,2,6,1,,,g,0,0.735093832016,LearningTask,,,59.8992896579,3,2015_Mar_18_1446,616,
200,y,200,,,,,,,,,1,3,7,0,,,y,1,0.417957782745,LearningTask,,,59.8992896579,3,2015_Mar_18_1446,616,
200,y,200,,,,,,,,,2,0,8,0,,,y,1,0.467907905579,LearningTask,,,59.8992896579,3,2015_Mar_18_1446,616,
-200,t,200,,,,,,,,,2,1,9,1,,,t,1,0.635128974915,LearningTask,,,59.8992896579,3,2015_Mar_18_1446,616,
200,h,-200,,,,,,,,,2,2,10,2,,,h,1,0.567492008209,LearningTask,,,59.8992896579,3,2015_Mar_18_1446,616,
-200,g,-200,,,,,,,,,2,3,11,3,,,t,0,0.501397848129,LearningTask,,,59.8992896579,3,2015_Mar_18_1446,616,
-200,t,200,,,,,,,,,3,0,12,1,,,g,0,0.83526802063,LearningTask,,,59.8992896579,3,2015_Mar_18_1446,616,
200,y,200,,,,,,,,,3,1,13,0,,,y,1,0.451002836227,LearningTask,,,59.8992896579,3,2015_Mar_18_1446,616,
-200,g,-200,,,,,,,,,3,2,14,3,,,g,1,0.534158945084,LearningTask,,,59.8992896579,3,2015_Mar_18_1446,616,
200,h,-200,,,,,,,,,3,3,15,2,,,y,0,0.618407011032,LearningTask,,,59.8992896579,3,2015_Mar_18_1446,616,
-200,t,200,,,,,,,,,4,0,16,1,,,None,0,,LearningTask,,,59.8992896579,3,2015_Mar_18_1446,616,
-200,g,-200,,,,,,,,,4,1,17,3,,,g,1,0.567826986313,LearningTask,,,59.8992896579,3,2015_Mar_18_1446,616,
200,y,200,,,,,,,,,4,2,18,0,,,y,1,0.701294183731,LearningTask,,,59.8992896579,3,2015_Mar_18_1446,616,
200,h,-200,,,,,,,,,4,3,19,2,,,h,1,0.95167016983,LearningTask,,,59.8992896579,3,2015_Mar_18_1446,616,
200,h,-200,,,,,,,,,5,0,20,2,,,h,1,0.635038852692,LearningTask,,,59.8992896579,3,2015_Mar_18_1446,616,
-200,t,200,,,,,,,,,5,1,21,1,,,t,1,0.467561006546,LearningTask,,,59.8992896579,3,2015_Mar_18_1446,616,
200,y,200,,,,,,,,,5,2,22,0,,,y,1,0.400779008865,LearningTask,,,59.8992896579,3,2015_Mar_18_1446,616,
-200,g,-200,,,,,,,,,5,3,23,3,,,g,1,0.551220178604,LearningTask,,,59.8992896579,3,2015_Mar_18_1446,616,
-200,t,200,,,,,,,,,6,0,24,1,,,t,1,0.484040021896,LearningTask,,,59.8992896579,3,2015_Mar_18_1446,616,
200,h,-200,,,,,,,,,6,1,25,2,,,h,1,0.551182031631,LearningTask,,,59.8992896579,3,2015_Mar_18_1446,616,
200,y,200,,,,,,,,,6,2,26,0,,,y,1,0.601373910904,LearningTask,,,59.8992896579,3,2015_Mar_18_1446,616,
-200,g,-200,,,,,,,,,6,3,27,3,,,g,1,0.517897129059,LearningTask,,,59.8992896579,3,2015_Mar_18_1446,616,
200,h,-200,,,,,,,,,7,0,28,2,,,h,1,0.484158039093,LearningTask,,,59.8992896579,3,2015_Mar_18_1446,616,
-200,g,-200,,,,,,,,,7,1,29,3,,,g,1,0.484666824341,LearningTask,,,59.8992896579,3,2015_Mar_18_1446,616,
200,y,200,,,,,,,,,7,2,30,0,,,y,1,0.567935943604,LearningTask,,,59.8992896579,3,2015_Mar_18_1446,616,
-200,t,200,,,,,,,,,7,3,31,1,,,g,0,0.634902954102,LearningTask,,,59.8992896579,3,2015_Mar_18_1446,616,
200,y,200,,,,,,,,,8,0,32,0,,,h,0,0.68492603302,LearningTask,,,59.8992896579,3,2015_Mar_18_1446,616,
200,h,-200,,,,,,,,,8,1,33,2,,,h,1,0.651473045349,LearningTask,,,59.8992896579,3,2015_Mar_18_1446,616,
-200,t,200,,,,,,,,,8,2,34,1,,,t,1,0.718092918396,LearningTask,,,59.8992896579,3,2015_Mar_18_1446,616,
-200,g,-200,,,,,,,,,8,3,35,3,,,g,1,0.668266057968,LearningTask,,,59.8992896579,3,2015_Mar_18_1446,616,
-200,g,-200,,,,,,,,,9,0,36,3,,,g,1,0.551415920258,LearningTask,,,59.8992896579,3,2015_Mar_18_1446,616,
