xPos,corrAns,yPos,practiceTrials.thisRepN,practiceTrials.thisTrialN,practiceTrials.thisN,practiceTrials.thisIndex,ReDoLoop.thisRepN,ReDoLoop.thisTrialN,ReDoLoop.thisN,ReDoLoop.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,ReDoLoopMain.thisRepN,ReDoLoopMain.thisTrialN,ReDoLoopMain.thisN,ReDoLoopMain.thisIndex,ok1.keys,ok1.rt,resp.keys,resp.corr,resp.rt,expName,gender (m/f),age,frameRate,session,date,participant,
,,,,,,,,,,,,,,,,,,,space,0.0569097995758,,,,LearningTask,,,59.9222239049,3,2015_Mar_18_1616,285,
200,h,-200,0,0,0,2,0,0,0,0,,,,,,,,,,,h,1,0.301224946976,LearningTask,,,59.9222239049,3,2015_Mar_18_1616,285,
200,h,-200,0,0,0,2,,,,,,,,,,,,,,,,,,LearningTask,,,59.9222239049,3,2015_Mar_18_1616,285,
-200,t,200,0,1,1,1,0,0,0,0,,,,,,,,,,,t,1,0.300957918167,LearningTask,,,59.9222239049,3,2015_Mar_18_1616,285,
-200,t,200,0,1,1,1,,,,,,,,,,,,,,,,,,LearningTask,,,59.9222239049,3,2015_Mar_18_1616,285,
-200,g,-200,0,2,2,3,0,0,0,0,,,,,,,,,,,g,1,0.367631196976,LearningTask,,,59.9222239049,3,2015_Mar_18_1616,285,
-200,g,-200,0,2,2,3,,,,,,,,,,,,,,,,,,LearningTask,,,59.9222239049,3,2015_Mar_18_1616,285,
200,y,200,0,3,3,0,0,0,0,0,,,,,,,,,,,y,1,0.300785064697,LearningTask,,,59.9222239049,3,2015_Mar_18_1616,285,
200,y,200,0,3,3,0,,,,,,,,,,,,,,,,,,LearningTask,,,59.9222239049,3,2015_Mar_18_1616,285,
200,h,-200,,,,,,,,,0,0,0,2,0,0,0,0,,,h,1,0.300852060318,LearningTask,,,59.9222239049,3,2015_Mar_18_1616,285,
200,h,-200,,,,,,,,,0,0,0,2,,,,,,,,,,LearningTask,,,59.9222239049,3,2015_Mar_18_1616,285,
-200,g,-200,,,,,,,,,0,1,1,3,0,0,0,0,,,g,1,0.334032058716,LearningTask,,,59.9222239049,3,2015_Mar_18_1616,285,
-200,g,-200,,,,,,,,,0,1,1,3,,,,,,,,,,LearningTask,,,59.9222239049,3,2015_Mar_18_1616,285,
-200,t,200,,,,,,,,,0,2,2,1,0,0,0,0,,,t,1,0.35093998909,LearningTask,,,59.9222239049,3,2015_Mar_18_1616,285,
-200,t,200,,,,,,,,,0,2,2,1,,,,,,,,,,LearningTask,,,59.9222239049,3,2015_Mar_18_1616,285,
200,y,200,,,,,,,,,0,3,3,0,0,0,0,0,,,y,1,0.334164857864,LearningTask,,,59.9222239049,3,2015_Mar_18_1616,285,
200,y,200,,,,,,,,,0,3,3,0,,,,,,,,,,LearningTask,,,59.9222239049,3,2015_Mar_18_1616,285,
