color,congruent,word,corrAns,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,key_resp_2.keys,key_resp_2.rt,resp.keys,resp.corr,resp.rt,date,frameRate,expName,session,participant,
,,,,,,,,left,7.57709598541,,,,2014_Dec_02_1231,59.5432509054,stroopTest,001,1,
green,1,green,down,0,0,0,2,,,right,0,0.617336988449,2014_Dec_02_1231,59.5432509054,stroopTest,001,1,
green,0,red,down,0,1,1,1,,,down,1,0.701305866241,2014_Dec_02_1231,59.5432509054,stroopTest,001,1,
blue,0,green,right,0,2,2,3,,,right,1,0.566983938217,2014_Dec_02_1231,59.5432509054,stroopTest,001,1,
red,1,red,left,0,3,3,0,,,left,1,0.517302036285,2014_Dec_02_1231,59.5432509054,stroopTest,001,1,
blue,1,blue,right,0,4,4,4,,,right,1,0.579941987991,2014_Dec_02_1231,59.5432509054,stroopTest,001,1,
red,0,blue,left,0,5,5,5,,,left,1,0.784352064133,2014_Dec_02_1231,59.5432509054,stroopTest,001,1,
green,1,green,down,1,0,6,2,,,down,1,0.494254827499,2014_Dec_02_1231,59.5432509054,stroopTest,001,1,
blue,0,green,right,1,1,7,3,,,right,1,0.576417922974,2014_Dec_02_1231,59.5432509054,stroopTest,001,1,
red,0,blue,left,1,2,8,5,,,left,1,0.507225990295,2014_Dec_02_1231,59.5432509054,stroopTest,001,1,
green,0,red,down,1,3,9,1,,,down,1,0.442219018936,2014_Dec_02_1231,59.5432509054,stroopTest,001,1,
red,1,red,left,1,4,10,0,,,left,1,0.590645074844,2014_Dec_02_1231,59.5432509054,stroopTest,001,1,
blue,1,blue,right,1,5,11,4,,,right,1,0.533946037292,2014_Dec_02_1231,59.5432509054,stroopTest,001,1,
red,0,blue,left,2,0,12,5,,,down,0,0.753659009933,2014_Dec_02_1231,59.5432509054,stroopTest,001,1,
blue,1,blue,right,2,1,13,4,,,right,1,0.954397916794,2014_Dec_02_1231,59.5432509054,stroopTest,001,1,
red,1,red,left,2,2,14,0,,,left,1,0.567546129227,2014_Dec_02_1231,59.5432509054,stroopTest,001,1,
green,1,green,down,2,3,15,2,,,down,1,0.401804924011,2014_Dec_02_1231,59.5432509054,stroopTest,001,1,
green,0,red,down,2,4,16,1,,,left,0,0.667742967606,2014_Dec_02_1231,59.5432509054,stroopTest,001,1,
blue,0,green,right,2,5,17,3,,,right,1,0.667885065079,2014_Dec_02_1231,59.5432509054,stroopTest,001,1,
red,0,blue,left,3,0,18,5,,,left,1,0.517497062683,2014_Dec_02_1231,59.5432509054,stroopTest,001,1,
green,1,green,down,3,1,19,2,,,down,1,0.433762073517,2014_Dec_02_1231,59.5432509054,stroopTest,001,1,
red,1,red,left,3,2,20,0,,,left,1,0.636666059494,2014_Dec_02_1231,59.5432509054,stroopTest,001,1,
blue,0,green,right,3,3,21,3,,,right,1,0.535470962524,2014_Dec_02_1231,59.5432509054,stroopTest,001,1,
green,0,red,down,3,4,22,1,,,down,1,0.599118947983,2014_Dec_02_1231,59.5432509054,stroopTest,001,1,
blue,1,blue,right,3,5,23,4,,,right,1,0.53663611412,2014_Dec_02_1231,59.5432509054,stroopTest,001,1,
green,1,green,down,4,0,24,2,,,down,1,0.445158004761,2014_Dec_02_1231,59.5432509054,stroopTest,001,1,
green,0,red,down,4,1,25,1,,,down,1,0.497286081314,2014_Dec_02_1231,59.5432509054,stroopTest,001,1,
blue,1,blue,right,4,2,26,4,,,right,1,0.446496963501,2014_Dec_02_1231,59.5432509054,stroopTest,001,1,
blue,0,green,right,4,3,27,3,,,right,1,0.711795091629,2014_Dec_02_1231,59.5432509054,stroopTest,001,1,
red,1,red,left,4,4,28,0,,,left,1,0.578337907791,2014_Dec_02_1231,59.5432509054,stroopTest,001,1,
red,0,blue,left,4,5,29,5,,,left,1,0.577903985977,2014_Dec_02_1231,59.5432509054,stroopTest,001,1,
