xPos,corrAns,yPos,practiceTrials.thisRepN,practiceTrials.thisTrialN,practiceTrials.thisN,practiceTrials.thisIndex,ReDoLoop.thisRepN,ReDoLoop.thisTrialN,ReDoLoop.thisN,ReDoLoop.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,ReDoLoopMain.thisRepN,ReDoLoopMain.thisTrialN,ReDoLoopMain.thisN,ReDoLoopMain.thisIndex,ReDoLoopMain.thisTrial,ok1.keys,ok1.rt,resp.keys,resp.corr,resp.rt,expName,gender (m/f),age,frameRate,session,date,participant,
,,,,,,,,,,,,,,,,,,,,space,0.494395971298,,,,LearningTask,,,59.8949272931,3,2015_Mar_18_1524,641,
200,y,200,0,0,0,0,0,0,0,0,,,,,,,,,,,,y,1,0.384199142456,LearningTask,,,59.8949272931,3,2015_Mar_18_1524,641,
200,y,200,0,0,0,0,,,,,,,,,,,,,,,,,,,LearningTask,,,59.8949272931,3,2015_Mar_18_1524,641,
-200,t,200,0,1,1,1,0,0,0,0,,,,,,,,,,,,t,1,0.250638008118,LearningTask,,,59.8949272931,3,2015_Mar_18_1524,641,
-200,t,200,0,1,1,1,,,,,,,,,,,,,,,,,,,LearningTask,,,59.8949272931,3,2015_Mar_18_1524,641,
200,h,-200,0,2,2,2,0,0,0,0,,,,,,,,,,,,h,1,0.334378957748,LearningTask,,,59.8949272931,3,2015_Mar_18_1524,641,
200,h,-200,0,2,2,2,,,,,,,,,,,,,,,,,,,LearningTask,,,59.8949272931,3,2015_Mar_18_1524,641,
-200,g,-200,0,3,3,3,0,0,0,0,,,,,,,,,,,,g,1,0.384248018265,LearningTask,,,59.8949272931,3,2015_Mar_18_1524,641,
-200,g,-200,0,3,3,3,,,,,,,,,,,,,,,,,,,LearningTask,,,59.8949272931,3,2015_Mar_18_1524,641,
200,h,-200,1,0,4,2,0,0,0,0,,,,,,,,,,,,None,0,,LearningTask,,,59.8949272931,3,2015_Mar_18_1524,641,
200,h,-200,1,0,4,2,,,,,,,,,,,,,,,,,,,LearningTask,,,59.8949272931,3,2015_Mar_18_1524,641,
-200,t,200,1,1,5,1,0,0,0,0,,,,,,,,,,,,t,1,0.517755031586,LearningTask,,,59.8949272931,3,2015_Mar_18_1524,641,
-200,t,200,1,1,5,1,1,0,1,0,,,,,,,,,,,,t,1,0.467396020889,LearningTask,,,59.8949272931,3,2015_Mar_18_1524,641,
-200,t,200,1,1,5,1,,,,,,,,,,,,,,,,,,,LearningTask,,,59.8949272931,3,2015_Mar_18_1524,641,
200,y,200,1,2,6,0,0,0,0,0,,,,,,,,,,,,h,0,0.434038162231,LearningTask,,,59.8949272931,3,2015_Mar_18_1524,641,
200,y,200,1,2,6,0,,,,,,,,,,,,,,,,,,,LearningTask,,,59.8949272931,3,2015_Mar_18_1524,641,
-200,g,-200,1,3,7,3,0,0,0,0,,,,,,,,,,,,g,1,0.501441001892,LearningTask,,,59.8949272931,3,2015_Mar_18_1524,641,
-200,g,-200,1,3,7,3,1,0,1,0,,,,,,,,,,,,t,0,0.384435892105,LearningTask,,,59.8949272931,3,2015_Mar_18_1524,641,
-200,g,-200,1,3,7,3,,,,,,,,,,,,,,,,,,,LearningTask,,,59.8949272931,3,2015_Mar_18_1524,641,
