corrGoResp,yPosGoStim,xPosGoStim,Blocks.thisRepN,Blocks.thisTrialN,Blocks.thisN,Blocks.thisIndex,StopBlocks.thisRepN,StopBlocks.thisTrialN,StopBlocks.thisN,StopBlocks.thisIndex,StopBlocks.thisTrial,StopTrials.thisRepN,StopTrials.thisTrialN,StopTrials.thisN,StopTrials.thisIndex,ok1.keys,ok1.rt,beginningSSD,trialType,goStim,goResp.keys,goResp.corr,goResp.rt,goTrailCountOutput,goCumRTOutput,goRTCountOutput,stopTrialCountOutput,stopSuccessCountOutput,omissionCountOutput,commissionCountOutput,EndingSSD,expName,gender (m/f),age,frameRate,session,date,participant,
,,,,,,,,,,,,,,,,space,0.750132083893,,,,,,,,,,,,,,,LearningTask,,,60.0557272173,3,2015_Mar_31_1547,12309,
m,0,200,,,,,0,0,0,0,None,0,0,0,1,,,0.25,stop,linewhite.gif,m,1,0.367211103439,0,0,0,1,0,0,0,0.2,LearningTask,,,60.0557272173,3,2015_Mar_31_1547,12309,
z,0,-200,,,,,0,0,0,0,None,0,1,1,0,,,-1,go,diamondgray.gif,z,1,0.333945989609,1,0.333945989609,1,1,0,0,0,-1,LearningTask,,,60.0557272173,3,2015_Mar_31_1547,12309,
m,0,200,,,,,0,0,0,0,None,1,0,2,1,,,-1,go,crossorange.gif,m,1,0.350403785706,2,0.684349775314,2,1,0,0,0,-1,LearningTask,,,60.0557272173,3,2015_Mar_31_1547,12309,
z,0,-200,,,,,0,0,0,0,None,1,1,3,0,,,0.25,stop,diamondgray.gif,z,1,0.350306987762,2,0.684349775314,2,2,0,0,0,0.2,LearningTask,,,60.0557272173,3,2015_Mar_31_1547,12309,
m,0,200,,,,,0,0,0,0,None,2,0,4,1,,,-1,go,crossorange.gif,m,1,0.467255830765,3,1.15160560608,3,2,0,0,0,-1,LearningTask,,,60.0557272173,3,2015_Mar_31_1547,12309,
z,0,-200,,,,,0,0,0,0,None,2,1,5,0,,,-1,go,diamondgray.gif,m,0,0.384150028229,4,1.15160560608,3,2,0,0,1,-1,LearningTask,,,60.0557272173,3,2015_Mar_31_1547,12309,
m,0,200,,,,,0,0,0,0,None,3,0,6,1,,,0.2,stop,linewhite.gif,z,0,0.4007999897,4,1.15160560608,3,3,0,0,1,0.15,LearningTask,,,60.0557272173,3,2015_Mar_31_1547,12309,
z,0,-200,,,,,0,0,0,0,None,3,1,7,0,,,-1,go,linewhite.gif,m,0,0.333884000778,5,1.15160560608,3,3,0,0,2,-1,LearningTask,,,60.0557272173,3,2015_Mar_31_1547,12309,
z,0,-200,,,,,0,0,0,0,None,4,0,8,0,,,0.2,stop,circlecyan.gif,m,0,0.450651168823,5,1.15160560608,3,4,0,0,2,0.15,LearningTask,,,60.0557272173,3,2015_Mar_31_1547,12309,
z,0,-200,,,,,0,0,0,0,None,4,1,9,0,,,-1,go,squareyellow.gif,m,0,0.500614881516,6,1.15160560608,3,4,0,0,3,-1,LearningTask,,,60.0557272173,3,2015_Mar_31_1547,12309,
m,0,200,,,,,0,0,0,0,None,5,0,10,1,,,-1,go,trianglegreen.gif,None,0,,7,1.15160560608,3,4,0,1,3,-1,LearningTask,,,60.0557272173,3,2015_Mar_31_1547,12309,
m,0,200,,,,,0,0,0,0,None,5,1,11,1,,,-1,go,invertedtrianglemagenta.gif,None,0,,8,1.15160560608,3,4,0,2,3,-1,LearningTask,,,60.0557272173,3,2015_Mar_31_1547,12309,
z,0,-200,,,,,0,0,0,0,None,6,0,12,0,,,-1,go,diamondgray.gif,None,0,,9,1.15160560608,3,4,0,3,3,-1,LearningTask,,,60.0557272173,3,2015_Mar_31_1547,12309,
z,0,-200,,,,,0,0,0,0,None,6,1,13,0,,,-1,go,hexagonblue.gif,None,0,,10,1.15160560608,3,4,0,4,3,-1,LearningTask,,,60.0557272173,3,2015_Mar_31_1547,12309,
m,0,200,,,,,0,0,0,0,None,7,0,14,1,,,0.15,stop,trianglegreen.gif,None,0,,10,1.15160560608,3,5,1,4,3,0.2,LearningTask,,,60.0557272173,3,2015_Mar_31_1547,12309,
z,0,-200,,,,,0,0,0,0,None,7,1,15,0,,,0.15,stop,circlecyan.gif,None,0,,10,1.15160560608,3,6,2,4,3,0.2,LearningTask,,,60.0557272173,3,2015_Mar_31_1547,12309,
z,0,-200,,,,,0,0,0,0,None,8,0,16,0,,,0.2,stop,linewhite.gif,None,0,,10,1.15160560608,3,7,3,4,3,0.25,LearningTask,,,60.0557272173,3,2015_Mar_31_1547,12309,
m,0,200,,,,,0,0,0,0,None,8,1,17,1,,,-1,go,hexagonblue.gif,None,0,,11,1.15160560608,3,7,3,5,3,-1,LearningTask,,,60.0557272173,3,2015_Mar_31_1547,12309,
m,0,200,,,,,0,0,0,0,None,9,0,18,1,,,-1,go,invertedtrianglemagenta.gif,None,0,,12,1.15160560608,3,7,3,6,3,-1,LearningTask,,,60.0557272173,3,2015_Mar_31_1547,12309,
m,0,200,,,,,0,0,0,0,None,9,1,19,1,,,-1,go,linewhite.gif,None,0,,13,1.15160560608,3,7,3,7,3,-1,LearningTask,,,60.0557272173,3,2015_Mar_31_1547,12309,
