Color,ColorLoop.thisRepN,ColorLoop.thisTrialN,ColorLoop.thisN,ColorLoop.thisIndex,ok1.keys,ok1.rt,expName,gender (m/f),age,frameRate,session,date,participant,
blue,0,0,0,7,,,LearningTask,,,59.8637249837,3,2015_Mar_04_1155,799,
orange,0,1,1,2,,,LearningTask,,,59.8637249837,3,2015_Mar_04_1155,799,
white,0,2,2,1,,,LearningTask,,,59.8637249837,3,2015_Mar_04_1155,799,
magenta,0,3,3,3,,,LearningTask,,,59.8637249837,3,2015_Mar_04_1155,799,
gray,0,4,4,5,,,LearningTask,,,59.8637249837,3,2015_Mar_04_1155,799,
yellow,0,5,5,0,,,LearningTask,,,59.8637249837,3,2015_Mar_04_1155,799,
cyan,0,6,6,6,,,LearningTask,,,59.8637249837,3,2015_Mar_04_1155,799,
green,0,7,7,4,,,LearningTask,,,59.8637249837,3,2015_Mar_04_1155,799,
,,,,,space,0.899835109711,LearningTask,,,59.8637249837,3,2015_Mar_04_1155,799,
