trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.thisTrial,date,frameRate,expName,session,participant,
0,0,0,0,None,2015_Jun_02_1237,59.9354961325,untitled,001,999,
1,0,1,0,None,2015_Jun_02_1237,59.9354961325,untitled,001,999,
2,0,2,0,None,2015_Jun_02_1237,59.9354961325,untitled,001,999,
