202.1694 	EXP 	New trial (rep=9, index=0): None
202.1696 	EXP 	window1: recordFrameIntervals = False
202.1853 	EXP 	text_3: autoDraw = False
202.1853 	EXP 	text_3: autoDraw = False
202.1853 	EXP 	text: autoDraw = True
202.1855 	EXP 	window1: recordFrameIntervals = False
203.0534 	EXP 	Sound  started
203.2367 	EXP 	Sound  stopped
203.3871 	DATA 	Keypress: space
203.3884 	EXP 	Sound  stopped
203.4035 	EXP 	text: autoDraw = False
203.4035 	EXP 	text_3: autoDraw = True
204.3889 	EXP 	New trial (rep=10, index=0): None
204.3891 	EXP 	window1: recordFrameIntervals = False
204.4048 	EXP 	text_3: autoDraw = False
204.4048 	EXP 	text_3: autoDraw = False
204.4048 	EXP 	text: autoDraw = True
204.4050 	EXP 	window1: recordFrameIntervals = False
205.1224 	EXP 	Sound  started
205.3056 	EXP 	Sound  stopped
205.3891 	DATA 	Keypress: space
205.3906 	EXP 	Sound  stopped
205.4055 	EXP 	text: autoDraw = False
205.4055 	EXP 	text_3: autoDraw = True
206.3911 	EXP 	New trial (rep=11, index=0): None
206.3913 	EXP 	window1: recordFrameIntervals = False
206.4065 	EXP 	text_3: autoDraw = False
206.4065 	EXP 	text_3: autoDraw = False
206.4065 	EXP 	text: autoDraw = True
206.4067 	EXP 	window1: recordFrameIntervals = False
207.1248 	EXP 	Sound  started
207.3079 	EXP 	Sound  stopped
207.3747 	DATA 	Keypress: space
207.3760 	EXP 	Sound  stopped
207.3913 	EXP 	text: autoDraw = False
207.3913 	EXP 	text_3: autoDraw = True
208.3767 	EXP 	New trial (rep=12, index=0): None
208.3768 	EXP 	window1: recordFrameIntervals = False
208.3919 	EXP 	text_3: autoDraw = False
208.3919 	EXP 	text_3: autoDraw = False
208.3919 	EXP 	text: autoDraw = True
208.3921 	EXP 	window1: recordFrameIntervals = False
209.3106 	EXP 	Sound  started
209.4937 	EXP 	Sound  stopped
209.5772 	DATA 	Keypress: space
209.5787 	EXP 	Sound  stopped
209.5934 	EXP 	text: autoDraw = False
209.5934 	EXP 	text_3: autoDraw = True
210.5795 	EXP 	New trial (rep=13, index=0): None
210.5796 	EXP 	window1: recordFrameIntervals = False
210.5945 	EXP 	text_3: autoDraw = False
210.5945 	EXP 	text_3: autoDraw = False
210.5945 	EXP 	text: autoDraw = True
210.5947 	EXP 	window1: recordFrameIntervals = False
211.5462 	EXP 	Sound  started
211.7295 	EXP 	Sound  stopped
211.7963 	DATA 	Keypress: space
211.7974 	EXP 	Sound  stopped
211.8127 	EXP 	text: autoDraw = False
211.8127 	EXP 	text_3: autoDraw = True
212.7981 	EXP 	New trial (rep=14, index=0): None
212.7983 	EXP 	window1: recordFrameIntervals = False
212.8139 	EXP 	text_3: autoDraw = False
212.8139 	EXP 	text_3: autoDraw = False
212.8139 	EXP 	text: autoDraw = True
212.8141 	EXP 	window1: recordFrameIntervals = False
213.3815 	EXP 	Sound  started
213.5653 	EXP 	Sound  stopped
213.6484 	DATA 	Keypress: space
213.6496 	EXP 	Sound  stopped
213.6651 	EXP 	text: autoDraw = False
213.6651 	EXP 	text_3: autoDraw = True
214.6501 	EXP 	New trial (rep=15, index=0): None
214.6502 	EXP 	window1: recordFrameIntervals = False
214.6659 	EXP 	text_3: autoDraw = False
214.6659 	EXP 	text_3: autoDraw = False
214.6659 	EXP 	text: autoDraw = True
214.6661 	EXP 	window1: recordFrameIntervals = False
215.5004 	EXP 	Sound  started
215.6841 	EXP 	Sound  stopped
215.7174 	DATA 	Keypress: space
215.7186 	EXP 	Sound  stopped
215.7336 	EXP 	text: autoDraw = False
215.7336 	EXP 	text_3: autoDraw = True
216.7191 	EXP 	New trial (rep=16, index=0): None
216.7192 	EXP 	window1: recordFrameIntervals = False
216.7349 	EXP 	text_3: autoDraw = False
216.7349 	EXP 	text_3: autoDraw = False
216.7349 	EXP 	text: autoDraw = True
216.7351 	EXP 	window1: recordFrameIntervals = False
217.6195 	EXP 	Sound  started
217.8030 	EXP 	Sound  stopped
217.8365 	DATA 	Keypress: space
217.8377 	EXP 	Sound  stopped
217.8527 	EXP 	text: autoDraw = False
217.8527 	EXP 	text_3: autoDraw = True
218.8382 	EXP 	New trial (rep=17, index=0): None
218.8383 	EXP 	window1: recordFrameIntervals = False
218.8539 	EXP 	text_3: autoDraw = False
218.8539 	EXP 	text_3: autoDraw = False
218.8539 	EXP 	text: autoDraw = True
218.8541 	EXP 	window1: recordFrameIntervals = False
219.5550 	EXP 	Sound  started
219.7385 	EXP 	Sound  stopped
219.7717 	DATA 	Keypress: space
219.7730 	EXP 	Sound  stopped
219.7882 	EXP 	text: autoDraw = False
219.7882 	EXP 	text_3: autoDraw = True
220.7737 	EXP 	New trial (rep=18, index=0): None
220.7739 	EXP 	window1: recordFrameIntervals = False
220.7895 	EXP 	text_3: autoDraw = False
220.7895 	EXP 	text_3: autoDraw = False
220.7895 	EXP 	text: autoDraw = True
220.7896 	EXP 	window1: recordFrameIntervals = False
221.3405 	EXP 	Sound  started
221.5239 	EXP 	Sound  stopped
221.5909 	DATA 	Keypress: space
221.5925 	EXP 	Sound  stopped
221.6069 	EXP 	text: autoDraw = False
221.6069 	EXP 	text_3: autoDraw = True
222.5928 	EXP 	New trial (rep=19, index=0): None
222.5930 	EXP 	window1: recordFrameIntervals = False
222.6081 	EXP 	text_3: autoDraw = False
222.6081 	EXP 	text_3: autoDraw = False
222.6081 	EXP 	text: autoDraw = True
222.6083 	EXP 	window1: recordFrameIntervals = False
223.4593 	EXP 	Sound  started
223.6428 	EXP 	Sound  stopped
223.6597 	DATA 	Keypress: space
223.6611 	EXP 	Sound  stopped
223.6760 	EXP 	text: autoDraw = False
