0.7744 	WARNING 	Movie2 stim could not be imported and won't be available
7.5070 	EXP 	Created window1 = Window(allowGUI=False, allowStencil=False, autoLog=True, bitsMode=UNKNOWN, blendMode='avg', color=array([ 0.,  0.,  0.]), colorSpace='rgb', fullscr=UNKNOWN, gamma=None, lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor instance at 0xc257c88>, name='window1', pos=[0, 0], screen=0, size=array([1920, 1080]), stereo=False, units=u'norm', useFBO=True, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
7.5071 	EXP 	window1: recordFrameIntervals = False
7.6727 	EXP 	window1: recordFrameIntervals = True
7.8563 	EXP 	window1: recordFrameIntervals = False
7.9260 	EXP 	Created text = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=-1.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.1, italic=False, name='text', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 255.,  255.,  255.]), text=u'+', units=u'norm', win=Window(...), wrapWidth=1)
7.9476 	EXP 	Created text_2 = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=-4.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=2, italic=False, name='text_2', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 255.,  255.,  255.]), text=u'X', units=u'norm', win=Window(...), wrapWidth=1)
7.9523 	EXP 	Created text_3 = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.1, italic=False, name='text_3', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 255.,  255.,  255.]), text=u'ITI', units=u'norm', win=Window(...), wrapWidth=1)
7.9533 	EXP 	Created sequence: random, trialTypes=1, nReps=100, seed=None
7.9547 	EXP 	New trial (rep=0, index=0): None
7.9550 	EXP 	window1: recordFrameIntervals = False
7.9732 	EXP 	text: autoDraw = True
7.9734 	EXP 	window1: recordFrameIntervals = False
8.5236 	EXP 	text_2: autoDraw = True
8.7240 	EXP 	text_2: autoDraw = False
9.2418 	DATA 	Keypress: space
9.2579 	EXP 	text: autoDraw = False
9.2579 	EXP 	text_2: autoDraw = False
9.2579 	EXP 	text_3: autoDraw = True
10.2435 	EXP 	New trial (rep=1, index=0): None
10.2437 	EXP 	window1: recordFrameIntervals = False
10.2592 	EXP 	text_3: autoDraw = False
10.2592 	EXP 	text_3: autoDraw = False
10.2592 	EXP 	text: autoDraw = True
10.2594 	EXP 	window1: recordFrameIntervals = False
11.1936 	EXP 	text_2: autoDraw = True
11.3772 	EXP 	text_2: autoDraw = False
11.4443 	DATA 	Keypress: space
11.4603 	EXP 	text: autoDraw = False
11.4603 	EXP 	text_2: autoDraw = False
11.4603 	EXP 	text_3: autoDraw = True
12.4455 	EXP 	New trial (rep=2, index=0): None
12.4457 	EXP 	window1: recordFrameIntervals = False
12.4613 	EXP 	text_3: autoDraw = False
12.4613 	EXP 	text_3: autoDraw = False
12.4613 	EXP 	text: autoDraw = True
12.4614 	EXP 	window1: recordFrameIntervals = False
13.1959 	EXP 	text_2: autoDraw = True
13.3961 	EXP 	text_2: autoDraw = False
13.4795 	DATA 	Keypress: space
13.4960 	EXP 	text: autoDraw = False
13.4960 	EXP 	text_2: autoDraw = False
13.4960 	EXP 	text_3: autoDraw = True
14.4814 	EXP 	New trial (rep=3, index=0): None
14.4816 	EXP 	window1: recordFrameIntervals = False
14.4970 	EXP 	text_3: autoDraw = False
14.4970 	EXP 	text_3: autoDraw = False
14.4970 	EXP 	text: autoDraw = True
14.4972 	EXP 	window1: recordFrameIntervals = False
15.0143 	EXP 	text_2: autoDraw = True
15.1981 	EXP 	text_2: autoDraw = False
15.2648 	DATA 	Keypress: space
15.2811 	EXP 	text: autoDraw = False
15.2811 	EXP 	text_2: autoDraw = False
15.2811 	EXP 	text_3: autoDraw = True
16.2666 	EXP 	New trial (rep=4, index=0): None
16.2668 	EXP 	window1: recordFrameIntervals = False
16.2824 	EXP 	text_3: autoDraw = False
16.2824 	EXP 	text_3: autoDraw = False
16.2824 	EXP 	text: autoDraw = True
16.2827 	EXP 	window1: recordFrameIntervals = False
16.9663 	EXP 	text_2: autoDraw = True
17.1672 	EXP 	text_2: autoDraw = False
18.2848 	EXP 	text: autoDraw = False
18.2848 	EXP 	text: autoDraw = False
18.2848 	EXP 	text_2: autoDraw = False
18.2848 	EXP 	text_3: autoDraw = True
19.2699 	EXP 	New trial (rep=5, index=0): None
19.2702 	EXP 	window1: recordFrameIntervals = False
19.2858 	EXP 	text_3: autoDraw = False
19.2858 	EXP 	text: autoDraw = True
